time_epoch,time_server,open,high,low,close,tick_volume,spread
1768176000,2026.01.12 00:00,0.93056,0.93241,0.92976,0.93077,41013,1
1768262400,2026.01.13 00:00,0.93078,0.93212,0.92686,0.92857,82359,1
1768348800,2026.01.14 00:00,0.92857,0.93037,0.92591,0.92693,92853,1
1768435200,2026.01.15 00:00,0.92713,0.93207,0.92641,0.93045,80442,1
1768521600,2026.01.16 00:00,0.93042,0.93203,0.92840,0.92906,74105,1
1768780800,2026.01.19 00:00,0.92792,0.93133,0.92792,0.93072,66816,1
1768867200,2026.01.20 00:00,0.93052,0.93377,0.92987,0.93129,113414,1
1768953600,2026.01.21 00:00,0.93153,0.93584,0.93103,0.93458,110930,1
1769040000,2026.01.22 00:00,0.93464,0.94353,0.93459,0.94276,96584,1
1769126400,2026.01.23 00:00,0.94274,0.94534,0.94231,0.94440,87382,1
1769385600,2026.01.26 00:00,0.94935,0.95099,0.94538,0.94723,110513,1
1769472000,2026.01.27 00:00,0.94723,0.95241,0.94714,0.95109,107204,1
1769558400,2026.01.28 00:00,0.95123,0.95487,0.94655,0.95416,144248,1
1769644800,2026.01.29 00:00,0.95426,0.95908,0.94533,0.95055,173170,1
1769731200,2026.01.30 00:00,0.95054,0.95134,0.94437,0.94809,196189,1
1769990400,2026.02.02 00:00,0.94412,0.95244,0.94412,0.95030,197526,1
1770076800,2026.02.03 00:00,0.95031,0.96254,0.95031,0.95660,164033,1
1770163200,2026.02.04 00:00,0.95669,0.96011,0.95337,0.95598,145875,1
1770249600,2026.02.05 00:00,0.95601,0.95730,0.94848,0.94925,175587,1
1770336000,2026.02.06 00:00,0.94924,0.95935,0.94653,0.95902,123235,1
1770595200,2026.02.09 00:00,0.95852,0.96275,0.95760,0.96106,114257,1
1770681600,2026.02.10 00:00,0.96114,0.96170,0.95557,0.95748,95657,1
1770768000,2026.02.11 00:00,0.95751,0.96827,0.95751,0.96702,123445,1
1770854400,2026.02.12 00:00,0.96702,0.96988,0.96381,0.96427,114590,1
1770940800,2026.02.13 00:00,0.96421,0.96611,0.95987,0.96297,130276,1
1771200000,2026.02.16 00:00,0.96156,0.96577,0.96148,0.96392,58319,1
1771286400,2026.02.17 00:00,0.96387,0.96685,0.96158,0.96602,117183,1
1771372800,2026.02.18 00:00,0.96589,0.96705,0.96357,0.96421,93550,1
1771459200,2026.02.19 00:00,0.96426,0.96850,0.96326,0.96550,113268,1
1771545600,2026.02.20 00:00,0.96533,0.96987,0.96123,0.96899,140542,1
1771804800,2026.02.23 00:00,0.96812,0.97072,0.96461,0.96606,119789,1
1771891200,2026.02.24 00:00,0.96614,0.96907,0.96425,0.96727,100713,1
1771977600,2026.02.25 00:00,0.96747,0.97468,0.96697,0.97339,86693,1
1772064000,2026.02.26 00:00,0.97355,0.97509,0.96896,0.97142,112200,1
1772150400,2026.02.27 00:00,0.97152,0.97452,0.96935,0.97053,118912,1
1772409600,2026.03.02 00:00,0.96192,0.97120,0.96164,0.97054,199687,1
1772496000,2026.03.03 00:00,0.97067,0.97306,0.95453,0.96247,248045,1
