time_epoch,time_server,open,high,low,close,tick_volume,spread
1609718400,2021.01.04 00:00,0.67924,0.68066,0.67864,0.67996,492,72
1609722000,2021.01.04 01:00,0.67996,0.68136,0.67945,0.68091,1572,19
1609725600,2021.01.04 02:00,0.68091,0.68145,0.67885,0.67922,2249,11
1609729200,2021.01.04 03:00,0.67920,0.68178,0.67920,0.68177,2654,12
1609732800,2021.01.04 04:00,0.68177,0.68203,0.68124,0.68152,2169,13
1609736400,2021.01.04 05:00,0.68152,0.68239,0.68145,0.68186,1679,14
1609740000,2021.01.04 06:00,0.68187,0.68194,0.68075,0.68093,1337,11
1609743600,2021.01.04 07:00,0.68092,0.68098,0.68011,0.68093,1639,15
1609747200,2021.01.04 08:00,0.68093,0.68169,0.68086,0.68119,1871,15
1609750800,2021.01.04 09:00,0.68124,0.68254,0.68120,0.68183,2292,11
1609754400,2021.01.04 10:00,0.68183,0.68198,0.67987,0.68109,3421,11
1609758000,2021.01.04 11:00,0.68109,0.68115,0.67994,0.68021,2718,11
1609761600,2021.01.04 12:00,0.68020,0.68084,0.67996,0.68021,2063,10
1609765200,2021.01.04 13:00,0.68021,0.68051,0.67918,0.67941,1894,15
1609768800,2021.01.04 14:00,0.67941,0.67981,0.67774,0.67778,2339,14
1609772400,2021.01.04 15:00,0.67778,0.67905,0.67770,0.67873,2696,15
1609776000,2021.01.04 16:00,0.67873,0.67912,0.67813,0.67854,4050,14
1609779600,2021.01.04 17:00,0.67850,0.67876,0.67543,0.67588,4526,11
1609783200,2021.01.04 18:00,0.67589,0.67620,0.67444,0.67448,4475,12
1609786800,2021.01.04 19:00,0.67449,0.67514,0.67345,0.67511,4086,12
1609790400,2021.01.04 20:00,0.67511,0.67593,0.67488,0.67570,2452,10
1609794000,2021.01.04 21:00,0.67570,0.67592,0.67513,0.67544,2132,14
1609797600,2021.01.04 22:00,0.67544,0.67559,0.67465,0.67516,2664,12
1609801200,2021.01.04 23:00,0.67515,0.67558,0.67478,0.67488,972,12
1609804800,2021.01.05 00:00,0.67482,0.67602,0.67453,0.67525,522,35
1609808400,2021.01.05 01:00,0.67530,0.67587,0.67512,0.67580,1684,17
1609812000,2021.01.05 02:00,0.67579,0.67632,0.67534,0.67600,1666,16
1609815600,2021.01.05 03:00,0.67601,0.67701,0.67575,0.67642,2406,14
1609819200,2021.01.05 04:00,0.67643,0.67796,0.67643,0.67762,2025,14
1609822800,2021.01.05 05:00,0.67764,0.67856,0.67742,0.67749,2140,10
1609826400,2021.01.05 06:00,0.67749,0.67796,0.67688,0.67764,1877,13
1609830000,2021.01.05 07:00,0.67764,0.67886,0.67764,0.67873,1958,14
1609833600,2021.01.05 08:00,0.67871,0.67935,0.67816,0.67921,2213,14
1609837200,2021.01.05 09:00,0.67921,0.67992,0.67834,0.67849,2948,13
1609840800,2021.01.05 10:00,0.67849,0.67953,0.67758,0.67828,3565,12
1609844400,2021.01.05 11:00,0.67829,0.67954,0.67796,0.67887,2722,12
1609848000,2021.01.05 12:00,0.67887,0.67988,0.67856,0.67943,2305,12
1609851600,2021.01.05 13:00,0.67943,0.67976,0.67797,0.67816,2315,11
1609855200,2021.01.05 14:00,0.67815,0.67819,0.67671,0.67795,2985,13
1609858800,2021.01.05 15:00,0.67795,0.67853,0.67712,0.67714,3352,12
1609862400,2021.01.05 16:00,0.67714,0.67929,0.67683,0.67852,4284,10
1609866000,2021.01.05 17:00,0.67847,0.67976,0.67847,0.67958,5205,10
1609869600,2021.01.05 18:00,0.67957,0.68113,0.67903,0.68081,4201,11
1609873200,2021.01.05 19:00,0.68081,0.68172,0.68074,0.68164,3100,12
1609876800,2021.01.05 20:00,0.68164,0.68211,0.68151,0.68205,2023,11
1609880400,2021.01.05 21:00,0.68204,0.68278,0.68194,0.68217,1596,10
1609884000,2021.01.05 22:00,0.68217,0.68261,0.68199,0.68236,1617,10
1609887600,2021.01.05 23:00,0.68238,0.68248,0.68124,0.68131,825,13
1609891200,2021.01.06 00:00,0.68134,0.68158,0.68071,0.68096,391,31
1609894800,2021.01.06 01:00,0.68095,0.68199,0.68079,0.68166,1565,14
1609898400,2021.01.06 02:00,0.68167,0.68237,0.68089,0.68161,2787,14
1609902000,2021.01.06 03:00,0.68161,0.68207,0.68093,0.68156,5163,14
1609905600,2021.01.06 04:00,0.68156,0.68190,0.68027,0.68027,3247,12
1609909200,2021.01.06 05:00,0.68027,0.68135,0.68010,0.68106,2859,12
1609912800,2021.01.06 06:00,0.68106,0.68295,0.68098,0.68223,2956,14
1609916400,2021.01.06 07:00,0.68224,0.68284,0.68216,0.68269,1937,13
1609920000,2021.01.06 08:00,0.68271,0.68348,0.68247,0.68332,2314,14
1609923600,2021.01.06 09:00,0.68335,0.68377,0.68308,0.68319,3608,13
1609927200,2021.01.06 10:00,0.68320,0.68372,0.68250,0.68312,4127,11
1609930800,2021.01.06 11:00,0.68313,0.68465,0.68303,0.68448,3439,13
1609934400,2021.01.06 12:00,0.68448,0.68505,0.68409,0.68469,2876,15
1609938000,2021.01.06 13:00,0.68469,0.68493,0.68375,0.68380,2910,13
1609941600,2021.01.06 14:00,0.68380,0.68442,0.68302,0.68309,3652,13
1609945200,2021.01.06 15:00,0.68309,0.68390,0.68303,0.68380,3797,10
1609948800,2021.01.06 16:00,0.68378,0.68438,0.68320,0.68418,5847,11
1609952400,2021.01.06 17:00,0.68416,0.68507,0.68387,0.68474,5522,11
1609956000,2021.01.06 18:00,0.68476,0.68611,0.68430,0.68592,4571,12
1609959600,2021.01.06 19:00,0.68594,0.68701,0.68560,0.68669,3150,14
1609963200,2021.01.06 20:00,0.68670,0.68681,0.68594,0.68630,2407,14
1609966800,2021.01.06 21:00,0.68630,0.68640,0.68440,0.68512,4986,15
1609970400,2021.01.06 22:00,0.68512,0.68524,0.68453,0.68519,5169,13
1609974000,2021.01.06 23:00,0.68521,0.68602,0.68467,0.68468,1457,14
1609977600,2021.01.07 00:00,0.68469,0.68577,0.68458,0.68545,556,37
1609981200,2021.01.07 01:00,0.68545,0.68635,0.68539,0.68625,1813,15
1609984800,2021.01.07 02:00,0.68624,0.68629,0.68423,0.68482,2460,15
1609988400,2021.01.07 03:00,0.68484,0.68542,0.68463,0.68542,2516,14
1609992000,2021.01.07 04:00,0.68541,0.68547,0.68463,0.68501,2373,15
1609995600,2021.01.07 05:00,0.68502,0.68517,0.68467,0.68484,1457,14
1609999200,2021.01.07 06:00,0.68484,0.68531,0.68477,0.68482,1368,15
1610002800,2021.01.07 07:00,0.68482,0.68494,0.68418,0.68419,1709,12
1610006400,2021.01.07 08:00,0.68421,0.68462,0.68392,0.68454,2035,11
1610010000,2021.01.07 09:00,0.68453,0.68578,0.68443,0.68522,2987,14
1610013600,2021.01.07 10:00,0.68521,0.68550,0.68441,0.68538,3922,12
1610017200,2021.01.07 11:00,0.68538,0.68544,0.68443,0.68466,3761,11
1610020800,2021.01.07 12:00,0.68466,0.68491,0.68383,0.68406,3568,12
1610024400,2021.01.07 13:00,0.68406,0.68408,0.68332,0.68369,3062,13
1610028000,2021.01.07 14:00,0.68369,0.68459,0.68328,0.68452,2861,13
1610031600,2021.01.07 15:00,0.68451,0.68463,0.68332,0.68336,3303,11
1610035200,2021.01.07 16:00,0.68335,0.68460,0.68317,0.68434,5212,11
1610038800,2021.01.07 17:00,0.68434,0.68618,0.68419,0.68600,5363,11
1610042400,2021.01.07 18:00,0.68600,0.68619,0.68541,0.68566,3503,10
1610046000,2021.01.07 19:00,0.68568,0.68568,0.68491,0.68531,2722,12
1610049600,2021.01.07 20:00,0.68528,0.68633,0.68527,0.68623,2244,14
1610053200,2021.01.07 21:00,0.68623,0.68673,0.68608,0.68670,2104,14
1610056800,2021.01.07 22:00,0.68671,0.68749,0.68617,0.68741,2126,12
1610060400,2021.01.07 23:00,0.68741,0.68812,0.68727,0.68750,1190,15
1610064000,2021.01.08 00:00,0.68702,0.68722,0.68563,0.68689,491,42
1610067600,2021.01.08 01:00,0.68685,0.68799,0.68685,0.68761,1342,18
1610071200,2021.01.08 02:00,0.68761,0.68783,0.68674,0.68707,1911,10
1610074800,2021.01.08 03:00,0.68707,0.68734,0.68641,0.68711,2910,12
1610078400,2021.01.08 04:00,0.68712,0.68748,0.68682,0.68698,1931,16
1610082000,2021.01.08 05:00,0.68698,0.68762,0.68689,0.68738,1676,14
1610085600,2021.01.08 06:00,0.68736,0.68787,0.68701,0.68761,1427,13
1610089200,2021.01.08 07:00,0.68761,0.68845,0.68760,0.68814,1852,14
