time_epoch,time_server,open,high,low,close,tick_volume,spread
1768222800,2026.01.12 13:00,1.16444,1.16496,1.16423,1.16476,1605,1
1768226400,2026.01.12 14:00,1.16476,1.16487,1.16422,1.16463,2403,1
1768230000,2026.01.12 15:00,1.16462,1.16483,1.16418,1.16477,4364,1
1768233600,2026.01.12 16:00,1.16477,1.16578,1.16460,1.16571,3503,1
1768237200,2026.01.12 17:00,1.16570,1.16573,1.16496,1.16528,3540,1
1768240800,2026.01.12 18:00,1.16531,1.16539,1.16405,1.16410,3191,1
1768244400,2026.01.12 19:00,1.16410,1.16426,1.16376,1.16408,2455,1
1768248000,2026.01.12 20:00,1.16408,1.16431,1.16374,1.16428,2372,1
1768251600,2026.01.12 21:00,1.16429,1.16431,1.16389,1.16417,1769,1
1768255200,2026.01.12 22:00,1.16417,1.16418,1.16207,1.16234,1681,1
1768258800,2026.01.12 23:00,1.16171,1.16266,1.16112,1.16203,884,48
1768262400,2026.01.13 00:00,1.16204,1.16242,1.16189,1.16195,1351,1
1768266000,2026.01.13 01:00,1.16196,1.16214,1.16177,1.16188,2130,1
1768269600,2026.01.13 02:00,1.16189,1.16212,1.16156,1.16191,4235,1
1768273200,2026.01.13 03:00,1.16193,1.16241,1.16179,1.16193,2972,1
1768276800,2026.01.13 04:00,1.16193,1.16222,1.16114,1.16150,2227,1
1768280400,2026.01.13 05:00,1.16150,1.16175,1.16109,1.16125,1666,1
1768284000,2026.01.13 06:00,1.16120,1.16146,1.16081,1.16141,2440,1
1768287600,2026.01.13 07:00,1.16140,1.16199,1.16117,1.16185,2645,1
1768291200,2026.01.13 08:00,1.16189,1.16193,1.16145,1.16178,2425,1
1768294800,2026.01.13 09:00,1.16176,1.16237,1.16145,1.16171,2725,1
1768298400,2026.01.13 10:00,1.16171,1.16231,1.16171,1.16209,2611,1
1768302000,2026.01.13 11:00,1.16209,1.16242,1.16171,1.16237,1567,1
1768305600,2026.01.13 12:00,1.16237,1.16299,1.16208,1.16294,1894,1
1768309200,2026.01.13 13:00,1.16294,1.16351,1.16267,1.16341,2323,1
1768312800,2026.01.13 14:00,1.16341,1.16434,1.16273,1.16368,8459,1
1768316400,2026.01.13 15:00,1.16367,1.16388,1.16271,1.16286,8947,1
1768320000,2026.01.13 16:00,1.16284,1.16350,1.16213,1.16311,7352,1
1768323600,2026.01.13 17:00,1.16311,1.16376,1.16298,1.16329,5444,1
1768327200,2026.01.13 18:00,1.16329,1.16400,1.16322,1.16377,3897,1
1768330800,2026.01.13 19:00,1.16377,1.16424,1.16354,1.16411,4008,1
1768334400,2026.01.13 20:00,1.16411,1.16442,1.16393,1.16403,3187,1
1768338000,2026.01.13 21:00,1.16403,1.16427,1.16389,1.16421,2845,2
1768341600,2026.01.13 22:00,1.16420,1.16460,1.16381,1.16425,1375,1
1768345200,2026.01.13 23:00,1.16385,1.16450,1.16258,1.16347,603,51
1768348800,2026.01.14 00:00,1.16400,1.16490,1.16400,1.16457,1200,1
1768352400,2026.01.14 01:00,1.16461,1.16504,1.16446,1.16458,1941,1
1768356000,2026.01.14 02:00,1.16459,1.16543,1.16457,1.16533,3110,1
1768359600,2026.01.14 03:00,1.16533,1.16556,1.16507,1.16520,3141,1
1768363200,2026.01.14 04:00,1.16519,1.16596,1.16505,1.16588,2900,1
1768366800,2026.01.14 05:00,1.16588,1.16589,1.16552,1.16583,1666,1
1768370400,2026.01.14 06:00,1.16583,1.16617,1.16559,1.16582,2648,1
1768374000,2026.01.14 07:00,1.16580,1.16589,1.16513,1.16524,2950,1
1768377600,2026.01.14 08:00,1.16527,1.16582,1.16496,1.16502,2216,1
1768381200,2026.01.14 09:00,1.16502,1.16512,1.16441,1.16481,4085,1
1768384800,2026.01.14 10:00,1.16481,1.16519,1.16470,1.16497,2921,1
1768388400,2026.01.14 11:00,1.16498,1.16511,1.16375,1.16408,3222,1
1768392000,2026.01.14 12:00,1.16411,1.16429,1.16369,1.16382,3187,1
1768395600,2026.01.14 13:00,1.16382,1.16393,1.16343,1.16374,3685,1
1768399200,2026.01.14 14:00,1.16374,1.16380,1.16303,1.16314,4525,1
1768402800,2026.01.14 15:00,1.16315,1.16344,1.16246,1.16246,7328,1
1768406400,2026.01.14 16:00,1.16245,1.16275,1.16132,1.16154,8681,1
1768410000,2026.01.14 17:00,1.16153,1.16208,1.16143,1.16151,6081,1
1768413600,2026.01.14 18:00,1.16153,1.16242,1.16148,1.16234,4963,1
1768417200,2026.01.14 19:00,1.16233,1.16262,1.16216,1.16252,4724,1
