time_epoch,time_server,open,high,low,close,tick_volume,spread
1768222800,2026.01.12 13:00,0.67042,0.67115,0.67036,0.67098,1187,0
1768226400,2026.01.12 14:00,0.67099,0.67181,0.67091,0.67157,3304,0
1768230000,2026.01.12 15:00,0.67156,0.67160,0.67033,0.67099,4847,0
1768233600,2026.01.12 16:00,0.67100,0.67205,0.67067,0.67198,3313,0
1768237200,2026.01.12 17:00,0.67199,0.67224,0.67148,0.67152,2448,0
1768240800,2026.01.12 18:00,0.67149,0.67180,0.67116,0.67140,2349,0
1768244400,2026.01.12 19:00,0.67138,0.67148,0.67106,0.67117,1472,0
1768248000,2026.01.12 20:00,0.67116,0.67149,0.67102,0.67143,1340,0
1768251600,2026.01.12 21:00,0.67142,0.67149,0.67119,0.67134,1243,0
1768255200,2026.01.12 22:00,0.67133,0.67157,0.67082,0.67095,1089,0
1768258800,2026.01.12 23:00,0.67067,0.67125,0.67067,0.67085,790,6
1768262400,2026.01.13 00:00,0.67085,0.67116,0.67060,0.67081,1167,0
1768266000,2026.01.13 01:00,0.67082,0.67109,0.67066,0.67109,1423,0
1768269600,2026.01.13 02:00,0.67108,0.67148,0.67083,0.67111,2740,0
1768273200,2026.01.13 03:00,0.67110,0.67168,0.67103,0.67113,2171,0
1768276800,2026.01.13 04:00,0.67112,0.67133,0.67080,0.67101,1302,0
1768280400,2026.01.13 05:00,0.67102,0.67127,0.67076,0.67109,1050,0
1768284000,2026.01.13 06:00,0.67108,0.67113,0.67070,0.67097,1622,0
1768287600,2026.01.13 07:00,0.67098,0.67103,0.67035,0.67080,2027,0
1768291200,2026.01.13 08:00,0.67078,0.67085,0.67014,0.67048,1826,0
1768294800,2026.01.13 09:00,0.67045,0.67074,0.66989,0.67025,2084,0
1768298400,2026.01.13 10:00,0.67024,0.67081,0.67019,0.67061,1736,0
1768302000,2026.01.13 11:00,0.67060,0.67066,0.66974,0.66988,1292,0
1768305600,2026.01.13 12:00,0.66988,0.67049,0.66973,0.67044,1410,0
1768309200,2026.01.13 13:00,0.67043,0.67049,0.66990,0.66999,1485,0
1768312800,2026.01.13 14:00,0.66997,0.67272,0.66968,0.67093,6348,0
1768316400,2026.01.13 15:00,0.67092,0.67146,0.66957,0.66986,6155,0
1768320000,2026.01.13 16:00,0.66986,0.66990,0.66782,0.66870,5804,0
1768323600,2026.01.13 17:00,0.66872,0.66879,0.66730,0.66830,3774,0
1768327200,2026.01.13 18:00,0.66827,0.66849,0.66779,0.66811,3175,0
1768330800,2026.01.13 19:00,0.66810,0.66853,0.66775,0.66829,3052,0
1768334400,2026.01.13 20:00,0.66829,0.66834,0.66788,0.66815,2472,0
1768338000,2026.01.13 21:00,0.66815,0.66836,0.66783,0.66825,1608,0
1768341600,2026.01.13 22:00,0.66826,0.66834,0.66796,0.66800,792,0
1768345200,2026.01.13 23:00,0.66753,0.66884,0.66753,0.66879,657,3
1768348800,2026.01.14 00:00,0.66879,0.66887,0.66827,0.66828,872,0
1768352400,2026.01.14 01:00,0.66827,0.66850,0.66793,0.66810,1437,0
1768356000,2026.01.14 02:00,0.66812,0.66841,0.66768,0.66824,2395,0
1768359600,2026.01.14 03:00,0.66825,0.66942,0.66818,0.66929,2306,0
1768363200,2026.01.14 04:00,0.66930,0.67003,0.66916,0.66992,1983,0
1768366800,2026.01.14 05:00,0.66993,0.67005,0.66953,0.66968,1159,0
1768370400,2026.01.14 06:00,0.66967,0.66986,0.66943,0.66948,2143,0
1768374000,2026.01.14 07:00,0.66950,0.67013,0.66920,0.67008,2373,0
1768377600,2026.01.14 08:00,0.67010,0.67026,0.66943,0.66950,1952,0
1768381200,2026.01.14 09:00,0.66952,0.66962,0.66867,0.66943,3466,0
1768384800,2026.01.14 10:00,0.66944,0.66979,0.66917,0.66961,2578,0
1768388400,2026.01.14 11:00,0.66960,0.66965,0.66832,0.66851,2913,0
1768392000,2026.01.14 12:00,0.66852,0.66852,0.66793,0.66819,2306,0
1768395600,2026.01.14 13:00,0.66820,0.66848,0.66774,0.66846,2686,0
1768399200,2026.01.14 14:00,0.66844,0.66849,0.66756,0.66795,3830,0
1768402800,2026.01.14 15:00,0.66793,0.66875,0.66788,0.66839,6166,0
1768406400,2026.01.14 16:00,0.66839,0.66890,0.66764,0.66832,6350,0
1768410000,2026.01.14 17:00,0.66833,0.66887,0.66760,0.66780,4136,0
1768413600,2026.01.14 18:00,0.66781,0.66802,0.66734,0.66741,3658,0
1768417200,2026.01.14 19:00,0.66739,0.66794,0.66733,0.66786,3158,0
1768420800,2026.01.14 20:00,0.66783,0.66812,0.66769,0.66794,2740,0
1768424400,2026.01.14 21:00,0.66793,0.66860,0.66782,0.66847,3856,0
1768428000,2026.01.14 22:00,0.66845,0.66863,0.66795,0.66801,1316,0
1768431600,2026.01.14 23:00,0.66794,0.66843,0.66736,0.66810,746,10
1768435200,2026.01.15 00:00,0.66810,0.66836,0.66766,0.66822,1468,0
1768438800,2026.01.15 01:00,0.66821,0.66862,0.66799,0.66852,1677,0
1768442400,2026.01.15 02:00,0.66850,0.66855,0.66757,0.66808,3352,0
1768446000,2026.01.15 03:00,0.66807,0.66816,0.66759,0.66770,2414,0
1768449600,2026.01.15 04:00,0.66771,0.66776,0.66674,0.66724,2037,0
1768453200,2026.01.15 05:00,0.66725,0.66764,0.66702,0.66743,1365,0
1768456800,2026.01.15 06:00,0.66741,0.66795,0.66725,0.66769,1875,0
1768460400,2026.01.15 07:00,0.66767,0.66848,0.66760,0.66810,2441,0
1768464000,2026.01.15 08:00,0.66811,0.66859,0.66805,0.66831,2345,0
1768467600,2026.01.15 09:00,0.66830,0.66919,0.66797,0.66916,2533,0
1768471200,2026.01.15 10:00,0.66917,0.66992,0.66910,0.66955,2374,0
1768474800,2026.01.15 11:00,0.66956,0.67010,0.66946,0.66987,1783,0
1768478400,2026.01.15 12:00,0.66988,0.67000,0.66959,0.66972,1600,0
1768482000,2026.01.15 13:00,0.66971,0.66985,0.66878,0.66897,1595,0
1768485600,2026.01.15 14:00,0.66895,0.66895,0.66761,0.66778,3951,0
1768489200,2026.01.15 15:00,0.66780,0.66885,0.66746,0.66846,4718,0
1768492800,2026.01.15 16:00,0.66845,0.67001,0.66845,0.67000,4221,0
1768496400,2026.01.15 17:00,0.66999,0.67098,0.66991,0.67045,2972,0
1768500000,2026.01.15 18:00,0.67043,0.67087,0.67023,0.67048,2387,0
1768503600,2026.01.15 19:00,0.67047,0.67085,0.67046,0.67061,1778,0
1768507200,2026.01.15 20:00,0.67060,0.67070,0.67013,0.67023,2433,0
1768510800,2026.01.15 21:00,0.67022,0.67024,0.66960,0.66974,2207,0
1768514400,2026.01.15 22:00,0.66975,0.67009,0.66963,0.66976,897,0
1768518000,2026.01.15 23:00,0.66952,0.67010,0.66952,0.66986,634,7
1768521600,2026.01.16 00:00,0.66986,0.67026,0.66984,0.67009,897,0
1768525200,2026.01.16 01:00,0.67009,0.67026,0.66973,0.66976,1582,0
1768528800,2026.01.16 02:00,0.66975,0.67044,0.66972,0.66975,2697,0
1768532400,2026.01.16 03:00,0.66975,0.67030,0.66944,0.66993,2268,0
1768536000,2026.01.16 04:00,0.66994,0.67056,0.66992,0.67042,1294,0
1768539600,2026.01.16 05:00,0.67037,0.67072,0.67024,0.67062,767,0
1768543200,2026.01.16 06:00,0.67061,0.67061,0.67005,0.67016,1301,0
1768546800,2026.01.16 07:00,0.67015,0.67027,0.66959,0.67001,1312,0
1768550400,2026.01.16 08:00,0.67002,0.67036,0.66985,0.67004,1787,0
1768554000,2026.01.16 09:00,0.67007,0.67056,0.67005,0.67017,1926,0
1768557600,2026.01.16 10:00,0.67016,0.67049,0.67006,0.67020,1471,0
1768561200,2026.01.16 11:00,0.67019,0.67096,0.67005,0.67062,1646,0
1768564800,2026.01.16 12:00,0.67063,0.67090,0.67035,0.67038,1541,0
1768568400,2026.01.16 13:00,0.67035,0.67067,0.66983,0.66999,2143,0
1768572000,2026.01.16 14:00,0.66998,0.67013,0.66911,0.66945,2876,0
1768575600,2026.01.16 15:00,0.66942,0.66947,0.66852,0.66864,3891,0
1768579200,2026.01.16 16:00,0.66865,0.66953,0.66711,0.66796,6840,0
1768582800,2026.01.16 17:00,0.66797,0.66863,0.66796,0.66813,4360,0
1768586400,2026.01.16 18:00,0.66812,0.66834,0.66791,0.66812,2403,0
1768590000,2026.01.16 19:00,0.66811,0.66852,0.66799,0.66827,1658,0
1768593600,2026.01.16 20:00,0.66826,0.66864,0.66799,0.66840,1649,0
1768597200,2026.01.16 21:00,0.66840,0.66860,0.66826,0.66850,1653,0
1768600800,2026.01.16 22:00,0.66851,0.66855,0.66780,0.66789,1071,0
1768780800,2026.01.19 00:00,0.66707,0.66909,0.66681,0.66879,3618,0
1768784400,2026.01.19 01:00,0.66878,0.66946,0.66768,0.66920,3751,0
1768788000,2026.01.19 02:00,0.66919,0.66953,0.66821,0.66833,3495,0
1768791600,2026.01.19 03:00,0.66831,0.66862,0.66782,0.66841,2405,0
1768795200,2026.01.19 04:00,0.66840,0.66899,0.66833,0.66875,1784,0
1768798800,2026.01.19 05:00,0.66874,0.66930,0.66861,0.66918,1474,0
1768802400,2026.01.19 06:00,0.66919,0.67011,0.66898,0.66959,1834,0
1768806000,2026.01.19 07:00,0.66958,0.66976,0.66929,0.66945,1647,0
1768809600,2026.01.19 08:00,0.66946,0.66991,0.66886,0.66898,2588,0
1768813200,2026.01.19 09:00,0.66900,0.66983,0.66900,0.66956,2844,0
1768816800,2026.01.19 10:00,0.66955,0.66979,0.66897,0.66970,2920,0
1768820400,2026.01.19 11:00,0.66968,0.67060,0.66966,0.66997,1995,0
1768824000,2026.01.19 12:00,0.66997,0.67039,0.66987,0.67030,1550,0
1768827600,2026.01.19 13:00,0.67029,0.67058,0.67005,0.67037,1820,0
1768831200,2026.01.19 14:00,0.67037,0.67081,0.67035,0.67057,2110,0
1768834800,2026.01.19 15:00,0.67056,0.67109,0.67023,0.67094,2176,0
1768838400,2026.01.19 16:00,0.67093,0.67142,0.67086,0.67114,2139,0
1768842000,2026.01.19 17:00,0.67115,0.67159,0.67100,0.67147,1452,0
1768845600,2026.01.19 18:00,0.67148,0.67168,0.67136,0.67164,921,0
1768849200,2026.01.19 19:00,0.67163,0.67174,0.67125,0.67135,685,0
1768852800,2026.01.19 20:00,0.67126,0.67156,0.67125,0.67141,607,0
1768856400,2026.01.19 21:00,0.67140,0.67152,0.67118,0.67151,551,0
1768860000,2026.01.19 22:00,0.67150,0.67154,0.67118,0.67135,777,0
1768863600,2026.01.19 23:00,0.67127,0.67151,0.67049,0.67131,556,10
1768867200,2026.01.20 00:00,0.67128,0.67143,0.67085,0.67094,884,0
1768870800,2026.01.20 01:00,0.67095,0.67125,0.67069,0.67100,1749,0
1768874400,2026.01.20 02:00,0.67099,0.67125,0.67073,0.67115,3102,0
1768878000,2026.01.20 03:00,0.67114,0.67176,0.67086,0.67155,2187,0
1768881600,2026.01.20 04:00,0.67155,0.67285,0.67154,0.67272,2093,0
1768885200,2026.01.20 05:00,0.67273,0.67394,0.67264,0.67380,1978,0
1768888800,2026.01.20 06:00,0.67379,0.67412,0.67357,0.67361,2186,0
1768892400,2026.01.20 07:00,0.67360,0.67395,0.67285,0.67318,2861,0
1768896000,2026.01.20 08:00,0.67317,0.67444,0.67298,0.67436,3597,0
1768899600,2026.01.20 09:00,0.67435,0.67473,0.67319,0.67354,4741,0
1768903200,2026.01.20 10:00,0.67358,0.67387,0.67238,0.67281,3521,0
1768906800,2026.01.20 11:00,0.67282,0.67344,0.67265,0.67321,2783,0
1768910400,2026.01.20 12:00,0.67321,0.67389,0.67286,0.67353,2195,0
1768914000,2026.01.20 13:00,0.67352,0.67382,0.67285,0.67309,2180,0
1768917600,2026.01.20 14:00,0.67310,0.67382,0.67253,0.67302,5367,0
1768921200,2026.01.20 15:00,0.67304,0.67369,0.67267,0.67338,6979,0
1768924800,2026.01.20 16:00,0.67335,0.67452,0.67278,0.67418,5552,0
1768928400,2026.01.20 17:00,0.67417,0.67457,0.67392,0.67423,3929,0
1768932000,2026.01.20 18:00,0.67422,0.67451,0.67382,0.67393,2519,0
1768935600,2026.01.20 19:00,0.67391,0.67427,0.67330,0.67347,2294,0
1768939200,2026.01.20 20:00,0.67348,0.67358,0.67320,0.67325,2294,0
1768942800,2026.01.20 21:00,0.67325,0.67359,0.67309,0.67352,2260,0
1768946400,2026.01.20 22:00,0.67352,0.67377,0.67343,0.67363,762,0
1768950000,2026.01.20 23:00,0.67359,0.67359,0.67273,0.67329,660,7
1768953600,2026.01.21 00:00,0.67331,0.67353,0.67304,0.67312,878,0
1768957200,2026.01.21 01:00,0.67313,0.67336,0.67299,0.67324,1491,0
1768960800,2026.01.21 02:00,0.67326,0.67439,0.67308,0.67428,3111,0
1768964400,2026.01.21 03:00,0.67429,0.67431,0.67351,0.67358,2293,0
1768968000,2026.01.21 04:00,0.67368,0.67379,0.67311,0.67318,2426,0
1768971600,2026.01.21 05:00,0.67317,0.67333,0.67276,0.67323,1792,0
1768975200,2026.01.21 06:00,0.67322,0.67384,0.67314,0.67364,1792,0
1768978800,2026.01.21 07:00,0.67365,0.67532,0.67346,0.67505,2085,0
1768982400,2026.01.21 08:00,0.67504,0.67558,0.67460,0.67525,2748,0
1768986000,2026.01.21 09:00,0.67524,0.67584,0.67468,0.67523,3039,0
1768989600,2026.01.21 10:00,0.67522,0.67572,0.67469,0.67474,2930,0
1768993200,2026.01.21 11:00,0.67473,0.67485,0.67436,0.67464,2400,0
1768996800,2026.01.21 12:00,0.67463,0.67520,0.67453,0.67499,2529,0
1769000400,2026.01.21 13:00,0.67501,0.67687,0.67496,0.67677,3225,0
1769004000,2026.01.21 14:00,0.67678,0.67735,0.67637,0.67711,3682,0
1769007600,2026.01.21 15:00,0.67712,0.67736,0.67617,0.67730,7306,0
1769011200,2026.01.21 16:00,0.67729,0.67780,0.67640,0.67707,5857,0
1769014800,2026.01.21 17:00,0.67706,0.67748,0.67607,0.67633,5743,0
1769018400,2026.01.21 18:00,0.67635,0.67651,0.67532,0.67595,5787,0
1769022000,2026.01.21 19:00,0.67594,0.67618,0.67544,0.67602,4832,0
1769025600,2026.01.21 20:00,0.67603,0.67644,0.67566,0.67635,6497,0
1769029200,2026.01.21 21:00,0.67631,0.67636,0.67558,0.67618,4505,0
1769032800,2026.01.21 22:00,0.67619,0.67650,0.67599,0.67606,1301,0
1769036400,2026.01.21 23:00,0.67599,0.67621,0.67563,0.67576,1084,7
1769040000,2026.01.22 00:00,0.67576,0.67596,0.67535,0.67545,917,0
1769043600,2026.01.22 01:00,0.67544,0.67912,0.67540,0.67886,2908,0
1769047200,2026.01.22 02:00,0.67885,0.67992,0.67864,0.67973,4019,0
1769050800,2026.01.22 03:00,0.67974,0.67999,0.67910,0.67970,2093,0
1769054400,2026.01.22 04:00,0.67972,0.68061,0.67969,0.68056,2000,0
1769058000,2026.01.22 05:00,0.68055,0.68102,0.68032,0.68053,1554,0
1769061600,2026.01.22 06:00,0.68052,0.68071,0.68001,0.68051,2134,0
1769065200,2026.01.22 07:00,0.68052,0.68067,0.67985,0.68065,2140,0
1769068800,2026.01.22 08:00,0.68066,0.68114,0.68027,0.68040,2167,0
1769072400,2026.01.22 09:00,0.68039,0.68049,0.67972,0.68016,3242,0
1769076000,2026.01.22 10:00,0.68019,0.68101,0.67997,0.68021,2296,0
1769079600,2026.01.22 11:00,0.68022,0.68051,0.67951,0.68030,2254,0
1769083200,2026.01.22 12:00,0.68029,0.68050,0.67984,0.68025,3050,0
1769086800,2026.01.22 13:00,0.68026,0.68098,0.68025,0.68068,2340,0
1769090400,2026.01.22 14:00,0.68067,0.68155,0.68055,0.68149,3178,0
1769094000,2026.01.22 15:00,0.68149,0.68208,0.68122,0.68129,4304,0
1769097600,2026.01.22 16:00,0.68131,0.68259,0.68106,0.68256,4339,0
1769101200,2026.01.22 17:00,0.68257,0.68370,0.68249,0.68342,3119,0
1769104800,2026.01.22 18:00,0.68341,0.68408,0.68300,0.68403,2778,0
1769108400,2026.01.22 19:00,0.68401,0.68446,0.68380,0.68430,1766,0
