time_epoch,time_server,open,high,low,close,tick_volume,spread
1768222800,2026.01.12 13:00,197.901,198.006,197.872,197.946,2629,1
1768226400,2026.01.12 14:00,197.944,198.253,197.920,198.197,6194,1
1768230000,2026.01.12 15:00,198.197,198.211,198.009,198.099,6837,1
1768233600,2026.01.12 16:00,198.100,198.435,198.072,198.395,5832,1
1768237200,2026.01.12 17:00,198.398,198.582,198.328,198.382,5072,1
1768240800,2026.01.12 18:00,198.382,198.410,198.233,198.317,4479,1
1768244400,2026.01.12 19:00,198.317,198.393,198.235,198.383,3301,1
1768248000,2026.01.12 20:00,198.386,198.455,198.338,198.413,2290,1
1768251600,2026.01.12 21:00,198.413,198.437,198.286,198.303,2584,1
1768255200,2026.01.12 22:00,198.301,198.323,198.176,198.176,1793,1
1768258800,2026.01.12 23:00,198.256,198.338,198.076,198.137,2438,145
1768262400,2026.01.13 00:00,198.162,198.344,198.050,198.133,3450,1
1768266000,2026.01.13 01:00,198.134,198.401,198.096,198.310,4879,1
1768269600,2026.01.13 02:00,198.311,198.654,198.308,198.614,5030,1
1768273200,2026.01.13 03:00,198.623,198.913,198.449,198.908,4391,1
1768276800,2026.01.13 04:00,198.906,199.060,198.893,199.048,2889,1
1768280400,2026.01.13 05:00,199.048,199.210,198.889,199.092,5899,1
1768284000,2026.01.13 06:00,199.091,199.239,199.080,199.146,4470,1
1768287600,2026.01.13 07:00,199.145,199.255,198.998,199.017,4997,1
1768291200,2026.01.13 08:00,199.017,199.314,199.002,199.307,4594,1
1768294800,2026.01.13 09:00,199.307,199.444,199.232,199.254,5780,1
1768298400,2026.01.13 10:00,199.256,199.290,199.098,199.183,4474,1
1768302000,2026.01.13 11:00,199.183,199.263,198.910,198.917,3838,1
1768305600,2026.01.13 12:00,198.917,199.091,198.915,198.999,3379,1
1768309200,2026.01.13 13:00,198.997,199.033,198.839,198.887,3962,1
1768312800,2026.01.13 14:00,198.886,199.024,198.554,199.022,10674,1
1768316400,2026.01.13 15:00,199.018,199.119,198.854,198.973,9239,1
1768320000,2026.01.13 16:00,198.982,198.984,198.636,198.679,9261,1
1768323600,2026.01.13 17:00,198.683,198.728,198.558,198.702,7919,1
1768327200,2026.01.13 18:00,198.703,198.773,198.526,198.577,4832,1
1768330800,2026.01.13 19:00,198.578,198.743,198.535,198.740,4599,1
1768334400,2026.01.13 20:00,198.742,198.755,198.669,198.729,4284,1
1768338000,2026.01.13 21:00,198.729,198.785,198.679,198.692,3061,1
1768341600,2026.01.13 22:00,198.696,198.762,198.550,198.550,1655,1
1768345200,2026.01.13 23:00,198.470,198.693,198.435,198.576,1625,87
1768348800,2026.01.14 00:00,198.621,198.746,198.569,198.707,1894,6
1768352400,2026.01.14 01:00,198.709,198.752,198.562,198.668,6266,1
1768356000,2026.01.14 02:00,198.668,198.902,198.665,198.761,4535,1
1768359600,2026.01.14 03:00,198.762,198.813,198.651,198.673,4304,1
1768363200,2026.01.14 04:00,198.672,198.777,198.569,198.731,3967,1
1768366800,2026.01.14 05:00,198.737,198.778,198.650,198.667,3141,1
1768370400,2026.01.14 06:00,198.668,198.841,198.614,198.817,3049,1
1768374000,2026.01.14 07:00,198.818,198.908,198.693,198.725,4778,1
1768377600,2026.01.14 08:00,198.729,198.811,198.649,198.695,4015,1
1768381200,2026.01.14 09:00,198.689,198.717,198.074,198.126,8935,1
1768384800,2026.01.14 10:00,198.124,198.151,197.720,197.951,7064,1
1768388400,2026.01.14 11:00,197.950,198.168,197.817,198.107,6078,1
1768392000,2026.01.14 12:00,198.106,198.297,197.992,198.146,4779,1
1768395600,2026.01.14 13:00,198.146,198.147,197.590,198.092,8571,1
1768399200,2026.01.14 14:00,198.092,198.124,197.922,197.957,7668,1
1768402800,2026.01.14 15:00,197.957,198.072,197.673,197.809,12007,1
1768406400,2026.01.14 16:00,197.815,198.052,197.802,197.961,11349,1
1768410000,2026.01.14 17:00,197.961,198.154,197.956,197.975,7196,1
1768413600,2026.01.14 18:00,197.976,198.062,197.939,197.971,5437,1
1768417200,2026.01.14 19:00,197.969,198.045,197.896,198.022,3429,1
1768420800,2026.01.14 20:00,198.024,198.061,197.936,198.016,4181,1
1768424400,2026.01.14 21:00,198.019,198.196,198.004,198.136,5877,1
1768428000,2026.01.14 22:00,198.134,198.180,197.948,197.948,2593,1
1768431600,2026.01.14 23:00,198.011,198.032,197.647,197.793,2187,146
1768435200,2026.01.15 00:00,197.784,198.095,197.771,198.069,4128,10
1768438800,2026.01.15 01:00,198.074,198.256,198.029,198.067,6213,2
1768442400,2026.01.15 02:00,198.068,198.099,197.860,197.973,6989,1
1768446000,2026.01.15 03:00,197.975,198.184,197.956,198.161,5047,1
1768449600,2026.01.15 04:00,198.161,198.237,198.011,198.019,5074,3
1768453200,2026.01.15 05:00,198.020,198.084,197.935,197.960,3129,1
1768456800,2026.01.15 06:00,197.959,197.978,197.744,197.783,4135,1
1768460400,2026.01.15 07:00,197.786,198.011,197.781,197.999,4659,1
1768464000,2026.01.15 08:00,197.999,198.061,197.749,197.912,5909,1
1768467600,2026.01.15 09:00,197.912,198.047,197.808,197.963,6640,1
1768471200,2026.01.15 10:00,197.963,197.999,197.643,197.872,6457,1
