time_epoch,time_server,open,high,low,close,tick_volume,spread
1768222800,2026.01.12 13:00,1.74238,1.74246,1.74066,1.74097,1915,1
1768226400,2026.01.12 14:00,1.74096,1.74199,1.74038,1.74114,4958,1
1768230000,2026.01.12 15:00,1.74113,1.74216,1.74004,1.74026,7284,1
1768233600,2026.01.12 16:00,1.74027,1.74064,1.73823,1.73833,6166,1
1768237200,2026.01.12 17:00,1.73835,1.73857,1.73714,1.73815,4499,1
1768240800,2026.01.12 18:00,1.73814,1.73840,1.73747,1.73798,4158,1
1768244400,2026.01.12 19:00,1.73795,1.73884,1.73760,1.73860,3093,1
1768248000,2026.01.12 20:00,1.73861,1.73901,1.73825,1.73840,2822,1
1768251600,2026.01.12 21:00,1.73840,1.73860,1.73727,1.73757,2104,1
1768255200,2026.01.12 22:00,1.73755,1.73886,1.73661,1.73824,1583,1
1768258800,2026.01.12 23:00,1.73775,1.73914,1.73722,1.73899,824,44
1768262400,2026.01.13 00:00,1.73893,1.73950,1.73849,1.73933,2148,1
1768266000,2026.01.13 01:00,1.73932,1.73944,1.73787,1.73805,2429,1
1768269600,2026.01.13 02:00,1.73808,1.73828,1.73648,1.73719,4540,1
1768273200,2026.01.13 03:00,1.73720,1.73745,1.73606,1.73726,3054,1
1768276800,2026.01.13 04:00,1.73726,1.73790,1.73663,1.73750,2408,1
1768280400,2026.01.13 05:00,1.73749,1.73859,1.73728,1.73829,1928,1
1768284000,2026.01.13 06:00,1.73832,1.73909,1.73817,1.73817,2154,1
1768287600,2026.01.13 07:00,1.73817,1.73848,1.73748,1.73810,3269,1
1768291200,2026.01.13 08:00,1.73810,1.73972,1.73795,1.73971,3211,1
1768294800,2026.01.13 09:00,1.73979,1.74108,1.73916,1.74102,3554,1
1768298400,2026.01.13 10:00,1.74103,1.74105,1.73992,1.74052,3038,1
1768302000,2026.01.13 11:00,1.74055,1.74190,1.74055,1.74159,2643,1
1768305600,2026.01.13 12:00,1.74158,1.74192,1.74020,1.74046,2047,1
1768309200,2026.01.13 13:00,1.74045,1.74098,1.73934,1.73961,2778,1
1768312800,2026.01.13 14:00,1.73961,1.74001,1.73557,1.73915,9686,1
1768316400,2026.01.13 15:00,1.73916,1.74150,1.73778,1.74123,10355,1
1768320000,2026.01.13 16:00,1.74121,1.74455,1.74121,1.74252,8507,1
1768323600,2026.01.13 17:00,1.74251,1.74400,1.74241,1.74259,5676,1
1768327200,2026.01.13 18:00,1.74256,1.74358,1.74217,1.74315,4444,1
1768330800,2026.01.13 19:00,1.74316,1.74381,1.74274,1.74370,4633,1
1768334400,2026.01.13 20:00,1.74369,1.74395,1.74334,1.74347,4242,1
1768338000,2026.01.13 21:00,1.74351,1.74375,1.74254,1.74269,3185,1
1768341600,2026.01.13 22:00,1.74268,1.74324,1.74132,1.74132,1448,1
1768345200,2026.01.13 23:00,1.74101,1.74245,1.74063,1.74068,884,21
1768348800,2026.01.14 00:00,1.74063,1.74226,1.74063,1.74212,1364,1
1768352400,2026.01.14 01:00,1.74211,1.74285,1.74145,1.74270,2388,1
1768356000,2026.01.14 02:00,1.74268,1.74288,1.74140,1.74163,3997,1
1768359600,2026.01.14 03:00,1.74163,1.74172,1.73927,1.73972,3191,1
1768363200,2026.01.14 04:00,1.73973,1.73991,1.73838,1.73857,2778,1
1768366800,2026.01.14 05:00,1.73856,1.73914,1.73807,1.73877,1721,1
1768370400,2026.01.14 06:00,1.73877,1.73918,1.73818,1.73897,2571,1
1768374000,2026.01.14 07:00,1.73899,1.73955,1.73839,1.73850,3264,1
1768377600,2026.01.14 08:00,1.73848,1.73974,1.73796,1.73958,2509,1
1768381200,2026.01.14 09:00,1.73958,1.74143,1.73935,1.73994,4971,1
1768384800,2026.01.14 10:00,1.73992,1.74081,1.73918,1.74011,3521,1
1768388400,2026.01.14 11:00,1.74011,1.74421,1.73960,1.74346,4324,1
1768392000,2026.01.14 12:00,1.74346,1.74417,1.74274,1.74308,3564,1
1768395600,2026.01.14 13:00,1.74308,1.74463,1.74223,1.74428,4691,1
1768399200,2026.01.14 14:00,1.74439,1.74563,1.74347,1.74418,6699,1
1768402800,2026.01.14 15:00,1.74417,1.74463,1.74289,1.74383,9405,1
1768406400,2026.01.14 16:00,1.74380,1.74552,1.74230,1.74468,9806,1
1768410000,2026.01.14 17:00,1.74467,1.74574,1.74277,1.74525,6539,1
1768413600,2026.01.14 18:00,1.74526,1.74534,1.74415,1.74505,5876,1
1768417200,2026.01.14 19:00,1.74510,1.74510,1.74261,1.74261,5127,1
1768420800,2026.01.14 20:00,1.74268,1.74284,1.74198,1.74205,4238,1
1768424400,2026.01.14 21:00,1.74206,1.74283,1.74143,1.74180,5274,1
1768428000,2026.01.14 22:00,1.74186,1.74303,1.74110,1.74235,2090,1
1768431600,2026.01.14 23:00,1.74192,1.74282,1.74010,1.74224,923,53
1768435200,2026.01.15 00:00,1.74219,1.74426,1.74132,1.74270,2435,1
1768438800,2026.01.15 01:00,1.74270,1.74296,1.74077,1.74084,2361,1
1768442400,2026.01.15 02:00,1.74083,1.74294,1.74083,1.74214,4617,1
1768446000,2026.01.15 03:00,1.74213,1.74345,1.74192,1.74338,3532,1
1768449600,2026.01.15 04:00,1.74338,1.74567,1.74320,1.74433,2985,1
1768453200,2026.01.15 05:00,1.74434,1.74454,1.74290,1.74322,2047,1
1768456800,2026.01.15 06:00,1.74321,1.74363,1.74214,1.74264,2842,1
1768460400,2026.01.15 07:00,1.74264,1.74281,1.74048,1.74124,3510,1
1768464000,2026.01.15 08:00,1.74124,1.74138,1.73950,1.74004,3694,1
1768467600,2026.01.15 09:00,1.74003,1.74107,1.73811,1.73812,4206,1
1768471200,2026.01.15 10:00,1.73813,1.73815,1.73710,1.73787,3735,1
1768474800,2026.01.15 11:00,1.73786,1.73801,1.73678,1.73703,3204,1
1768478400,2026.01.15 12:00,1.73706,1.73737,1.73648,1.73670,2750,1
1768482000,2026.01.15 13:00,1.73670,1.73824,1.73651,1.73744,2800,1
1768485600,2026.01.15 14:00,1.73747,1.73873,1.73676,1.73729,6570,1
1768489200,2026.01.15 15:00,1.73729,1.73778,1.73528,1.73549,7446,1
1768492800,2026.01.15 16:00,1.73550,1.73558,1.73160,1.73172,7534,1
1768496400,2026.01.15 17:00,1.73172,1.73219,1.72993,1.73090,5128,1
1768500000,2026.01.15 18:00,1.73092,1.73191,1.73035,1.73144,3846,1
1768503600,2026.01.15 19:00,1.73146,1.73203,1.73108,1.73199,3202,1
1768507200,2026.01.15 20:00,1.73201,1.73320,1.73193,1.73280,4174,1
1768510800,2026.01.15 21:00,1.73286,1.73365,1.73245,1.73269,3612,1
1768514400,2026.01.15 22:00,1.73268,1.73300,1.73165,1.73260,1891,1
1768518000,2026.01.15 23:00,1.73148,1.73309,1.73136,1.73219,635,40
1768521600,2026.01.16 00:00,1.73225,1.73300,1.73193,1.73246,1237,1
1768525200,2026.01.16 01:00,1.73246,1.73284,1.73183,1.73257,2406,1
1768528800,2026.01.16 02:00,1.73254,1.73306,1.73116,1.73302,3881,1
1768532400,2026.01.16 03:00,1.73308,1.73354,1.73235,1.73295,3600,1
1768536000,2026.01.16 04:00,1.73295,1.73295,1.73127,1.73212,2229,1
1768539600,2026.01.16 05:00,1.73210,1.73237,1.73114,1.73140,1424,1
1768543200,2026.01.16 06:00,1.73140,1.73215,1.73127,1.73194,1968,1
1768546800,2026.01.16 07:00,1.73196,1.73314,1.73165,1.73275,2244,1
1768550400,2026.01.16 08:00,1.73274,1.73342,1.73244,1.73308,3131,1
1768554000,2026.01.16 09:00,1.73302,1.73308,1.73152,1.73230,3222,1
1768557600,2026.01.16 10:00,1.73230,1.73301,1.73162,1.73210,2603,1
1768561200,2026.01.16 11:00,1.73211,1.73258,1.73119,1.73173,2707,1
1768564800,2026.01.16 12:00,1.73173,1.73348,1.73154,1.73324,2814,1
1768568400,2026.01.16 13:00,1.73324,1.73444,1.73262,1.73424,3611,1
1768572000,2026.01.16 14:00,1.73425,1.73634,1.73386,1.73557,4604,1
1768575600,2026.01.16 15:00,1.73558,1.73799,1.73523,1.73759,6123,1
1768579200,2026.01.16 16:00,1.73758,1.73784,1.73494,1.73568,10605,1
1768582800,2026.01.16 17:00,1.73569,1.73669,1.73540,1.73596,7320,1
1768586400,2026.01.16 18:00,1.73602,1.73668,1.73536,1.73558,4381,1
1768590000,2026.01.16 19:00,1.73559,1.73567,1.73467,1.73520,2865,1
1768593600,2026.01.16 20:00,1.73520,1.73545,1.73437,1.73496,2880,1
1768597200,2026.01.16 21:00,1.73498,1.73567,1.73470,1.73515,2484,1
1768600800,2026.01.16 22:00,1.73514,1.73610,1.73287,1.73287,1733,1
1768780800,2026.01.19 00:00,1.73617,1.73863,1.73529,1.73812,6183,1
1768784400,2026.01.19 01:00,1.73812,1.73958,1.73737,1.73821,6993,1
