time,open,high,low,close,tick_volume,real_volume,spread
2022.01.03 00:00:00,1.56430000,1.56551000,1.56323000,1.56437000,224,0,99
2022.01.03 00:30:00,1.56436000,1.56619000,1.56398000,1.56444000,822,0,53
2022.01.03 01:00:00,1.56443000,1.56487000,1.56305000,1.56328000,917,0,2
2022.01.03 01:30:00,1.56328000,1.56480000,1.56288000,1.56479000,515,0,8
2022.01.03 02:00:00,1.56479000,1.56537000,1.56272000,1.56305000,679,0,4
2022.01.03 02:30:00,1.56309000,1.56398000,1.56289000,1.56376000,992,0,5
2022.01.03 03:00:00,1.56379000,1.56408000,1.56162000,1.56199000,768,0,1
2022.01.03 03:30:00,1.56208000,1.56584000,1.56199000,1.56537000,1488,0,0
2022.01.03 04:00:00,1.56537000,1.56630000,1.56470000,1.56474000,1126,0,0
2022.01.03 04:30:00,1.56472000,1.56520000,1.56371000,1.56398000,897,0,5
2022.01.03 05:00:00,1.56376000,1.56568000,1.56349000,1.56556000,803,0,0
2022.01.03 05:30:00,1.56556000,1.56690000,1.56506000,1.56551000,869,0,2
2022.01.03 06:00:00,1.56557000,1.56561000,1.56437000,1.56456000,409,0,4
2022.01.03 06:30:00,1.56456000,1.56496000,1.56434000,1.56439000,382,0,3
2022.01.03 07:00:00,1.56431000,1.56467000,1.56408000,1.56429000,424,0,6
2022.01.03 07:30:00,1.56429000,1.56497000,1.56384000,1.56478000,693,0,0
2022.01.03 08:00:00,1.56477000,1.56516000,1.56414000,1.56505000,952,0,2
2022.01.03 08:30:00,1.56501000,1.56521000,1.56380000,1.56382000,623,0,4
2022.01.03 09:00:00,1.56391000,1.56460000,1.56334000,1.56340000,1069,0,5
2022.01.03 09:30:00,1.56343000,1.56388000,1.56267000,1.56368000,1181,0,4
2022.01.03 10:00:00,1.56372000,1.56372000,1.56074000,1.56111000,1987,0,2
2022.01.03 10:30:00,1.56110000,1.56282000,1.56101000,1.56265000,1731,0,5
2022.01.03 11:00:00,1.56264000,1.56415000,1.56218000,1.56233000,1453,0,4
2022.01.03 11:30:00,1.56230000,1.56549000,1.56203000,1.56453000,2011,0,1
2022.01.03 12:00:00,1.56453000,1.56574000,1.56418000,1.56436000,1118,0,3
2022.01.03 12:30:00,1.56436000,1.56652000,1.56416000,1.56623000,1445,0,4
2022.01.03 13:00:00,1.56620000,1.56775000,1.56536000,1.56712000,1687,0,2
2022.01.03 13:30:00,1.56712000,1.56753000,1.56659000,1.56663000,1229,0,4
2022.01.03 14:00:00,1.56663000,1.56812000,1.56628000,1.56713000,1437,0,3
2022.01.03 14:30:00,1.56713000,1.56807000,1.56643000,1.56795000,1626,0,4
2022.01.03 15:00:00,1.56793000,1.57028000,1.56703000,1.57020000,2028,0,6
2022.01.03 15:30:00,1.57024000,1.57190000,1.56976000,1.57146000,2119,0,4
2022.01.03 16:00:00,1.57151000,1.57226000,1.57088000,1.57139000,2101,0,5
2022.01.03 16:30:00,1.57139000,1.57281000,1.57046000,1.57098000,3477,0,2
2022.01.03 17:00:00,1.57088000,1.57296000,1.57013000,1.57129000,3370,0,3
2022.01.03 17:30:00,1.57129000,1.57210000,1.57077000,1.57116000,2742,0,0
2022.01.03 18:00:00,1.57116000,1.57182000,1.56990000,1.57011000,2661,0,0
2022.01.03 18:30:00,1.57013000,1.57071000,1.56825000,1.56916000,2065,0,0
2022.01.03 19:00:00,1.56916000,1.56955000,1.56812000,1.56832000,1569,0,3
2022.01.03 19:30:00,1.56829000,1.56885000,1.56722000,1.56789000,824,0,0
2022.01.03 20:00:00,1.56790000,1.56857000,1.56747000,1.56854000,847,0,6
2022.01.03 20:30:00,1.56851000,1.56893000,1.56826000,1.56874000,527,0,7
2022.01.03 21:00:00,1.56874000,1.57080000,1.56874000,1.57076000,710,0,8
2022.01.03 21:30:00,1.57076000,1.57113000,1.57015000,1.57102000,857,0,5
2022.01.03 22:00:00,1.57102000,1.57183000,1.57064000,1.57156000,575,0,6
2022.01.03 22:30:00,1.57153000,1.57240000,1.57117000,1.57165000,742,0,2
2022.01.03 23:00:00,1.57165000,1.57201000,1.57129000,1.57142000,380,0,9
2022.01.03 23:30:00,1.57142000,1.57148000,1.57064000,1.57081000,411,0,11
2022.01.04 00:00:00,1.57081000,1.57081000,1.56937000,1.57061000,604,0,61
2022.01.04 00:30:00,1.57063000,1.57131000,1.56981000,1.57092000,1979,0,46
2022.01.04 01:00:00,1.57098000,1.57170000,1.56970000,1.57006000,898,0,6
