time_epoch,time_server,open,high,low,close,tick_volume,spread
1609718400,2021.01.04 00:00,1.55629,1.55920,1.55561,1.55697,11838,2
1609732800,2021.01.04 04:00,1.55696,1.55751,1.55521,1.55725,11820,1
1609747200,2021.01.04 08:00,1.55725,1.55970,1.55586,1.55808,17841,0
1609761600,2021.01.04 12:00,1.55808,1.56303,1.55701,1.56185,18612,0
1609776000,2021.01.04 16:00,1.56186,1.56803,1.55938,1.56607,30100,0
1609790400,2021.01.04 20:00,1.56606,1.56673,1.56366,1.56426,15394,0
1609804800,2021.01.05 00:00,1.56425,1.56683,1.56409,1.56539,12321,3
1609819200,2021.01.05 04:00,1.56540,1.56573,1.56366,1.56489,14031,1
1609833600,2021.01.05 08:00,1.56489,1.56591,1.56234,1.56316,20258,0
1609848000,2021.01.05 12:00,1.56316,1.56666,1.56277,1.56631,18898,0
1609862400,2021.01.05 16:00,1.56631,1.56658,1.55864,1.55921,27520,0
1609876800,2021.01.05 20:00,1.55920,1.55934,1.55654,1.55740,12793,0
1609891200,2021.01.06 00:00,1.55718,1.56093,1.55683,1.55800,17233,3
1609905600,2021.01.06 04:00,1.55799,1.55933,1.55721,1.55747,23518,0
1609920000,2021.01.06 08:00,1.55748,1.56304,1.55747,1.56114,24871,0
1609934400,2021.01.06 12:00,1.56111,1.56587,1.55826,1.56509,24733,0
1609948800,2021.01.06 16:00,1.56509,1.56525,1.55833,1.55895,30009,0
1609963200,2021.01.06 20:00,1.55895,1.56422,1.55834,1.56203,23554,0
1609977600,2021.01.07 00:00,1.56203,1.56390,1.56177,1.56288,12228,0
1609992000,2021.01.07 04:00,1.56284,1.56341,1.56103,1.56129,13294,2
1610006400,2021.01.07 08:00,1.56129,1.56218,1.55755,1.55892,20516,0
1610020800,2021.01.07 12:00,1.55889,1.56095,1.55760,1.56038,21035,0
1610035200,2021.01.07 16:00,1.56037,1.56156,1.55845,1.55947,26579,0
1610049600,2021.01.07 20:00,1.55950,1.55997,1.55439,1.55717,13120,0
1610064000,2021.01.08 00:00,1.55721,1.55775,1.55335,1.55427,12569,0
1610078400,2021.01.08 04:00,1.55427,1.55537,1.55389,1.55427,13995,2
1610092800,2021.01.08 08:00,1.55428,1.55591,1.55053,1.55161,22148,0
1610107200,2021.01.08 12:00,1.55159,1.55718,1.55133,1.55574,18952,0
1610121600,2021.01.08 16:00,1.55574,1.55813,1.55358,1.55404,31814,0
1610136000,2021.01.08 20:00,1.55405,1.55510,1.55127,1.55127,18177,0
1610323200,2021.01.11 00:00,1.55030,1.55257,1.54980,1.55219,9026,0
1610337600,2021.01.11 04:00,1.55220,1.55421,1.55158,1.55414,10363,4
1610352000,2021.01.11 08:00,1.55414,1.55622,1.55233,1.55252,17506,0
1610366400,2021.01.11 12:00,1.55252,1.55903,1.55188,1.55862,16490,0
1610380800,2021.01.11 16:00,1.55862,1.55908,1.55323,1.55341,23654,0
1610395200,2021.01.11 20:00,1.55341,1.55461,1.55272,1.55322,9483,0
1610409600,2021.01.12 00:00,1.55322,1.55374,1.55133,1.55277,8669,3
1610424000,2021.01.12 04:00,1.55276,1.55294,1.55037,1.55127,7871,1
1610438400,2021.01.12 08:00,1.55131,1.55171,1.54920,1.54939,15084,0
1610452800,2021.01.12 12:00,1.54937,1.55109,1.54843,1.55063,17035,0
1610467200,2021.01.12 16:00,1.55063,1.55319,1.54996,1.55153,20958,0
1610481600,2021.01.12 20:00,1.55151,1.55247,1.55093,1.55132,13079,0
