time_epoch,time_server,open,high,low,close,tick_volume,spread
1719792000,2024.07.01 00:00,1.46850,1.46859,1.46691,1.46789,146,80
1719792900,2024.07.01 00:15,1.46836,1.46856,1.46777,1.46787,84,69
1719793800,2024.07.01 00:30,1.46792,1.46856,1.46744,1.46804,235,69
1719794700,2024.07.01 00:45,1.46810,1.46818,1.46775,1.46791,138,69
1719795600,2024.07.01 01:00,1.46754,1.46785,1.46705,1.46756,277,20
1719796500,2024.07.01 01:15,1.46753,1.46816,1.46726,1.46806,212,17
1719797400,2024.07.01 01:30,1.46806,1.46809,1.46775,1.46790,170,16
1719798300,2024.07.01 01:45,1.46790,1.46805,1.46775,1.46800,196,18
1719799200,2024.07.01 02:00,1.46802,1.46811,1.46791,1.46801,210,17
1719800100,2024.07.01 02:15,1.46803,1.46814,1.46778,1.46779,203,11
1719801000,2024.07.01 02:30,1.46778,1.46778,1.46751,1.46771,139,8
1719801900,2024.07.01 02:45,1.46772,1.46791,1.46741,1.46787,230,12
1719802800,2024.07.01 03:00,1.46788,1.46836,1.46788,1.46817,388,12
1719803700,2024.07.01 03:15,1.46818,1.46950,1.46817,1.46911,474,7
1719804600,2024.07.01 03:30,1.46908,1.46963,1.46908,1.46959,412,12
1719805500,2024.07.01 03:45,1.46959,1.46963,1.46907,1.46925,468,12
1719806400,2024.07.01 04:00,1.46925,1.46961,1.46913,1.46950,572,12
1719807300,2024.07.01 04:15,1.46954,1.47024,1.46945,1.47022,457,12
1719808200,2024.07.01 04:30,1.47022,1.47054,1.46943,1.46944,545,12
1719809100,2024.07.01 04:45,1.46944,1.46961,1.46917,1.46944,413,12
1719810000,2024.07.01 05:00,1.46945,1.46959,1.46929,1.46929,447,12
1719810900,2024.07.01 05:15,1.46929,1.46983,1.46922,1.46969,333,12
1719811800,2024.07.01 05:30,1.46968,1.46977,1.46958,1.46969,271,12
1719812700,2024.07.01 05:45,1.46968,1.47040,1.46965,1.47038,271,12
1719813600,2024.07.01 06:00,1.47037,1.47048,1.47016,1.47046,292,12
1719814500,2024.07.01 06:15,1.47044,1.47064,1.47039,1.47047,253,12
1719815400,2024.07.01 06:30,1.47046,1.47054,1.47037,1.47045,253,12
1719816300,2024.07.01 06:45,1.47046,1.47052,1.47022,1.47035,294,12
1719817200,2024.07.01 07:00,1.47036,1.47089,1.47033,1.47089,223,12
1719818100,2024.07.01 07:15,1.47090,1.47094,1.47050,1.47054,271,12
1719819000,2024.07.01 07:30,1.47053,1.47057,1.47017,1.47030,210,12
1719819900,2024.07.01 07:45,1.47032,1.47051,1.47016,1.47040,339,12
1719820800,2024.07.01 08:00,1.47037,1.47074,1.47036,1.47073,275,12
1719821700,2024.07.01 08:15,1.47068,1.47083,1.47043,1.47064,273,12
1719822600,2024.07.01 08:30,1.47065,1.47098,1.47062,1.47096,348,12
1719823500,2024.07.01 08:45,1.47096,1.47112,1.47026,1.47039,391,12
1719824400,2024.07.01 09:00,1.47039,1.47193,1.47039,1.47158,694,12
1719825300,2024.07.01 09:15,1.47158,1.47237,1.47158,1.47221,602,9
1719826200,2024.07.01 09:30,1.47216,1.47240,1.47145,1.47153,674,11
1719827100,2024.07.01 09:45,1.47156,1.47219,1.47123,1.47200,635,12
1719828000,2024.07.01 10:00,1.47198,1.47242,1.47169,1.47214,830,12
1719828900,2024.07.01 10:15,1.47214,1.47214,1.47059,1.47097,716,12
1719829800,2024.07.01 10:30,1.47097,1.47172,1.47086,1.47107,634,12
1719830700,2024.07.01 10:45,1.47110,1.47129,1.47056,1.47074,609,12
1719831600,2024.07.01 11:00,1.47079,1.47103,1.47033,1.47094,797,12
1719832500,2024.07.01 11:15,1.47094,1.47167,1.47054,1.47138,659,12
1719833400,2024.07.01 11:30,1.47130,1.47217,1.47130,1.47214,609,12
1719834300,2024.07.01 11:45,1.47213,1.47250,1.47206,1.47219,506,12
1719835200,2024.07.01 12:00,1.47219,1.47239,1.47186,1.47204,559,12
1719836100,2024.07.01 12:15,1.47205,1.47306,1.47202,1.47242,533,12
1719837000,2024.07.01 12:30,1.47239,1.47268,1.47182,1.47192,524,12
