time,open,high,low,close,tick_volume,real_volume,spread
2022.01.03 00:00:00,1.43672000,1.43784000,1.43608000,1.43759000,630,0,99
2022.01.03 00:30:00,1.43758000,1.43798000,1.43715000,1.43716000,479,0,69
2022.01.03 01:00:00,1.43716000,1.43766000,1.43646000,1.43672000,780,0,21
2022.01.03 01:30:00,1.43672000,1.43974000,1.43649000,1.43968000,805,0,15
2022.01.03 02:00:00,1.43964000,1.43967000,1.43800000,1.43800000,811,0,9
2022.01.03 02:30:00,1.43802000,1.43805000,1.43728000,1.43767000,629,0,2
2022.01.03 03:00:00,1.43767000,1.43803000,1.43682000,1.43690000,511,0,6
2022.01.03 03:30:00,1.43691000,1.43836000,1.43674000,1.43820000,1032,0,6
2022.01.03 04:00:00,1.43820000,1.43844000,1.43724000,1.43738000,925,0,6
2022.01.03 04:30:00,1.43737000,1.43812000,1.43730000,1.43744000,799,0,8
2022.01.03 05:00:00,1.43741000,1.43813000,1.43719000,1.43807000,438,0,6
2022.01.03 05:30:00,1.43807000,1.43924000,1.43806000,1.43874000,619,0,8
2022.01.03 06:00:00,1.43876000,1.43876000,1.43758000,1.43783000,353,0,7
2022.01.03 06:30:00,1.43779000,1.43813000,1.43745000,1.43751000,421,0,7
2022.01.03 07:00:00,1.43751000,1.43789000,1.43741000,1.43759000,354,0,6
2022.01.03 07:30:00,1.43758000,1.43794000,1.43745000,1.43756000,440,0,8
2022.01.03 08:00:00,1.43757000,1.43847000,1.43728000,1.43833000,423,0,7
2022.01.03 08:30:00,1.43834000,1.43906000,1.43801000,1.43805000,594,0,5
2022.01.03 09:00:00,1.43805000,1.43913000,1.43771000,1.43776000,954,0,7
2022.01.03 09:30:00,1.43779000,1.43856000,1.43737000,1.43833000,969,0,5
2022.01.03 10:00:00,1.43834000,1.43834000,1.43621000,1.43636000,1982,0,6
2022.01.03 10:30:00,1.43636000,1.43796000,1.43604000,1.43783000,1305,0,7
2022.01.03 11:00:00,1.43783000,1.43917000,1.43713000,1.43724000,1309,0,8
2022.01.03 11:30:00,1.43723000,1.44008000,1.43682000,1.43934000,1512,0,7
2022.01.03 12:00:00,1.43935000,1.44004000,1.43924000,1.43942000,1082,0,7
2022.01.03 12:30:00,1.43942000,1.44022000,1.43894000,1.43988000,1003,0,7
2022.01.03 13:00:00,1.43991000,1.44126000,1.43934000,1.44066000,1373,0,7
2022.01.03 13:30:00,1.44066000,1.44102000,1.43970000,1.44017000,1309,0,6
2022.01.03 14:00:00,1.44017000,1.44045000,1.43924000,1.43971000,1273,0,6
2022.01.03 14:30:00,1.43970000,1.44056000,1.43902000,1.44043000,1409,0,5
2022.01.03 15:00:00,1.44043000,1.44367000,1.43997000,1.44352000,2271,0,3
2022.01.03 15:30:00,1.44347000,1.44380000,1.44257000,1.44336000,2299,0,6
2022.01.03 16:00:00,1.44335000,1.44377000,1.44208000,1.44280000,2323,0,4
2022.01.03 16:30:00,1.44279000,1.44394000,1.44022000,1.44030000,4345,0,3
2022.01.03 17:00:00,1.44031000,1.44150000,1.43985000,1.44102000,3736,0,4
2022.01.03 17:30:00,1.44101000,1.44362000,1.44090000,1.44224000,3283,0,1
2022.01.03 18:00:00,1.44222000,1.44242000,1.44039000,1.44064000,2541,0,4
2022.01.03 18:30:00,1.44065000,1.44116000,1.43914000,1.44001000,2608,0,0
2022.01.03 19:00:00,1.44001000,1.44041000,1.43889000,1.43903000,1969,0,0
2022.01.03 19:30:00,1.43901000,1.43952000,1.43876000,1.43922000,966,0,3
2022.01.03 20:00:00,1.43921000,1.43975000,1.43900000,1.43957000,795,0,6
2022.01.03 20:30:00,1.43958000,1.44007000,1.43931000,1.43938000,634,0,6
2022.01.03 21:00:00,1.43938000,1.44080000,1.43937000,1.44076000,916,0,4
2022.01.03 21:30:00,1.44076000,1.44101000,1.43989000,1.44002000,1113,0,5
