time_epoch,time_server,open,high,low,close,tick_volume,spread
1609718400,2021.01.04 00:00,1.08011,1.08132,1.08010,1.08121,425,39
1609722000,2021.01.04 01:00,1.08121,1.08193,1.08094,1.08181,1313,8
1609725600,2021.01.04 02:00,1.08181,1.08214,1.08164,1.08169,1380,5
1609729200,2021.01.04 03:00,1.08169,1.08275,1.08165,1.08259,1448,4
1609732800,2021.01.04 04:00,1.08259,1.08290,1.08241,1.08265,872,5
1609736400,2021.01.04 05:00,1.08265,1.08312,1.08259,1.08295,712,1
1609740000,2021.01.04 06:00,1.08295,1.08313,1.08280,1.08290,611,4
1609743600,2021.01.04 07:00,1.08290,1.08297,1.08263,1.08285,696,3
1609747200,2021.01.04 08:00,1.08285,1.08305,1.08206,1.08232,956,4
1609750800,2021.01.04 09:00,1.08234,1.08310,1.08226,1.08278,1758,2
1609754400,2021.01.04 10:00,1.08278,1.08279,1.08056,1.08128,2591,0
1609758000,2021.01.04 11:00,1.08128,1.08176,1.08089,1.08149,2435,1
1609761600,2021.01.04 12:00,1.08149,1.08187,1.08099,1.08125,1519,1
1609765200,2021.01.04 13:00,1.08125,1.08190,1.08072,1.08159,1550,0
1609768800,2021.01.04 14:00,1.08159,1.08175,1.08058,1.08086,2224,3
1609772400,2021.01.04 15:00,1.08086,1.08174,1.08034,1.08166,2903,0
1609776000,2021.01.04 16:00,1.08165,1.08255,1.08125,1.08227,3123,1
1609779600,2021.01.04 17:00,1.08228,1.08261,1.07918,1.07944,4370,1
1609783200,2021.01.04 18:00,1.07945,1.08029,1.07903,1.07975,4274,1
1609786800,2021.01.04 19:00,1.07975,1.08036,1.07947,1.07990,2406,2
1609790400,2021.01.04 20:00,1.07990,1.08011,1.07912,1.07941,1706,3
1609794000,2021.01.04 21:00,1.07941,1.07945,1.07891,1.07896,1635,3
1609797600,2021.01.04 22:00,1.07896,1.07939,1.07896,1.07919,1506,4
1609801200,2021.01.04 23:00,1.07919,1.07941,1.07891,1.07899,1352,5
1609804800,2021.01.05 00:00,1.07925,1.07972,1.07861,1.07901,505,47
1609808400,2021.01.05 01:00,1.07904,1.07978,1.07896,1.07974,437,9
1609812000,2021.01.05 02:00,1.07975,1.08015,1.07967,1.08011,810,6
1609815600,2021.01.05 03:00,1.08011,1.08062,1.08005,1.08029,1004,3
1609819200,2021.01.05 04:00,1.08030,1.08056,1.08030,1.08038,700,4
1609822800,2021.01.05 05:00,1.08038,1.08038,1.07989,1.08002,736,4
1609826400,2021.01.05 06:00,1.08002,1.08016,1.07970,1.08012,695,5
1609830000,2021.01.05 07:00,1.08010,1.08035,1.08006,1.08035,660,6
1609833600,2021.01.05 08:00,1.08035,1.08040,1.07995,1.08027,867,6
1609837200,2021.01.05 09:00,1.08027,1.08034,1.07980,1.07990,1131,3
1609840800,2021.01.05 10:00,1.07988,1.08026,1.07899,1.07946,2348,0
1609844400,2021.01.05 11:00,1.07947,1.08037,1.07925,1.08004,1710,0
1609848000,2021.01.05 12:00,1.08004,1.08195,1.07978,1.08114,1660,0
1609851600,2021.01.05 13:00,1.08114,1.08154,1.08023,1.08036,1828,2
1609855200,2021.01.05 14:00,1.08036,1.08036,1.07945,1.07995,2103,3
1609858800,2021.01.05 15:00,1.07995,1.08045,1.07913,1.07961,2042,2
1609862400,2021.01.05 16:00,1.07961,1.08010,1.07927,1.07936,2738,0
1609866000,2021.01.05 17:00,1.07934,1.07997,1.07929,1.07963,3613,2
1609869600,2021.01.05 18:00,1.07964,1.08020,1.07923,1.07995,3131,2
1609873200,2021.01.05 19:00,1.07996,1.08040,1.07969,1.07984,2500,2
1609876800,2021.01.05 20:00,1.07984,1.07995,1.07949,1.07965,2001,2
1609880400,2021.01.05 21:00,1.07965,1.08007,1.07956,1.08001,1505,1
1609884000,2021.01.05 22:00,1.07999,1.08035,1.07981,1.08024,1183,2
1609887600,2021.01.05 23:00,1.08024,1.08039,1.07980,1.07993,779,3
