time_epoch,time_server,open,high,low,close,tick_volume,spread
1609718400,2021.01.04 00:00,0.89584,0.89615,0.89509,0.89524,430,16
1609722000,2021.01.04 01:00,0.89524,0.89582,0.89507,0.89538,1886,2
1609725600,2021.01.04 02:00,0.89538,0.89603,0.89492,0.89520,1717,3
1609729200,2021.01.04 03:00,0.89521,0.89562,0.89473,0.89546,2329,3
1609732800,2021.01.04 04:00,0.89546,0.89560,0.89467,0.89490,1969,5
1609736400,2021.01.04 05:00,0.89490,0.89506,0.89440,0.89478,1897,0
1609740000,2021.01.04 06:00,0.89476,0.89546,0.89435,0.89528,1161,1
1609743600,2021.01.04 07:00,0.89528,0.89584,0.89511,0.89556,1250,1
1609747200,2021.01.04 08:00,0.89556,0.89567,0.89513,0.89550,1964,2
1609750800,2021.01.04 09:00,0.89550,0.89613,0.89503,0.89596,3021,1
1609754400,2021.01.04 10:00,0.89596,0.89779,0.89566,0.89700,4120,0
1609758000,2021.01.04 11:00,0.89700,0.89959,0.89675,0.89903,3616,2
1609761600,2021.01.04 12:00,0.89905,0.89921,0.89748,0.89769,2536,1
1609765200,2021.01.04 13:00,0.89769,0.89952,0.89728,0.89926,2441,1
1609768800,2021.01.04 14:00,0.89926,0.90113,0.89919,0.90105,3500,0
1609772400,2021.01.04 15:00,0.90103,0.90289,0.90075,0.90256,4854,0
1609776000,2021.01.04 16:00,0.90257,0.90358,0.90206,0.90311,5288,0
1609779600,2021.01.04 17:00,0.90309,0.90451,0.90308,0.90375,6280,0
1609783200,2021.01.04 18:00,0.90376,0.90443,0.90249,0.90427,4947,0
1609786800,2021.01.04 19:00,0.90427,0.90485,0.90291,0.90316,4207,1
1609790400,2021.01.04 20:00,0.90316,0.90361,0.90283,0.90324,2537,0
1609794000,2021.01.04 21:00,0.90324,0.90373,0.90301,0.90307,1915,1
1609797600,2021.01.04 22:00,0.90307,0.90371,0.90272,0.90274,2147,1
1609801200,2021.01.04 23:00,0.90275,0.90329,0.90167,0.90274,1442,4
1609804800,2021.01.05 00:00,0.90240,0.90265,0.90195,0.90226,477,26
1609808400,2021.01.05 01:00,0.90231,0.90326,0.90215,0.90279,1202,4
1609812000,2021.01.05 02:00,0.90280,0.90330,0.90257,0.90301,1635,3
1609815600,2021.01.05 03:00,0.90301,0.90340,0.90283,0.90324,1741,3
1609819200,2021.01.05 04:00,0.90324,0.90342,0.90278,0.90314,1296,4
1609822800,2021.01.05 05:00,0.90314,0.90344,0.90270,0.90332,1650,4
1609826400,2021.01.05 06:00,0.90332,0.90340,0.90275,0.90297,2326,1
1609830000,2021.01.05 07:00,0.90297,0.90299,0.90214,0.90249,2228,0
1609833600,2021.01.05 08:00,0.90249,0.90274,0.90163,0.90168,2216,0
1609837200,2021.01.05 09:00,0.90165,0.90378,0.90148,0.90332,2615,2
1609840800,2021.01.05 10:00,0.90332,0.90531,0.90253,0.90515,4453,0
1609844400,2021.01.05 11:00,0.90516,0.90540,0.90342,0.90413,3194,2
1609848000,2021.01.05 12:00,0.90413,0.90445,0.90326,0.90362,2998,0
1609851600,2021.01.05 13:00,0.90362,0.90403,0.90256,0.90378,3286,2
1609855200,2021.01.05 14:00,0.90380,0.90422,0.90328,0.90338,3634,1
1609858800,2021.01.05 15:00,0.90338,0.90478,0.90287,0.90380,4268,0
1609862400,2021.01.05 16:00,0.90381,0.90414,0.90157,0.90173,4936,1
1609866000,2021.01.05 17:00,0.90166,0.90346,0.90134,0.90302,6235,0
1609869600,2021.01.05 18:00,0.90302,0.90308,0.90156,0.90279,5137,0
1609873200,2021.01.05 19:00,0.90279,0.90279,0.90147,0.90216,3848,1
1609876800,2021.01.05 20:00,0.90216,0.90326,0.90197,0.90207,2284,2
1609880400,2021.01.05 21:00,0.90207,0.90302,0.90176,0.90269,1580,2
1609884000,2021.01.05 22:00,0.90269,0.90270,0.90192,0.90221,1657,3
1609887600,2021.01.05 23:00,0.90219,0.90258,0.90202,0.90234,955,1
1609891200,2021.01.06 00:00,0.90213,0.90288,0.90205,0.90245,512,5
1609894800,2021.01.06 01:00,0.90245,0.90286,0.90237,0.90249,964,3
1609898400,2021.01.06 02:00,0.90250,0.90328,0.90170,0.90279,2264,1
1609902000,2021.01.06 03:00,0.90279,0.90316,0.90209,0.90316,3542,2
1609905600,2021.01.06 04:00,0.90314,0.90334,0.90286,0.90314,2980,2
