time_epoch,time_server,open,high,low,close,tick_volume,spread
1609718400,2021.01.04 00:00,1.70098,1.70461,1.69978,1.70125,11647,8
1609732800,2021.01.04 04:00,1.70125,1.70396,1.69991,1.70234,11773,6
1609747200,2021.01.04 08:00,1.70234,1.70298,1.69927,1.70270,16256,2
1609761600,2021.01.04 12:00,1.70272,1.70796,1.70018,1.70506,16074,1
1609776000,2021.01.04 16:00,1.70501,1.71282,1.70431,1.71018,34073,3
1609790400,2021.01.04 20:00,1.71026,1.71055,1.70538,1.70563,12047,5
1609804800,2021.01.05 00:00,1.70603,1.70866,1.70482,1.70766,10815,7
1609819200,2021.01.05 04:00,1.70766,1.70766,1.69975,1.70028,14123,4
1609833600,2021.01.05 08:00,1.70031,1.70252,1.69870,1.70149,18512,0
1609848000,2021.01.05 12:00,1.70145,1.70605,1.70137,1.70491,18106,1
1609862400,2021.01.05 16:00,1.70491,1.70521,1.69529,1.69535,29896,3
1609876800,2021.01.05 20:00,1.69537,1.69659,1.69406,1.69576,9715,1
1609891200,2021.01.06 00:00,1.69563,1.69764,1.69342,1.69465,16540,1
1609905600,2021.01.06 04:00,1.69466,1.69749,1.69179,1.69218,22508,4
1609920000,2021.01.06 08:00,1.69217,1.69355,1.68828,1.68885,23911,3
1609934400,2021.01.06 12:00,1.68885,1.69362,1.68688,1.69305,24010,3
1609948800,2021.01.06 16:00,1.69303,1.69364,1.68650,1.68654,35468,0
1609963200,2021.01.06 20:00,1.68653,1.69282,1.68631,1.68920,19516,1
1609977600,2021.01.07 00:00,1.68768,1.69217,1.68626,1.69041,12305,1
1609992000,2021.01.07 04:00,1.69041,1.69186,1.68960,1.69148,13973,6
1610006400,2021.01.07 08:00,1.69148,1.69280,1.68910,1.69055,20995,3
1610020800,2021.01.07 12:00,1.69055,1.69388,1.68891,1.69370,22481,1
1610035200,2021.01.07 16:00,1.69370,1.69687,1.69142,1.69283,31237,0
1610049600,2021.01.07 20:00,1.69284,1.69300,1.68895,1.69096,9883,3
1610064000,2021.01.08 00:00,1.69113,1.69174,1.68815,1.68947,10937,8
1610078400,2021.01.08 04:00,1.68947,1.69067,1.68765,1.68798,14345,0
1610092800,2021.01.08 08:00,1.68799,1.68886,1.68446,1.68478,21998,3
1610107200,2021.01.08 12:00,1.68486,1.68828,1.68446,1.68599,21122,2
1610121600,2021.01.08 16:00,1.68597,1.69107,1.68566,1.68999,36380,1
1610136000,2021.01.08 20:00,1.69001,1.69247,1.68819,1.68826,15208,3
1610323200,2021.01.11 00:00,1.68612,1.69370,1.68608,1.69314,9968,1
1610337600,2021.01.11 04:00,1.69331,1.69443,1.69168,1.69434,11312,4
1610352000,2021.01.11 08:00,1.69428,1.69560,1.69213,1.69218,17862,0
1610366400,2021.01.11 12:00,1.69216,1.69542,1.69029,1.69473,18837,3
1610380800,2021.01.11 16:00,1.69473,1.69825,1.69306,1.69433,27486,0
1610395200,2021.01.11 20:00,1.69436,1.69670,1.69374,1.69584,8380,2
1610409600,2021.01.12 00:00,1.69654,1.69683,1.69431,1.69485,9406,7
1610424000,2021.01.12 04:00,1.69485,1.69601,1.69337,1.69362,9798,7
1610438400,2021.01.12 08:00,1.69362,1.69584,1.69100,1.69168,16058,0
1610452800,2021.01.12 12:00,1.69170,1.69530,1.68942,1.69476,17672,2
1610467200,2021.01.12 16:00,1.69479,1.69661,1.69218,1.69272,23700,1
1610481600,2021.01.12 20:00,1.69272,1.69323,1.68771,1.68906,11726,1
1610496000,2021.01.13 00:00,1.69023,1.69032,1.68720,1.68904,7092,0
1610510400,2021.01.13 04:00,1.68903,1.69107,1.68785,1.69016,8048,2
1610524800,2021.01.13 08:00,1.69012,1.69337,1.68897,1.69278,14168,0
1610539200,2021.01.13 12:00,1.69278,1.69578,1.69226,1.69383,17656,0
1610553600,2021.01.13 16:00,1.69383,1.69660,1.69014,1.69087,24643,3
1610568000,2021.01.13 20:00,1.69092,1.69418,1.68856,1.69316,8783,0
1610582400,2021.01.14 00:00,1.69310,1.69420,1.69028,1.69186,6782,3
1610596800,2021.01.14 04:00,1.69186,1.69275,1.68631,1.68676,11207,0
1610611200,2021.01.14 08:00,1.68674,1.69054,1.68603,1.68956,13866,3
1610625600,2021.01.14 12:00,1.68956,1.69116,1.68481,1.68718,18005,3
1610640000,2021.01.14 16:00,1.68718,1.68817,1.68124,1.68196,23945,1
1610654400,2021.01.14 20:00,1.68196,1.68373,1.68106,1.68243,11760,0
1610668800,2021.01.15 00:00,1.68196,1.68542,1.68128,1.68499,6794,8
1610683200,2021.01.15 04:00,1.68499,1.68765,1.68445,1.68690,9637,3
1610697600,2021.01.15 08:00,1.68690,1.68990,1.68533,1.68838,14336,4
1610712000,2021.01.15 12:00,1.68837,1.69156,1.68704,1.69129,18859,2
1610726400,2021.01.15 16:00,1.69129,1.69746,1.68981,1.69079,28413,1
1610740800,2021.01.15 20:00,1.69079,1.69382,1.69017,1.69360,10195,4
1610928000,2021.01.18 00:00,1.69022,1.69595,1.68968,1.69456,9856,4
1610942400,2021.01.18 04:00,1.69456,1.69543,1.69305,1.69494,10261,2
1610956800,2021.01.18 08:00,1.69494,1.70070,1.69468,1.69804,15471,0
1610971200,2021.01.18 12:00,1.69804,1.69919,1.69561,1.69598,13570,0
1610985600,2021.01.18 16:00,1.69595,1.69871,1.69577,1.69849,11630,0
1611000000,2021.01.18 20:00,1.69849,1.69932,1.69672,1.69748,5167,1
1611014400,2021.01.19 00:00,1.69748,1.69914,1.69432,1.69577,7548,3
1611028800,2021.01.19 04:00,1.69577,1.69652,1.69381,1.69558,10826,3
1611043200,2021.01.19 08:00,1.69557,1.70252,1.69476,1.70185,15513,5
1611057600,2021.01.19 12:00,1.70189,1.70436,1.70123,1.70256,16777,0
1611072000,2021.01.19 16:00,1.70256,1.70723,1.70194,1.70342,23399,0
1611086400,2021.01.19 20:00,1.70342,1.70565,1.70214,1.70295,6805,4
1611100800,2021.01.20 00:00,1.70144,1.70534,1.70144,1.70482,8348,3
1611115200,2021.01.20 04:00,1.70482,1.70496,1.70173,1.70252,7939,2
1611129600,2021.01.20 08:00,1.70248,1.70315,1.69795,1.69892,15696,0
1611144000,2021.01.20 12:00,1.69890,1.69927,1.69538,1.69547,16156,4
1611158400,2021.01.20 16:00,1.69547,1.69561,1.68801,1.69107,24636,2
1611172800,2021.01.20 20:00,1.69111,1.69136,1.68734,1.68743,7864,1
1611187200,2021.01.21 00:00,1.68733,1.68841,1.68388,1.68478,8229,1
1611201600,2021.01.21 04:00,1.68480,1.68498,1.68236,1.68298,8943,2
1611216000,2021.01.21 08:00,1.68298,1.68594,1.68200,1.68242,14162,2
1611230400,2021.01.21 12:00,1.68239,1.68748,1.68145,1.68701,18700,2
1611244800,2021.01.21 16:00,1.68697,1.69117,1.68498,1.69060,26176,1
1611259200,2021.01.21 20:00,1.69060,1.69104,1.68463,1.68463,9051,6
1611273600,2021.01.22 00:00,1.68514,1.68952,1.68372,1.68944,7515,4
1611288000,2021.01.22 04:00,1.68944,1.69290,1.68911,1.69179,9825,1
1611302400,2021.01.22 08:00,1.69177,1.69484,1.69172,1.69428,17398,2
1611316800,2021.01.22 12:00,1.69426,1.69751,1.69284,1.69595,16725,3
1611331200,2021.01.22 16:00,1.69595,1.69730,1.69300,1.69532,22269,2
1611345600,2021.01.22 20:00,1.69527,1.69633,1.69376,1.69461,7115,7
1611532800,2021.01.25 00:00,1.69403,1.69624,1.69087,1.69185,7695,3
1611547200,2021.01.25 04:00,1.69185,1.69219,1.68845,1.68885,7746,0
1611561600,2021.01.25 08:00,1.68885,1.68965,1.68584,1.68587,16013,0
1611576000,2021.01.25 12:00,1.68587,1.68675,1.68391,1.68511,17435,0
1611590400,2021.01.25 16:00,1.68510,1.69015,1.68380,1.68790,27389,0
1611604800,2021.01.25 20:00,1.68788,1.69006,1.68453,1.68662,9116,0
1611619200,2021.01.26 00:00,1.68512,1.68881,1.68282,1.68787,5035,4
1611633600,2021.01.26 04:00,1.68787,1.68951,1.68706,1.68897,7853,3
1611648000,2021.01.26 08:00,1.68896,1.69067,1.68471,1.68491,17723,0
1611662400,2021.01.26 12:00,1.68494,1.68536,1.67851,1.67928,17215,2
1611676800,2021.01.26 16:00,1.67928,1.68179,1.67775,1.68013,21693,0
1611691200,2021.01.26 20:00,1.68013,1.68055,1.67913,1.67964,6605,4
1611705600,2021.01.27 00:00,1.67939,1.68241,1.67750,1.68192,7675,5
1611720000,2021.01.27 04:00,1.68192,1.68266,1.68088,1.68171,10930,5
1611734400,2021.01.27 08:00,1.68170,1.68356,1.67808,1.67842,17293,0
1611748800,2021.01.27 12:00,1.67838,1.68617,1.67586,1.68573,22895,0
1611763200,2021.01.27 16:00,1.68573,1.68788,1.68259,1.68448,34415,0
1611777600,2021.01.27 20:00,1.68448,1.69369,1.68338,1.69088,20380,3
1611792000,2021.01.28 00:00,1.69094,1.69501,1.68732,1.69285,11804,5
1611806400,2021.01.28 04:00,1.69285,1.69572,1.69206,1.69566,13223,6
1611820800,2021.01.28 08:00,1.69566,1.70429,1.69497,1.70204,24308,1
1611835200,2021.01.28 12:00,1.70196,1.70274,1.69703,1.69767,24381,1
1611849600,2021.01.28 16:00,1.69767,1.69864,1.68834,1.68852,29532,0
1611864000,2021.01.28 20:00,1.68852,1.68973,1.68663,1.68903,11214,1
1611878400,2021.01.29 00:00,1.68954,1.69055,1.68600,1.68933,7979,0
1611892800,2021.01.29 04:00,1.68933,1.69151,1.68850,1.69102,13508,4
1611907200,2021.01.29 08:00,1.69100,1.69233,1.68806,1.69088,23584,1
1611921600,2021.01.29 12:00,1.69087,1.69248,1.68290,1.68367,28115,0
1611936000,2021.01.29 16:00,1.68368,1.68882,1.68203,1.68852,33529,0
1611950400,2021.01.29 20:00,1.68856,1.69045,1.68642,1.68975,16385,0
1612137600,2021.02.01 00:00,1.68905,1.69501,1.68721,1.68759,12191,4
1612152000,2021.02.01 04:00,1.68761,1.68761,1.68406,1.68549,11660,2
1612166400,2021.02.01 08:00,1.68550,1.68728,1.68326,1.68433,19922,1
1612180800,2021.02.01 12:00,1.68429,1.68580,1.68238,1.68565,21919,0
1612195200,2021.02.01 16:00,1.68565,1.68886,1.68395,1.68526,26436,0
1612209600,2021.02.01 20:00,1.68526,1.68603,1.68302,1.68454,11111,0
1612224000,2021.02.02 00:00,1.68450,1.68749,1.68310,1.68422,8292,2
1612238400,2021.02.02 04:00,1.68423,1.68520,1.68163,1.68213,10445,0
1612252800,2021.02.02 08:00,1.68213,1.68426,1.67901,1.68059,17015,1
1612267200,2021.02.02 12:00,1.68059,1.68150,1.67711,1.68047,20689,0
1612281600,2021.02.02 16:00,1.68046,1.68537,1.67956,1.68087,25308,0
1612296000,2021.02.02 20:00,1.68109,1.68152,1.67342,1.67435,9709,4
