time,open,high,low,close,tick_volume,real_volume,spread
2022.01.03 00:00:00,1.66255000,1.66285000,1.65881000,1.65881000,63,0,264
2022.01.03 00:30:00,1.65879000,1.66342000,1.65873000,1.66322000,221,0,185
2022.01.03 01:00:00,1.66322000,1.66448000,1.66061000,1.66092000,689,0,52
2022.01.03 01:30:00,1.66092000,1.66264000,1.66063000,1.66260000,258,0,45
2022.01.03 02:00:00,1.66266000,1.66282000,1.65975000,1.65982000,441,0,19
2022.01.03 02:30:00,1.65982000,1.66001000,1.65908000,1.65914000,441,0,13
2022.01.03 03:00:00,1.65914000,1.65952000,1.65718000,1.65744000,542,0,22
2022.01.03 03:30:00,1.65744000,1.66136000,1.65733000,1.66098000,795,0,23
2022.01.03 04:00:00,1.66101000,1.66152000,1.66030000,1.66033000,630,0,22
2022.01.03 04:30:00,1.66031000,1.66058000,1.65987000,1.66002000,418,0,24
2022.01.03 05:00:00,1.66002000,1.66140000,1.65923000,1.66126000,412,0,21
2022.01.03 05:30:00,1.66128000,1.66234000,1.66102000,1.66114000,457,0,25
2022.01.03 06:00:00,1.66114000,1.66114000,1.66027000,1.66049000,360,0,25
2022.01.03 06:30:00,1.66046000,1.66084000,1.65997000,1.66005000,305,0,18
2022.01.03 07:00:00,1.66005000,1.66053000,1.65990000,1.66005000,312,0,17
2022.01.03 07:30:00,1.66002000,1.66061000,1.65982000,1.65988000,370,0,24
2022.01.03 08:00:00,1.65988000,1.66062000,1.65981000,1.66037000,409,0,18
2022.01.03 08:30:00,1.66012000,1.66047000,1.65932000,1.65933000,389,0,24
2022.01.03 09:00:00,1.65933000,1.66012000,1.65929000,1.65929000,616,0,21
2022.01.03 09:30:00,1.65929000,1.66014000,1.65886000,1.66003000,662,0,28
2022.01.03 10:00:00,1.66001000,1.66004000,1.65643000,1.65647000,1319,0,23
2022.01.03 10:30:00,1.65647000,1.65860000,1.65620000,1.65844000,970,0,23
2022.01.03 11:00:00,1.65844000,1.65998000,1.65816000,1.65848000,884,0,24
2022.01.03 11:30:00,1.65839000,1.66212000,1.65831000,1.66146000,1038,0,16
2022.01.03 12:00:00,1.66146000,1.66250000,1.66114000,1.66141000,798,0,16
2022.01.03 12:30:00,1.66141000,1.66382000,1.66136000,1.66354000,753,0,30
2022.01.03 13:00:00,1.66355000,1.66492000,1.66258000,1.66364000,923,0,27
2022.01.03 13:30:00,1.66364000,1.66379000,1.66166000,1.66170000,960,0,23
2022.01.03 14:00:00,1.66170000,1.66370000,1.66133000,1.66338000,813,0,27
2022.01.03 14:30:00,1.66340000,1.66401000,1.66259000,1.66391000,953,0,28
2022.01.03 15:00:00,1.66392000,1.66707000,1.66336000,1.66685000,1396,0,30
2022.01.03 15:30:00,1.66685000,1.66819000,1.66602000,1.66810000,1602,0,3
2022.01.03 16:00:00,1.66810000,1.66890000,1.66748000,1.66798000,1679,0,31
2022.01.03 16:30:00,1.66798000,1.66893000,1.66627000,1.66642000,2391,0,25
2022.01.03 17:00:00,1.66629000,1.66757000,1.66547000,1.66645000,2038,0,27
2022.01.03 17:30:00,1.66643000,1.66723000,1.66562000,1.66624000,1800,0,28
2022.01.03 18:00:00,1.66624000,1.66689000,1.66504000,1.66519000,1357,0,29
2022.01.03 18:30:00,1.66519000,1.66557000,1.66248000,1.66359000,1506,0,33
2022.01.03 19:00:00,1.66359000,1.66378000,1.66224000,1.66266000,1029,0,33
2022.01.03 19:30:00,1.66265000,1.66304000,1.66133000,1.66146000,636,0,9
2022.01.03 20:00:00,1.66144000,1.66260000,1.66110000,1.66242000,903,0,1
2022.01.03 20:30:00,1.66245000,1.66290000,1.66187000,1.66219000,581,0,13
2022.01.03 21:00:00,1.66220000,1.66388000,1.66220000,1.66370000,591,0,35
2022.01.03 21:30:00,1.66370000,1.66423000,1.66285000,1.66418000,770,0,31
2022.01.03 22:00:00,1.66413000,1.66533000,1.66371000,1.66499000,640,0,33
2022.01.03 22:30:00,1.66499000,1.66535000,1.66456000,1.66489000,646,0,39
2022.01.03 23:00:00,1.66489000,1.66544000,1.66452000,1.66480000,332,0,39
2022.01.03 23:30:00,1.66480000,1.66519000,1.66243000,1.66429000,444,0,13
2022.01.04 00:00:00,1.66403000,1.66530000,1.66250000,1.66522000,169,0,104
2022.01.04 00:30:00,1.66523000,1.66540000,1.66447000,1.66483000,164,0,103
2022.01.04 01:00:00,1.66483000,1.66527000,1.66366000,1.66373000,361,0,30
2022.01.04 01:30:00,1.66373000,1.66474000,1.66372000,1.66461000,241,0,30
2022.01.04 02:00:00,1.66461000,1.66560000,1.66427000,1.66449000,502,0,23
2022.01.04 02:30:00,1.66449000,1.66539000,1.66334000,1.66349000,493,0,20
2022.01.04 03:00:00,1.66352000,1.66365000,1.66176000,1.66328000,742,0,16
2022.01.04 03:30:00,1.66328000,1.66555000,1.66325000,1.66515000,600,0,18
2022.01.04 04:00:00,1.66515000,1.66594000,1.66379000,1.66386000,588,0,20
2022.01.04 04:30:00,1.66386000,1.66450000,1.66353000,1.66401000,559,0,25
2022.01.04 05:00:00,1.66401000,1.66437000,1.66344000,1.66400000,541,0,27
2022.01.04 05:30:00,1.66400000,1.66486000,1.66388000,1.66457000,421,0,25
2022.01.04 06:00:00,1.66457000,1.66457000,1.66269000,1.66281000,345,0,21
2022.01.04 06:30:00,1.66281000,1.66377000,1.66280000,1.66370000,459,0,21
2022.01.04 07:00:00,1.66370000,1.66416000,1.66247000,1.66270000,416,0,20
2022.01.04 07:30:00,1.66270000,1.66317000,1.66254000,1.66314000,347,0,24
2022.01.04 08:00:00,1.66314000,1.66399000,1.66290000,1.66361000,438,0,23
2022.01.04 08:30:00,1.66361000,1.66371000,1.66250000,1.66312000,461,0,25
2022.01.04 09:00:00,1.66326000,1.66350000,1.66172000,1.66195000,727,0,24
2022.01.04 09:30:00,1.66195000,1.66239000,1.66137000,1.66232000,763,0,29
2022.01.04 10:00:00,1.66232000,1.66379000,1.66172000,1.66240000,1406,0,21
2022.01.04 10:30:00,1.66240000,1.66339000,1.66185000,1.66245000,1079,0,23
2022.01.04 11:00:00,1.66247000,1.66345000,1.66189000,1.66319000,1147,0,28
2022.01.04 11:30:00,1.66319000,1.66354000,1.66246000,1.66264000,950,0,30
2022.01.04 12:00:00,1.66264000,1.66502000,1.66245000,1.66367000,1293,0,22
2022.01.04 12:30:00,1.66367000,1.66426000,1.66346000,1.66390000,1346,0,19
2022.01.04 13:00:00,1.66391000,1.66429000,1.66319000,1.66419000,1680,0,21
2022.01.04 13:30:00,1.66419000,1.66511000,1.66366000,1.66482000,1635,0,24
2022.01.04 14:00:00,1.66482000,1.66544000,1.66438000,1.66530000,2156,0,24
2022.01.04 14:30:00,1.66530000,1.66660000,1.66512000,1.66600000,1620,0,20
2022.01.04 15:00:00,1.66598000,1.66691000,1.66562000,1.66610000,1961,0,25
2022.01.04 15:30:00,1.66610000,1.66610000,1.66315000,1.66318000,1674,0,25
2022.01.04 16:00:00,1.66318000,1.66386000,1.66165000,1.66173000,1860,0,23
2022.01.04 16:30:00,1.66175000,1.66213000,1.65991000,1.66107000,1988,0,19
2022.01.04 17:00:00,1.66137000,1.66151000,1.65840000,1.65875000,3093,0,22
2022.01.04 17:30:00,1.65873000,1.66004000,1.65830000,1.65875000,3243,0,21
2022.01.04 18:00:00,1.65878000,1.66073000,1.65803000,1.65995000,2310,0,8
2022.01.04 18:30:00,1.65995000,1.66031000,1.65867000,1.65909000,1762,0,23
2022.01.04 19:00:00,1.65909000,1.65953000,1.65801000,1.65833000,1032,0,19
2022.01.04 19:30:00,1.65833000,1.65871000,1.65749000,1.65749000,823,0,20
2022.01.04 20:00:00,1.65857000,1.65883000,1.65784000,1.65830000,649,0,7
2022.01.04 20:30:00,1.65827000,1.65921000,1.65810000,1.65890000,839,0,1
2022.01.04 21:00:00,1.65890000,1.65922000,1.65817000,1.65850000,811,0,5
2022.01.04 21:30:00,1.65850000,1.65898000,1.65747000,1.65761000,757,0,6
2022.01.04 22:00:00,1.65761000,1.65807000,1.65663000,1.65679000,639,0,7
2022.01.04 22:30:00,1.65675000,1.65742000,1.65659000,1.65736000,691,0,2
2022.01.04 23:00:00,1.65744000,1.65744000,1.65585000,1.65634000,340,0,14
2022.01.04 23:30:00,1.65626000,1.65878000,1.65616000,1.65727000,464,0,11
2022.01.05 00:00:00,1.65719000,1.65787000,1.65622000,1.65724000,223,0,95
2022.01.05 00:30:00,1.65703000,1.65848000,1.65703000,1.65820000,656,0,103
2022.01.05 01:00:00,1.65809000,1.65857000,1.65599000,1.65599000,424,0,24
2022.01.05 01:30:00,1.65597000,1.65622000,1.65483000,1.65594000,422,0,26
2022.01.05 02:00:00,1.65596000,1.65596000,1.65417000,1.65460000,467,0,24
2022.01.05 02:30:00,1.65461000,1.65594000,1.65395000,1.65536000,533,0,27
2022.01.05 03:00:00,1.65540000,1.65656000,1.65495000,1.65547000,615,0,16
2022.01.05 03:30:00,1.65547000,1.65824000,1.65482000,1.65779000,829,0,22
2022.01.05 04:00:00,1.65779000,1.65934000,1.65743000,1.65884000,709,0,24
