time,open,high,low,close,tick_volume,real_volume,spread
2022.01.03 00:00:00,1.86079000,1.86239000,1.85991000,1.86120000,907,0,102
2022.01.03 01:00:00,1.86118000,1.86182000,1.85888000,1.86026000,1033,0,16
2022.01.03 02:00:00,1.86045000,1.86102000,1.85917000,1.86045000,1476,0,5
2022.01.03 03:00:00,1.86044000,1.86347000,1.85878000,1.86301000,2391,0,3
2022.01.03 04:00:00,1.86300000,1.86416000,1.86167000,1.86210000,1967,0,5
2022.01.03 05:00:00,1.86195000,1.86423000,1.86144000,1.86231000,1803,0,6
2022.01.03 06:00:00,1.86236000,1.86277000,1.86187000,1.86212000,713,0,6
2022.01.03 07:00:00,1.86202000,1.86310000,1.86176000,1.86293000,904,0,6
2022.01.03 08:00:00,1.86293000,1.86334000,1.86196000,1.86196000,1421,0,6
2022.01.03 09:00:00,1.86198000,1.86240000,1.86056000,1.86110000,2044,0,6
2022.01.03 10:00:00,1.86113000,1.86244000,1.86032000,1.86235000,3281,0,6
2022.01.03 11:00:00,1.86234000,1.86377000,1.86195000,1.86304000,2262,0,6
2022.01.03 12:00:00,1.86304000,1.86417000,1.86211000,1.86368000,2422,0,6
2022.01.03 13:00:00,1.86362000,1.86504000,1.86328000,1.86395000,2787,0,3
2022.01.03 14:00:00,1.86396000,1.86542000,1.86388000,1.86437000,1886,0,4
2022.01.03 15:00:00,1.86437000,1.86763000,1.86381000,1.86722000,3642,0,6
2022.01.03 16:00:00,1.86722000,1.87174000,1.86722000,1.87041000,6138,0,1
2022.01.03 17:00:00,1.87033000,1.87149000,1.86830000,1.87106000,5654,0,0
2022.01.03 18:00:00,1.87107000,1.87247000,1.86942000,1.87198000,4192,0,2
2022.01.03 19:00:00,1.87198000,1.87357000,1.87120000,1.87194000,2432,0,2
2022.01.03 20:00:00,1.87194000,1.87272000,1.87147000,1.87218000,1281,0,4
2022.01.03 21:00:00,1.87223000,1.87535000,1.87223000,1.87524000,1934,0,6
2022.01.03 22:00:00,1.87524000,1.87583000,1.87435000,1.87536000,1798,0,6
2022.01.03 23:00:00,1.87536000,1.87586000,1.87396000,1.87525000,1143,0,6
2022.01.04 00:00:00,1.87252000,1.87525000,1.87120000,1.87327000,545,0,18
2022.01.04 01:00:00,1.87340000,1.87489000,1.87262000,1.87358000,1000,0,12
2022.01.04 02:00:00,1.87357000,1.87380000,1.87210000,1.87247000,1736,0,5
2022.01.04 03:00:00,1.87247000,1.87290000,1.87071000,1.87223000,2271,0,6
