time_epoch,time_server,open,high,low,close,tick_volume,spread
1768219200,2026.01.12 12:00,2.00846,2.00908,2.00598,2.00776,13051,23
1768233600,2026.01.12 16:00,2.00777,2.00845,2.00326,2.00536,16212,23
1768248000,2026.01.12 20:00,2.00537,2.00693,2.00414,2.00581,7868,11
1768262400,2026.01.13 00:00,2.00628,2.00826,2.00589,2.00717,11000,38
1768276800,2026.01.13 04:00,2.00718,2.00881,2.00681,2.00806,10250,28
1768291200,2026.01.13 08:00,2.00807,2.01146,2.00755,2.01109,12856,23
1768305600,2026.01.13 12:00,2.01108,2.01132,2.00476,2.00894,18763,23
1768320000,2026.01.13 16:00,2.00894,2.01292,2.00866,2.01076,20104,23
1768334400,2026.01.13 20:00,2.01075,2.01112,2.00605,2.00611,9137,28
1768348800,2026.01.14 00:00,2.00660,2.00995,2.00651,2.00719,9873,30
1768363200,2026.01.14 04:00,2.00722,2.00778,2.00564,2.00654,9660,28
1768377600,2026.01.14 08:00,2.00681,2.01315,2.00611,2.01256,14516,23
1768392000,2026.01.14 12:00,2.01257,2.01432,2.01155,2.01336,18914,23
1768406400,2026.01.14 16:00,2.01333,2.01452,2.01032,2.01050,19867,23
1768420800,2026.01.14 20:00,2.01051,2.01162,2.00778,2.01047,11623,28
1768435200,2026.01.15 00:00,2.01063,2.01298,2.00905,2.01188,12158,38
1768449600,2026.01.15 04:00,2.01187,2.01371,2.00879,2.00955,11804,28
1768464000,2026.01.15 08:00,2.00957,2.01160,2.00270,2.00320,14365,23
1768478400,2026.01.15 12:00,2.00317,2.00455,2.00007,2.00013,15240,21
1768492800,2026.01.15 16:00,1.99907,2.00025,1.99500,1.99669,16462,23
1768507200,2026.01.15 20:00,1.99669,1.99773,1.99545,1.99626,9783,28
1768521600,2026.01.16 00:00,1.99635,1.99867,1.99583,1.99768,10675,30
1768536000,2026.01.16 04:00,1.99773,1.99806,1.99596,1.99666,7520,28
1768550400,2026.01.16 08:00,1.99663,2.00013,1.99650,1.99909,11672,23
1768564800,2026.01.16 12:00,1.99910,2.00418,1.99812,2.00349,15820,23
1768579200,2026.01.16 16:00,2.00378,2.00429,2.00120,2.00215,18195,3
1768593600,2026.01.16 20:00,2.00216,2.00263,1.99980,2.00019,9404,2
1768780800,2026.01.19 00:00,2.00091,2.00502,2.00051,2.00274,30890,2
1768795200,2026.01.19 04:00,2.00275,2.00326,1.99975,2.00144,20138,2
1768809600,2026.01.19 08:00,2.00141,2.00326,2.00008,2.00132,23629,2
1768824000,2026.01.19 12:00,2.00133,2.00143,1.99959,2.00025,16266,2
1768838400,2026.01.19 16:00,2.00019,2.00096,1.99903,1.99993,13740,2
1768852800,2026.01.19 20:00,1.99992,2.00010,1.99731,1.99814,4125,2
1768867200,2026.01.20 00:00,1.99815,2.00060,1.99815,1.99878,16061,2
1768881600,2026.01.20 04:00,1.99879,1.99880,1.99423,1.99567,18604,2
1768896000,2026.01.20 08:00,1.99567,2.00458,1.99411,2.00230,32434,2
1768910400,2026.01.20 12:00,2.00231,2.00240,1.99634,1.99856,31169,2
1768924800,2026.01.20 16:00,1.99866,2.00055,1.99543,1.99604,28260,2
1768939200,2026.01.20 20:00,1.99606,1.99646,1.99358,1.99523,12573,2
1768953600,2026.01.21 00:00,1.99574,1.99684,1.99460,1.99585,16722,2
1768968000,2026.01.21 04:00,1.99585,1.99699,1.98986,1.99034,15817,2
1768982400,2026.01.21 08:00,1.99035,1.99196,1.98688,1.98731,19399,2
1768996800,2026.01.21 12:00,1.98731,1.98800,1.98230,1.98591,33401,2
1769011200,2026.01.21 16:00,1.98594,1.98778,1.98235,1.98536,40638,2
1769025600,2026.01.21 20:00,1.98536,1.98678,1.98352,1.98627,20108,2
1769040000,2026.01.22 00:00,1.98644,1.98729,1.97519,1.97519,20364,2
1769054400,2026.01.22 04:00,1.97515,1.97551,1.97242,1.97249,16467,2
1769068800,2026.01.22 08:00,1.97248,1.97737,1.97125,1.97672,25782,2
1769083200,2026.01.22 12:00,1.97671,1.97751,1.96865,1.97350,37845,2
1769097600,2026.01.22 16:00,1.97347,1.97652,1.97194,1.97263,32612,2
1769112000,2026.01.22 20:00,1.97265,1.97453,1.97084,1.97338,12208,2
1769126400,2026.01.23 00:00,1.97338,1.97477,1.97030,1.97232,19974,2
1769140800,2026.01.23 04:00,1.97231,1.97335,1.96786,1.96831,20962,2
1769155200,2026.01.23 08:00,1.96829,1.98023,1.96829,1.97579,31707,2
1769169600,2026.01.23 12:00,1.97580,1.97646,1.97019,1.97221,27200,2
1769184000,2026.01.23 16:00,1.97218,1.97786,1.97160,1.97696,36193,2
1769198400,2026.01.23 20:00,1.97697,1.97878,1.97596,1.97596,21750,2
1769385600,2026.01.26 00:00,1.97218,1.97884,1.97218,1.97559,31180,2
1769400000,2026.01.26 04:00,1.97557,1.97703,1.97415,1.97536,21234,2
1769414400,2026.01.26 08:00,1.97537,1.97735,1.97285,1.97512,32433,2
1769428800,2026.01.26 12:00,1.97511,1.97653,1.97243,1.97295,30362,2
1769443200,2026.01.26 16:00,1.97295,1.97832,1.97289,1.97489,32797,2
1769457600,2026.01.26 20:00,1.97490,1.97887,1.97470,1.97876,15342,2
1769472000,2026.01.27 00:00,1.97876,1.97944,1.97653,1.97830,19214,2
1769486400,2026.01.27 04:00,1.97828,1.98081,1.97778,1.97796,16868,2
1769500800,2026.01.27 08:00,1.97792,1.98031,1.97609,1.97798,27053,2
1769515200,2026.01.27 12:00,1.97799,1.97902,1.97607,1.97842,38743,2
1769529600,2026.01.27 16:00,1.97837,1.97908,1.97319,1.97469,40147,2
1769544000,2026.01.27 20:00,1.97470,1.97838,1.97143,1.97458,27488,2
1769558400,2026.01.28 00:00,1.97471,1.97678,1.96865,1.97379,32161,2
1769572800,2026.01.28 04:00,1.97379,1.97517,1.97001,1.97225,24166,2
1769587200,2026.01.28 08:00,1.97225,1.97283,1.96651,1.96783,34980,2
1769601600,2026.01.28 12:00,1.96783,1.97022,1.96603,1.96975,33562,2
