time_epoch,time_server,open,high,low,close,tick_volume,spread
1609718400,2021.01.04 00:00,1.73554,1.74121,1.73418,1.73866,11263,6
1609732800,2021.01.04 04:00,1.73864,1.73957,1.73719,1.73876,11527,0
1609747200,2021.01.04 08:00,1.73872,1.73930,1.73197,1.73295,17672,0
1609761600,2021.01.04 12:00,1.73295,1.73655,1.73018,1.73037,19157,0
1609776000,2021.01.04 16:00,1.73037,1.73441,1.72462,1.73393,30468,0
1609790400,2021.01.04 20:00,1.73393,1.73633,1.73088,1.73315,17687,0
1609804800,2021.01.05 00:00,1.73346,1.73617,1.73286,1.73302,15191,2
1609819200,2021.01.05 04:00,1.73303,1.73454,1.73143,1.73385,18636,2
1609833600,2021.01.05 08:00,1.73387,1.73465,1.72833,1.72884,22379,0
1609848000,2021.01.05 12:00,1.72881,1.73385,1.72830,1.73292,19337,0
1609862400,2021.01.05 16:00,1.73293,1.73436,1.72758,1.72827,26092,0
1609876800,2021.01.05 20:00,1.72824,1.72832,1.72475,1.72598,13803,1
1609891200,2021.01.06 00:00,1.72603,1.72833,1.72456,1.72497,19083,4
1609905600,2021.01.06 04:00,1.72502,1.72618,1.72381,1.72457,23136,4
1609920000,2021.01.06 08:00,1.72458,1.72911,1.72375,1.72635,24185,0
1609934400,2021.01.06 12:00,1.72635,1.73129,1.72330,1.72332,24250,0
1609948800,2021.01.06 16:00,1.72324,1.72532,1.71955,1.72444,30519,0
1609963200,2021.01.06 20:00,1.72444,1.72767,1.72401,1.72455,25562,0
1609977600,2021.01.07 00:00,1.72441,1.72723,1.72369,1.72632,13390,0
1609992000,2021.01.07 04:00,1.72632,1.72651,1.72039,1.72255,14238,0
1610006400,2021.01.07 08:00,1.72255,1.72828,1.71976,1.72731,21289,0
1610020800,2021.01.07 12:00,1.72727,1.73033,1.72469,1.72821,22511,0
1610035200,2021.01.07 16:00,1.72821,1.72933,1.72231,1.72252,26908,0
1610049600,2021.01.07 20:00,1.72254,1.72389,1.71880,1.72088,14325,0
1610064000,2021.01.08 00:00,1.72088,1.72135,1.71916,1.71980,11872,1
1610078400,2021.01.08 04:00,1.71983,1.72079,1.71881,1.71938,12420,3
1610092800,2021.01.08 08:00,1.71939,1.72487,1.71908,1.72402,23305,0
1610107200,2021.01.08 12:00,1.72402,1.72724,1.72218,1.72660,20212,0
1610121600,2021.01.08 16:00,1.72660,1.72678,1.72302,1.72566,33448,0
1610136000,2021.01.08 20:00,1.72563,1.72676,1.72092,1.72122,18765,1
1610323200,2021.01.11 00:00,1.71972,1.72255,1.71748,1.72187,8832,1
1610337600,2021.01.11 04:00,1.72188,1.72277,1.72084,1.72241,12019,1
1610352000,2021.01.11 08:00,1.72240,1.72330,1.72042,1.72257,18665,0
1610366400,2021.01.11 12:00,1.72257,1.72828,1.72118,1.72806,17950,0
1610380800,2021.01.11 16:00,1.72802,1.72966,1.72363,1.72689,25457,0
1610395200,2021.01.11 20:00,1.72689,1.72921,1.72648,1.72809,9449,1
1610409600,2021.01.12 00:00,1.72729,1.72881,1.72445,1.72839,10358,4
1610424000,2021.01.12 04:00,1.72841,1.72923,1.72758,1.72872,9462,6
1610438400,2021.01.12 08:00,1.72872,1.73303,1.72667,1.73291,17193,0
1610452800,2021.01.12 12:00,1.73293,1.73551,1.73118,1.73461,17868,0
1610467200,2021.01.12 16:00,1.73455,1.73992,1.73411,1.73627,22033,0
1610481600,2021.01.12 20:00,1.73627,1.73870,1.73563,1.73663,13265,1
1610496000,2021.01.13 00:00,1.73659,1.73903,1.73571,1.73811,6656,0
1610510400,2021.01.13 04:00,1.73812,1.74016,1.73799,1.73954,9303,6
1610524800,2021.01.13 08:00,1.73954,1.74348,1.73838,1.74271,15916,0
1610539200,2021.01.13 12:00,1.74270,1.74340,1.73925,1.74079,16740,0
1610553600,2021.01.13 16:00,1.74080,1.74083,1.73042,1.73106,22314,0
1610568000,2021.01.13 20:00,1.73106,1.73278,1.72848,1.73087,10674,0
1610582400,2021.01.14 00:00,1.73086,1.73296,1.72871,1.73213,9091,0
1610596800,2021.01.14 04:00,1.73211,1.73215,1.72949,1.73022,13376,4
1610611200,2021.01.14 08:00,1.73025,1.73403,1.72839,1.72944,16523,0
1610625600,2021.01.14 12:00,1.72941,1.73148,1.72846,1.73109,16733,0
1610640000,2021.01.14 16:00,1.73105,1.73213,1.72769,1.72879,20116,0
1610654400,2021.01.14 20:00,1.72879,1.73173,1.72740,1.72983,13314,0
1610668800,2021.01.15 00:00,1.72961,1.73121,1.72878,1.73076,8311,6
1610683200,2021.01.15 04:00,1.73075,1.73157,1.73016,1.73132,9925,4
1610697600,2021.01.15 08:00,1.73132,1.73320,1.73009,1.73111,16355,0
1610712000,2021.01.15 12:00,1.73112,1.73378,1.72957,1.73113,17445,0
1610726400,2021.01.15 16:00,1.73112,1.73398,1.72744,1.72971,22641,0
1610740800,2021.01.15 20:00,1.72970,1.73119,1.72821,1.73038,9887,0
1610928000,2021.01.18 00:00,1.72790,1.73482,1.72694,1.73430,10639,0
1610942400,2021.01.18 04:00,1.73430,1.73435,1.73288,1.73350,9128,4
1610956800,2021.01.18 08:00,1.73351,1.73437,1.72975,1.73057,12872,0
