time,open,high,low,close,tick_volume,real_volume,spread
2022.01.03 00:00:00,1.23228000,1.23347000,1.23176000,1.23275000,380,0,127
2022.01.03 01:00:00,1.23277000,1.23400000,1.23271000,1.23320000,849,0,17
2022.01.03 02:00:00,1.23320000,1.23485000,1.23296000,1.23404000,930,0,2
2022.01.03 03:00:00,1.23405000,1.23534000,1.23384000,1.23409000,1160,0,6
2022.01.03 04:00:00,1.23409000,1.23492000,1.23397000,1.23469000,805,0,6
2022.01.03 05:00:00,1.23469000,1.23478000,1.23391000,1.23391000,831,0,7
2022.01.03 06:00:00,1.23414000,1.23503000,1.23403000,1.23460000,594,0,6
2022.01.03 07:00:00,1.23460000,1.23490000,1.23438000,1.23473000,500,0,7
2022.01.03 08:00:00,1.23473000,1.23510000,1.23422000,1.23451000,705,0,8
2022.01.03 09:00:00,1.23453000,1.23468000,1.23347000,1.23418000,1875,0,4
2022.01.03 10:00:00,1.23419000,1.23543000,1.23401000,1.23422000,2792,0,3
2022.01.03 11:00:00,1.23422000,1.23450000,1.23242000,1.23262000,2490,0,2
2022.01.03 12:00:00,1.23262000,1.23409000,1.23258000,1.23307000,2060,0,4
2022.01.03 13:00:00,1.23307000,1.23372000,1.23205000,1.23226000,2133,0,2
2022.01.03 14:00:00,1.23226000,1.23343000,1.23221000,1.23332000,2745,0,3
2022.01.03 15:00:00,1.23331000,1.23417000,1.23261000,1.23372000,4219,0,1
2022.01.03 16:00:00,1.23373000,1.23680000,1.23354000,1.23601000,5300,0,0
2022.01.03 17:00:00,1.23606000,1.23637000,1.23484000,1.23547000,5896,0,0
2022.01.03 18:00:00,1.23544000,1.23774000,1.23400000,1.23736000,4281,0,0
2022.01.03 19:00:00,1.23736000,1.23896000,1.23721000,1.23829000,2042,0,0
2022.01.03 20:00:00,1.23829000,1.23875000,1.23807000,1.23807000,1273,0,5
2022.01.03 21:00:00,1.23807000,1.23843000,1.23781000,1.23836000,1521,0,2
2022.01.03 22:00:00,1.23841000,1.23856000,1.23751000,1.23837000,1898,0,1
2022.01.03 23:00:00,1.23837000,1.23850000,1.23802000,1.23850000,1061,0,6
2022.01.04 00:00:00,1.23850000,1.23854000,1.23539000,1.23789000,278,0,90
2022.01.04 01:00:00,1.23772000,1.23887000,1.23772000,1.23808000,779,0,16
2022.01.04 02:00:00,1.23808000,1.23828000,1.23662000,1.23689000,949,0,5
2022.01.04 03:00:00,1.23685000,1.23715000,1.23646000,1.23689000,933,0,6
2022.01.04 04:00:00,1.23690000,1.23723000,1.23630000,1.23700000,878,0,9
2022.01.04 05:00:00,1.23700000,1.23736000,1.23676000,1.23685000,930,0,5
2022.01.04 06:00:00,1.23685000,1.23714000,1.23657000,1.23662000,877,0,6
2022.01.04 07:00:00,1.23662000,1.23718000,1.23616000,1.23638000,827,0,8
2022.01.04 08:00:00,1.23638000,1.23690000,1.23573000,1.23633000,1179,0,4
2022.01.04 09:00:00,1.23633000,1.23965000,1.23632000,1.23963000,2341,0,0
2022.01.04 10:00:00,1.23963000,1.23994000,1.23797000,1.23909000,3788,0,2
2022.01.04 11:00:00,1.23909000,1.24123000,1.23892000,1.24008000,3404,0,4
