time,open,high,low,close,tick_volume,real_volume,spread
2022.01.03 00:00:00,155.63600000,155.79000000,155.55400000,155.73700000,983,0,103
2022.01.03 01:00:00,155.73800000,155.77700000,155.66000000,155.68400000,802,0,13
2022.01.03 02:00:00,155.67900000,155.91000000,155.64800000,155.81600000,1546,0,5
2022.01.03 03:00:00,155.81600000,155.91800000,155.67500000,155.74100000,1993,0,3
2022.01.03 04:00:00,155.74000000,155.74800000,155.64200000,155.67200000,1158,0,5
2022.01.03 05:00:00,155.67200000,155.67700000,155.56100000,155.60500000,1242,0,2
2022.01.03 06:00:00,155.60500000,155.69100000,155.56100000,155.58700000,614,0,9
2022.01.03 07:00:00,155.58700000,155.67300000,155.57700000,155.64600000,666,0,10
2022.01.03 08:00:00,155.64600000,155.77400000,155.64200000,155.75600000,1075,0,7
2022.01.03 09:00:00,155.75600000,155.76600000,155.61800000,155.70500000,1648,0,6
2022.01.03 10:00:00,155.70400000,155.85600000,155.66100000,155.85200000,2663,0,4
2022.01.03 11:00:00,155.85100000,155.86700000,155.64000000,155.68200000,2482,0,4
2022.01.03 12:00:00,155.68200000,155.73300000,155.48100000,155.48200000,3346,0,3
2022.01.03 13:00:00,155.48600000,155.59300000,155.37200000,155.45500000,3188,0,4
2022.01.03 14:00:00,155.45500000,155.50700000,155.37800000,155.39900000,3128,0,3
2022.01.03 15:00:00,155.39700000,155.41500000,155.11500000,155.29300000,5286,0,4
2022.01.03 16:00:00,155.29200000,155.47400000,155.16700000,155.19800000,6467,0,0
2022.01.03 17:00:00,155.20300000,155.25400000,154.88400000,155.02700000,8049,0,1
2022.01.03 18:00:00,155.02600000,155.25600000,154.93900000,155.21700000,4043,0,1
2022.01.03 19:00:00,155.21700000,155.40100000,155.21600000,155.34500000,1908,0,2
2022.01.03 20:00:00,155.34500000,155.46000000,155.32000000,155.37900000,1664,0,5
2022.01.03 21:00:00,155.37900000,155.51900000,155.36000000,155.51800000,3276,0,4
2022.01.03 22:00:00,155.51800000,155.52000000,155.34100000,155.46700000,3397,0,4
2022.01.03 23:00:00,155.46700000,155.49600000,155.42100000,155.44300000,1477,0,13
2022.01.04 00:00:00,155.44300000,155.45900000,155.21900000,155.36400000,289,0,46
2022.01.04 01:00:00,155.36400000,155.53200000,155.32700000,155.48100000,1131,0,20
2022.01.04 02:00:00,155.48100000,155.56700000,155.37300000,155.51700000,1850,0,7
2022.01.04 03:00:00,155.51400000,155.65000000,155.45800000,155.57800000,1685,0,9
2022.01.04 04:00:00,155.57800000,155.76700000,155.50900000,155.73300000,1645,0,0
2022.01.04 05:00:00,155.73300000,155.94100000,155.68500000,155.78400000,2601,0,3
2022.01.04 06:00:00,155.78400000,155.99800000,155.77300000,155.95100000,1689,0,2
2022.01.04 07:00:00,155.95100000,155.98700000,155.88500000,155.89100000,1437,0,5
2022.01.04 08:00:00,155.89100000,155.92200000,155.82200000,155.90500000,1444,0,5
2022.01.04 09:00:00,155.90300000,156.11900000,155.74700000,156.11000000,2849,0,4
2022.01.04 10:00:00,156.11000000,156.36500000,156.08800000,156.28500000,3735,0,4
2022.01.04 11:00:00,156.28600000,156.53200000,156.26900000,156.49700000,5241,0,0
2022.01.04 12:00:00,156.49000000,156.60300000,156.38400000,156.46100000,4661,0,0
2022.01.04 13:00:00,156.46100000,156.76000000,156.38400000,156.74100000,5290,0,1
2022.01.04 14:00:00,156.74100000,156.85500000,156.61300000,156.80700000,5730,0,0
2022.01.04 15:00:00,156.80700000,157.14500000,156.80400000,157.11900000,7063,0,2
2022.01.04 16:00:00,157.11900000,157.33400000,157.06300000,157.10500000,6117,0,1
2022.01.04 17:00:00,157.11300000,157.42900000,157.05400000,157.40400000,7905,0,2
2022.01.04 18:00:00,157.40700000,157.40700000,157.02400000,157.27700000,6679,0,0
2022.01.04 19:00:00,157.27700000,157.39400000,157.24100000,157.24700000,3685,0,0
2022.01.04 20:00:00,157.24700000,157.26200000,157.07200000,157.07500000,3121,0,3
2022.01.04 21:00:00,157.07700000,157.22000000,157.05600000,157.15100000,2640,0,4
2022.01.04 22:00:00,157.15000000,157.18200000,157.02100000,157.05600000,2307,0,9
2022.01.04 23:00:00,157.05800000,157.14100000,157.04900000,157.14000000,2122,0,2
2022.01.05 00:00:00,157.10900000,157.10900000,156.91900000,157.06200000,244,0,74
2022.01.05 01:00:00,157.05800000,157.24800000,157.05600000,157.16700000,1070,0,17
2022.01.05 02:00:00,157.16900000,157.28800000,157.08600000,157.20800000,1728,0,6
2022.01.05 03:00:00,157.20800000,157.22500000,156.88900000,157.06900000,2228,0,4
2022.01.05 04:00:00,157.07000000,157.12500000,156.89800000,156.94300000,1780,0,2
2022.01.05 05:00:00,156.94300000,156.98900000,156.80200000,156.98400000,1144,0,2
2022.01.05 06:00:00,156.98400000,156.98600000,156.85000000,156.95300000,722,0,5
2022.01.05 07:00:00,156.95300000,157.02300000,156.87500000,156.91700000,1464,0,2
2022.01.05 08:00:00,156.92000000,157.01000000,156.88100000,156.96500000,1171,0,6
2022.01.05 09:00:00,156.96700000,157.08700000,156.86100000,157.05700000,2282,0,5
2022.01.05 10:00:00,157.05900000,157.16200000,156.97500000,157.02800000,3888,0,2
2022.01.05 11:00:00,157.02600000,157.07900000,156.74400000,156.76900000,3943,0,0
2022.01.05 12:00:00,156.77000000,156.83600000,156.58000000,156.65700000,4408,0,2
2022.01.05 13:00:00,156.65700000,156.76200000,156.59400000,156.63600000,4000,0,5
2022.01.05 14:00:00,156.63200000,156.80200000,156.57300000,156.79900000,4032,0,0
2022.01.05 15:00:00,156.79900000,157.01800000,156.75000000,156.89100000,7292,0,2
2022.01.05 16:00:00,156.89100000,156.96900000,156.74400000,156.78100000,6651,0,0
2022.01.05 17:00:00,156.78100000,157.11600000,156.76800000,157.06400000,7282,0,0
2022.01.05 18:00:00,157.06300000,157.37700000,156.98600000,157.31500000,5276,0,1
2022.01.05 19:00:00,157.31500000,157.60100000,157.28300000,157.58400000,3381,0,2
2022.01.05 20:00:00,157.58400000,157.76500000,157.52700000,157.61800000,2611,0,0
2022.01.05 21:00:00,157.62000000,157.71300000,157.38300000,157.51000000,7997,0,2
2022.01.05 22:00:00,157.50900000,157.50900000,157.30600000,157.33700000,6265,0,2
2022.01.05 23:00:00,157.33900000,157.40000000,157.30400000,157.38200000,2048,0,8
2022.01.06 00:00:00,157.34700000,157.38200000,157.27800000,157.32000000,782,0,37
2022.01.06 01:00:00,157.34400000,157.41900000,157.31300000,157.40300000,1189,0,6
2022.01.06 02:00:00,157.38600000,157.46900000,157.12500000,157.27200000,1947,0,7
2022.01.06 03:00:00,157.27200000,157.27900000,157.02600000,157.09700000,2501,0,8
2022.01.06 04:00:00,157.09700000,157.11700000,156.86200000,157.11700000,1868,0,1
2022.01.06 05:00:00,157.11700000,157.12500000,156.79000000,156.84700000,1933,0,6
2022.01.06 06:00:00,156.84700000,156.85100000,156.71500000,156.74400000,1303,0,4
2022.01.06 07:00:00,156.74400000,156.87800000,156.69000000,156.75900000,2485,0,8
2022.01.06 08:00:00,156.76100000,156.78200000,156.58400000,156.59700000,1850,0,4
2022.01.06 09:00:00,156.59700000,156.71500000,156.35700000,156.40900000,4054,0,2
2022.01.06 10:00:00,156.40900000,156.53300000,156.08300000,156.31900000,6751,0,0
2022.01.06 11:00:00,156.31800000,156.44200000,156.20800000,156.39400000,4871,0,3
2022.01.06 12:00:00,156.39400000,156.84700000,156.35300000,156.75600000,5486,0,1
2022.01.06 13:00:00,156.75500000,156.87400000,156.61100000,156.75000000,5892,0,1
2022.01.06 14:00:00,156.74600000,156.95300000,156.69800000,156.80200000,6571,0,4
2022.01.06 15:00:00,156.80200000,156.83900000,156.58900000,156.65300000,7821,0,2
2022.01.06 16:00:00,156.65300000,157.01000000,156.60700000,156.69300000,10698,0,1
2022.01.06 17:00:00,156.69600000,156.72200000,156.36800000,156.57100000,12059,0,0
2022.01.06 18:00:00,156.57300000,156.78300000,156.48100000,156.74400000,7338,0,2
2022.01.06 19:00:00,156.74300000,156.79200000,156.67300000,156.69100000,4071,0,2
2022.01.06 20:00:00,156.69000000,156.74900000,156.57800000,156.71700000,2739,0,3
2022.01.06 21:00:00,156.71800000,156.82900000,156.69800000,156.81300000,2556,0,5
2022.01.06 22:00:00,156.81300000,156.86700000,156.73200000,156.81400000,3360,0,6
2022.01.06 23:00:00,156.81700000,156.86700000,156.71000000,156.71000000,2430,0,9
2022.01.07 00:00:00,156.66000000,156.79300000,156.65000000,156.74000000,1487,0,44
2022.01.07 01:00:00,156.74000000,156.84600000,156.73100000,156.79000000,1966,0,11
2022.01.07 02:00:00,156.79000000,157.05300000,156.78600000,156.95800000,1769,0,6
2022.01.07 03:00:00,156.95800000,157.10300000,156.94800000,157.06500000,2580,0,5
2022.01.07 04:00:00,157.06200000,157.06800000,156.91700000,156.94900000,1695,0,5
2022.01.07 05:00:00,156.94500000,157.03000000,156.94500000,156.97900000,962,0,6
2022.01.07 06:00:00,156.97700000,157.02700000,156.92800000,157.02000000,722,0,7
2022.01.07 07:00:00,157.02000000,157.04200000,156.94300000,156.99000000,1049,0,5
2022.01.07 08:00:00,156.99000000,157.04800000,156.92600000,156.99600000,1111,0,3
2022.01.07 09:00:00,156.99700000,157.02500000,156.76300000,156.88300000,2305,0,8
2022.01.07 10:00:00,156.89200000,156.96500000,156.74500000,156.86500000,3197,0,6
2022.01.07 11:00:00,156.86400000,157.03900000,156.82900000,157.02700000,3207,0,1
2022.01.07 12:00:00,157.02500000,157.03900000,156.82300000,156.88900000,2930,0,2
2022.01.07 13:00:00,156.88900000,156.96100000,156.82700000,156.91600000,1791,0,0
2022.01.07 14:00:00,156.91700000,156.92100000,156.77500000,156.89700000,3554,0,3
2022.01.07 15:00:00,156.89800000,157.06500000,156.75300000,156.84700000,11186,0,0
2022.01.07 16:00:00,156.84500000,157.01800000,156.73800000,156.90700000,11017,0,1
2022.01.07 17:00:00,156.90600000,157.04300000,156.80900000,156.94000000,8570,0,0
2022.01.07 18:00:00,156.94100000,157.05900000,156.82300000,157.02100000,5723,0,2
2022.01.07 19:00:00,157.02100000,157.05500000,156.94200000,157.00300000,2653,0,3
2022.01.07 20:00:00,157.00300000,157.05900000,156.96400000,157.02300000,1427,0,0
2022.01.07 21:00:00,157.02300000,157.14100000,156.98800000,157.10100000,1659,0,3
2022.01.07 22:00:00,157.10100000,157.19100000,157.07800000,157.09300000,1887,0,0
2022.01.07 23:00:00,157.09300000,157.16400000,157.04100000,157.05100000,1669,0,4
2022.01.10 00:00:00,156.86300000,157.02800000,156.83500000,156.97200000,2683,0,42
2022.01.10 01:00:00,156.97400000,157.15800000,156.93600000,157.13800000,1135,0,17
2022.01.10 02:00:00,157.13900000,157.22000000,157.11400000,157.13700000,1848,0,5
2022.01.10 03:00:00,157.13700000,157.23300000,157.06100000,157.20500000,2378,0,4
2022.01.10 04:00:00,157.20500000,157.37200000,157.20500000,157.28400000,1850,0,3
2022.01.10 05:00:00,157.28200000,157.35200000,157.23000000,157.29400000,1528,0,6
2022.01.10 06:00:00,157.29200000,157.36500000,157.28200000,157.30400000,1349,0,2
2022.01.10 07:00:00,157.30500000,157.34200000,157.26800000,157.33000000,791,0,8
2022.01.10 08:00:00,157.31500000,157.33400000,157.22300000,157.26200000,1075,0,4
2022.01.10 09:00:00,157.25600000,157.34900000,157.24900000,157.31100000,2917,0,6
2022.01.10 10:00:00,157.31100000,157.33200000,157.05500000,157.17000000,5214,0,2
2022.01.10 11:00:00,157.17000000,157.28600000,157.09400000,157.10200000,4815,0,2
2022.01.10 12:00:00,157.10100000,157.16800000,156.96200000,157.03600000,3997,0,1
2022.01.10 13:00:00,157.03700000,157.04400000,156.61000000,156.61800000,4446,0,2
2022.01.10 14:00:00,156.61900000,156.66500000,156.30900000,156.36600000,5427,0,2
2022.01.10 15:00:00,156.36700000,156.51000000,156.28800000,156.39100000,5785,0,3
2022.01.10 16:00:00,156.39200000,156.41000000,156.04100000,156.18100000,7848,0,0
2022.01.10 17:00:00,156.18000000,156.25700000,156.06000000,156.09500000,8616,0,2
2022.01.10 18:00:00,156.09600000,156.26300000,155.94000000,156.19700000,5575,0,1
2022.01.10 19:00:00,156.19800000,156.26100000,156.03300000,156.08800000,3660,0,3
2022.01.10 20:00:00,156.09000000,156.41100000,156.07200000,156.33900000,4286,0,0
2022.01.10 21:00:00,156.33900000,156.37900000,156.19900000,156.34800000,3510,0,0
2022.01.10 22:00:00,156.34900000,156.49700000,156.31800000,156.48800000,3271,0,1
2022.01.10 23:00:00,156.48800000,156.49900000,156.37000000,156.37900000,2289,0,4
2022.01.11 00:00:00,156.35500000,156.41700000,156.21000000,156.41600000,2568,0,46
2022.01.11 01:00:00,156.43300000,156.58000000,156.40500000,156.53800000,920,0,14
2022.01.11 02:00:00,156.53800000,156.67600000,156.41700000,156.65200000,2522,0,2
