time_epoch,time_server,open,high,low,close,tick_volume,spread
1609718400,2021.01.04 00:00,1.89620,1.89974,1.89610,1.89922,346,128
1609722000,2021.01.04 01:00,1.89922,1.90165,1.89887,1.90088,2504,44
1609725600,2021.01.04 02:00,1.90101,1.90397,1.89848,1.90343,3761,42
1609729200,2021.01.04 03:00,1.90345,1.90410,1.89956,1.89960,4484,42
1609732800,2021.01.04 04:00,1.89962,1.90137,1.89887,1.90081,3006,41
1609736400,2021.01.04 05:00,1.90075,1.90108,1.89984,1.90041,2566,43
1609740000,2021.01.04 06:00,1.90041,1.90232,1.89948,1.90157,1939,45
1609743600,2021.01.04 07:00,1.90168,1.90262,1.90023,1.90059,2595,42
1609747200,2021.01.04 08:00,1.90055,1.90104,1.89884,1.89924,2669,45
1609750800,2021.01.04 09:00,1.89917,1.89985,1.89704,1.89826,3172,32
1609754400,2021.01.04 10:00,1.89825,1.89886,1.89394,1.89454,4612,39
1609758000,2021.01.04 11:00,1.89450,1.89520,1.89114,1.89373,3958,38
1609761600,2021.01.04 12:00,1.89366,1.89489,1.89202,1.89489,3584,39
1609765200,2021.01.04 13:00,1.89489,1.89586,1.89404,1.89521,3212,34
1609768800,2021.01.04 14:00,1.89519,1.89633,1.89269,1.89468,3832,40
1609772400,2021.01.04 15:00,1.89471,1.89541,1.88863,1.88885,6028,31
1609776000,2021.01.04 16:00,1.88884,1.89215,1.88828,1.89014,7166,33
1609779600,2021.01.04 17:00,1.89002,1.89004,1.88736,1.88812,7856,33
1609783200,2021.01.04 18:00,1.88811,1.89201,1.88803,1.89180,6416,34
1609786800,2021.01.04 19:00,1.89180,1.89495,1.89033,1.89341,7114,39
1609790400,2021.01.04 20:00,1.89341,1.89342,1.88833,1.88906,3933,39
1609794000,2021.01.04 21:00,1.88904,1.88960,1.88774,1.88842,3538,37
1609797600,2021.01.04 22:00,1.88842,1.89019,1.88782,1.88994,3562,40
1609801200,2021.01.04 23:00,1.88996,1.89227,1.88919,1.89061,1689,41
1609804800,2021.01.05 00:00,1.89045,1.89257,1.88794,1.89221,530,97
1609808400,2021.01.05 01:00,1.89214,1.89325,1.88990,1.89030,3006,45
1609812000,2021.01.05 02:00,1.89027,1.89148,1.88979,1.89139,3679,39
1609815600,2021.01.05 03:00,1.89138,1.89171,1.88978,1.89036,4427,39
1609819200,2021.01.05 04:00,1.89036,1.89054,1.88635,1.88640,3616,39
1609822800,2021.01.05 05:00,1.88648,1.88698,1.88371,1.88420,4132,33
1609826400,2021.01.05 06:00,1.88423,1.88572,1.88356,1.88463,4191,40
1609830000,2021.01.05 07:00,1.88458,1.88471,1.88301,1.88374,3968,37
1609833600,2021.01.05 08:00,1.88376,1.88565,1.88364,1.88522,4372,33
1609837200,2021.01.05 09:00,1.88546,1.88624,1.88179,1.88264,4296,41
1609840800,2021.01.05 10:00,1.88264,1.88325,1.87844,1.87855,5455,36
1609844400,2021.01.05 11:00,1.87855,1.88212,1.87757,1.88155,4170,35
1609848000,2021.01.05 12:00,1.88155,1.88406,1.88142,1.88354,3665,36
1609851600,2021.01.05 13:00,1.88354,1.88710,1.88306,1.88645,3755,41
1609855200,2021.01.05 14:00,1.88634,1.88737,1.88453,1.88513,4710,35
1609858800,2021.01.05 15:00,1.88508,1.88672,1.88414,1.88614,5645,38
1609862400,2021.01.05 16:00,1.88614,1.88675,1.88343,1.88482,6402,39
1609866000,2021.01.05 17:00,1.88460,1.88587,1.88102,1.88238,7707,34
1609869600,2021.01.05 18:00,1.88236,1.88501,1.88029,1.88049,6183,36
1609873200,2021.01.05 19:00,1.88052,1.88142,1.87887,1.87900,5813,31
1609876800,2021.01.05 20:00,1.87899,1.87908,1.87632,1.87830,2902,39
1609880400,2021.01.05 21:00,1.87830,1.87897,1.87791,1.87875,2976,32
