time,open,high,low,close,tick_volume,real_volume,spread
2022.01.03 00:00:00,1.97817000,1.97819000,1.97663000,1.97663000,17,0,301
2022.01.03 00:30:00,1.97663000,1.97975000,1.97663000,1.97928000,134,0,201
2022.01.03 01:00:00,1.97930000,1.97996000,1.97487000,1.97487000,343,0,54
2022.01.03 01:30:00,1.97481000,1.97657000,1.97481000,1.97654000,153,0,53
2022.01.03 02:00:00,1.97661000,1.97668000,1.97426000,1.97453000,305,0,32
2022.01.03 02:30:00,1.97460000,1.97517000,1.97365000,1.97366000,280,0,37
2022.01.03 03:00:00,1.97366000,1.97424000,1.97242000,1.97308000,617,0,53
2022.01.03 03:30:00,1.97305000,1.97697000,1.97280000,1.97651000,624,0,32
2022.01.03 04:00:00,1.97656000,1.97729000,1.97637000,1.97638000,418,0,51
2022.01.03 04:30:00,1.97638000,1.97678000,1.97584000,1.97625000,293,0,46
2022.01.03 05:00:00,1.97625000,1.97691000,1.97531000,1.97680000,262,0,28
2022.01.03 05:30:00,1.97680000,1.97768000,1.97578000,1.97584000,363,0,38
2022.01.03 06:00:00,1.97584000,1.97650000,1.97569000,1.97591000,248,0,24
2022.01.03 06:30:00,1.97591000,1.97652000,1.97559000,1.97575000,243,0,25
2022.01.03 07:00:00,1.97571000,1.97648000,1.97569000,1.97620000,206,0,28
2022.01.03 07:30:00,1.97617000,1.97680000,1.97587000,1.97607000,267,0,37
2022.01.03 08:00:00,1.97607000,1.97675000,1.97580000,1.97640000,306,0,32
2022.01.03 08:30:00,1.97640000,1.97647000,1.97545000,1.97549000,389,0,28
2022.01.03 09:00:00,1.97549000,1.97639000,1.97499000,1.97586000,653,0,48
2022.01.03 09:30:00,1.97589000,1.97597000,1.97504000,1.97546000,388,0,22
2022.01.03 10:00:00,1.97548000,1.97571000,1.97413000,1.97413000,1000,0,50
2022.01.03 10:30:00,1.97418000,1.97640000,1.97364000,1.97635000,592,0,50
2022.01.03 11:00:00,1.97636000,1.97726000,1.97607000,1.97689000,552,0,43
2022.01.03 11:30:00,1.97688000,1.97854000,1.97640000,1.97826000,634,0,49
2022.01.03 12:00:00,1.97826000,1.97913000,1.97769000,1.97783000,586,0,48
2022.01.03 12:30:00,1.97783000,1.97937000,1.97778000,1.97920000,495,0,48
2022.01.03 13:00:00,1.97916000,1.98045000,1.97886000,1.97898000,700,0,54
2022.01.03 13:30:00,1.97898000,1.97933000,1.97750000,1.97750000,485,0,8
2022.01.03 14:00:00,1.97750000,1.97889000,1.97750000,1.97863000,626,0,19
2022.01.03 14:30:00,1.97865000,1.97873000,1.97766000,1.97827000,588,0,29
2022.01.03 15:00:00,1.97827000,1.98043000,1.97795000,1.98029000,1039,0,50
2022.01.03 15:30:00,1.98029000,1.98196000,1.97975000,1.98184000,1760,0,58
2022.01.03 16:00:00,1.98185000,1.98408000,1.98185000,1.98402000,1519,0,47
2022.01.03 16:30:00,1.98413000,1.98576000,1.98375000,1.98393000,2009,0,47
2022.01.03 17:00:00,1.98391000,1.98427000,1.98227000,1.98279000,1785,0,42
2022.01.03 17:30:00,1.98272000,1.98417000,1.98169000,1.98416000,1633,0,48
2022.01.03 18:00:00,1.98416000,1.98465000,1.98209000,1.98434000,1475,0,45
2022.01.03 18:30:00,1.98434000,1.98523000,1.98365000,1.98434000,1489,0,57
