time,open,high,low,close,tick_volume,real_volume,spread
2022.01.03 00:00:00,1.35256000,1.35336000,1.35215000,1.35281000,392,0,52
2022.01.03 01:00:00,1.35302000,1.35328000,1.35194000,1.35206000,532,0,11
2022.01.03 02:00:00,1.35208000,1.35253000,1.35165000,1.35167000,683,0,0
2022.01.03 03:00:00,1.35167000,1.35295000,1.35149000,1.35179000,1537,0,1
2022.01.03 04:00:00,1.35180000,1.35180000,1.35035000,1.35042000,914,0,0
2022.01.03 05:00:00,1.35043000,1.35063000,1.34946000,1.34989000,770,0,0
2022.01.03 06:00:00,1.34989000,1.35054000,1.34949000,1.34979000,528,0,1
2022.01.03 07:00:00,1.34979000,1.35005000,1.34949000,1.34983000,555,0,1
2022.01.03 08:00:00,1.34983000,1.35073000,1.34972000,1.35048000,705,0,1
2022.01.03 09:00:00,1.35058000,1.35066000,1.34960000,1.35055000,1335,0,1
2022.01.03 10:00:00,1.35055000,1.35229000,1.35027000,1.35222000,2452,0,0
2022.01.03 11:00:00,1.35221000,1.35280000,1.35125000,1.35168000,2114,0,0
2022.01.03 12:00:00,1.35168000,1.35245000,1.35087000,1.35110000,2189,0,0
2022.01.03 13:00:00,1.35113000,1.35219000,1.35079000,1.35103000,1896,0,1
2022.01.03 14:00:00,1.35103000,1.35122000,1.35004000,1.35053000,1914,0,0
2022.01.03 15:00:00,1.35052000,1.35062000,1.34831000,1.34868000,3776,0,0
2022.01.03 16:00:00,1.34868000,1.34919000,1.34545000,1.34601000,4472,0,0
2022.01.03 17:00:00,1.34604000,1.34647000,1.34308000,1.34464000,5324,0,0
2022.01.03 18:00:00,1.34464000,1.34689000,1.34362000,1.34661000,3703,0,0
2022.01.03 19:00:00,1.34661000,1.34768000,1.34655000,1.34710000,1843,0,0
2022.01.03 20:00:00,1.34711000,1.34835000,1.34700000,1.34790000,1394,0,0
2022.01.03 21:00:00,1.34789000,1.34856000,1.34774000,1.34843000,1682,0,0
2022.01.03 22:00:00,1.34843000,1.34852000,1.34738000,1.34788000,1675,0,0
2022.01.03 23:00:00,1.34788000,1.34817000,1.34756000,1.34786000,713,0,6
2022.01.04 00:00:00,1.34763000,1.34788000,1.34653000,1.34732000,460,0,33
2022.01.04 01:00:00,1.34727000,1.34841000,1.34721000,1.34812000,549,0,12
2022.01.04 02:00:00,1.34812000,1.34843000,1.34724000,1.34780000,784,0,2
2022.01.04 03:00:00,1.34776000,1.34832000,1.34766000,1.34798000,718,0,3
2022.01.04 04:00:00,1.34799000,1.34802000,1.34717000,1.34729000,844,0,2
