time,open,high,low,close,tick_volume,real_volume,spread
2022.01.03 00:00:00,0.86304000,0.86331000,0.86049000,0.86194000,40,0,214
2022.01.03 00:30:00,0.86190000,0.86364000,0.86100000,0.86117000,269,0,150
2022.01.03 01:00:00,0.86117000,0.86494000,0.86117000,0.86483000,275,0,25
2022.01.03 01:30:00,0.86483000,0.86575000,0.86479000,0.86572000,246,0,24
2022.01.03 02:00:00,0.86573000,0.86637000,0.86553000,0.86625000,373,0,11
2022.01.03 02:30:00,0.86625000,0.86644000,0.86608000,0.86642000,300,0,9
2022.01.03 03:00:00,0.86641000,0.86705000,0.86634000,0.86681000,329,0,13
2022.01.03 03:30:00,0.86682000,0.86693000,0.86557000,0.86575000,479,0,6
2022.01.03 04:00:00,0.86572000,0.86573000,0.86520000,0.86560000,453,0,12
2022.01.03 04:30:00,0.86560000,0.86599000,0.86554000,0.86579000,363,0,12
2022.01.03 05:00:00,0.86579000,0.86616000,0.86539000,0.86555000,315,0,6
2022.01.03 05:30:00,0.86554000,0.86618000,0.86537000,0.86602000,377,0,11
2022.01.03 06:00:00,0.86603000,0.86607000,0.86555000,0.86581000,258,0,15
2022.01.03 06:30:00,0.86572000,0.86598000,0.86560000,0.86591000,241,0,12
2022.01.03 07:00:00,0.86586000,0.86595000,0.86575000,0.86589000,236,0,10
2022.01.03 07:30:00,0.86591000,0.86608000,0.86573000,0.86592000,274,0,9
2022.01.03 08:00:00,0.86595000,0.86626000,0.86569000,0.86617000,271,0,11
2022.01.03 08:30:00,0.86617000,0.86681000,0.86610000,0.86652000,315,0,4
2022.01.03 09:00:00,0.86648000,0.86680000,0.86624000,0.86629000,385,0,5
2022.01.03 09:30:00,0.86629000,0.86651000,0.86620000,0.86633000,329,0,10
2022.01.03 10:00:00,0.86629000,0.86709000,0.86605000,0.86699000,594,0,10
2022.01.03 10:30:00,0.86693000,0.86723000,0.86670000,0.86681000,454,0,9
2022.01.03 11:00:00,0.86683000,0.86693000,0.86640000,0.86644000,376,0,18
2022.01.03 11:30:00,0.86649000,0.86668000,0.86612000,0.86614000,406,0,11
2022.01.03 12:00:00,0.86616000,0.86632000,0.86600000,0.86621000,375,0,11
2022.01.03 12:30:00,0.86621000,0.86621000,0.86538000,0.86538000,337,0,11
2022.01.03 13:00:00,0.86542000,0.86589000,0.86525000,0.86583000,441,0,10
2022.01.03 13:30:00,0.86583000,0.86651000,0.86577000,0.86646000,337,0,10
2022.01.03 14:00:00,0.86650000,0.86651000,0.86533000,0.86540000,408,0,7
2022.01.03 14:30:00,0.86540000,0.86567000,0.86522000,0.86551000,369,0,5
2022.01.03 15:00:00,0.86553000,0.86636000,0.86534000,0.86585000,739,0,17
2022.01.03 15:30:00,0.86581000,0.86601000,0.86497000,0.86511000,956,0,17
2022.01.03 16:00:00,0.86512000,0.86526000,0.86430000,0.86479000,920,0,15
2022.01.03 16:30:00,0.86480000,0.86578000,0.86389000,0.86404000,1372,0,16
2022.01.03 17:00:00,0.86412000,0.86468000,0.86385000,0.86459000,1250,0,16
2022.01.03 17:30:00,0.86456000,0.86605000,0.86448000,0.86541000,1116,0,17
2022.01.03 18:00:00,0.86545000,0.86553000,0.86460000,0.86500000,789,0,17
2022.01.03 18:30:00,0.86498000,0.86571000,0.86480000,0.86538000,700,0,17
2022.01.03 19:00:00,0.86545000,0.86576000,0.86518000,0.86534000,494,0,17
2022.01.03 19:30:00,0.86533000,0.86619000,0.86517000,0.86599000,348,0,9
2022.01.03 20:00:00,0.86600000,0.86646000,0.86548000,0.86590000,356,0,10
2022.01.03 20:30:00,0.86590000,0.86643000,0.86576000,0.86578000,346,0,10
2022.01.03 21:00:00,0.86585000,0.86596000,0.86553000,0.86586000,341,0,11
2022.01.03 21:30:00,0.86588000,0.86603000,0.86518000,0.86519000,401,0,11
2022.01.03 22:00:00,0.86525000,0.86539000,0.86456000,0.86531000,376,0,11
2022.01.03 22:30:00,0.86531000,0.86551000,0.86485000,0.86506000,438,0,12
2022.01.03 23:00:00,0.86506000,0.86578000,0.86455000,0.86511000,259,0,14
2022.01.03 23:30:00,0.86511000,0.86530000,0.86422000,0.86448000,413,0,22
2022.01.04 00:00:00,0.86351000,0.86510000,0.86351000,0.86432000,305,0,104
2022.01.04 00:30:00,0.86415000,0.86445000,0.86363000,0.86420000,489,0,103
2022.01.04 01:00:00,0.86424000,0.86556000,0.86366000,0.86548000,234,0,16
2022.01.04 01:30:00,0.86545000,0.86555000,0.86502000,0.86551000,256,0,17
2022.01.04 02:00:00,0.86553000,0.86593000,0.86517000,0.86569000,340,0,14
2022.01.04 02:30:00,0.86570000,0.86626000,0.86545000,0.86620000,395,0,11
2022.01.04 03:00:00,0.86615000,0.86661000,0.86576000,0.86590000,462,0,15
2022.01.04 03:30:00,0.86590000,0.86602000,0.86517000,0.86578000,387,0,12
2022.01.04 04:00:00,0.86578000,0.86619000,0.86528000,0.86581000,306,0,10
2022.01.04 04:30:00,0.86586000,0.86611000,0.86563000,0.86568000,316,0,13
2022.01.04 05:00:00,0.86570000,0.86593000,0.86526000,0.86531000,310,0,12
2022.01.04 05:30:00,0.86528000,0.86547000,0.86468000,0.86481000,244,0,13
2022.01.04 06:00:00,0.86481000,0.86537000,0.86465000,0.86532000,273,0,12
2022.01.04 06:30:00,0.86532000,0.86532000,0.86459000,0.86460000,326,0,12
2022.01.04 07:00:00,0.86462000,0.86530000,0.86459000,0.86518000,251,0,9
2022.01.04 07:30:00,0.86519000,0.86526000,0.86465000,0.86466000,270,0,11
2022.01.04 08:00:00,0.86467000,0.86500000,0.86391000,0.86428000,310,0,13
2022.01.04 08:30:00,0.86429000,0.86493000,0.86429000,0.86451000,313,0,6
2022.01.04 09:00:00,0.86439000,0.86470000,0.86366000,0.86453000,520,0,10
2022.01.04 09:30:00,0.86456000,0.86465000,0.86417000,0.86445000,460,0,17
2022.01.04 10:00:00,0.86444000,0.86569000,0.86441000,0.86565000,643,0,16
2022.01.04 10:30:00,0.86565000,0.86599000,0.86528000,0.86536000,542,0,16
2022.01.04 11:00:00,0.86536000,0.86576000,0.86528000,0.86571000,538,0,17
2022.01.04 11:30:00,0.86573000,0.86620000,0.86548000,0.86620000,426,0,10
2022.01.04 12:00:00,0.86620000,0.86626000,0.86465000,0.86529000,585,0,18
2022.01.04 12:30:00,0.86529000,0.86546000,0.86502000,0.86513000,477,0,18
2022.01.04 13:00:00,0.86513000,0.86534000,0.86442000,0.86454000,594,0,17
2022.01.04 13:30:00,0.86452000,0.86452000,0.86340000,0.86348000,669,0,17
2022.01.04 14:00:00,0.86347000,0.86420000,0.86330000,0.86418000,592,0,5
2022.01.04 14:30:00,0.86418000,0.86429000,0.86320000,0.86328000,598,0,14
2022.01.04 15:00:00,0.86328000,0.86359000,0.86251000,0.86307000,760,0,17
2022.01.04 15:30:00,0.86307000,0.86341000,0.86257000,0.86310000,762,0,16
2022.01.04 16:00:00,0.86311000,0.86358000,0.86277000,0.86292000,837,0,16
2022.01.04 16:30:00,0.86291000,0.86387000,0.86275000,0.86332000,1257,0,16
2022.01.04 17:00:00,0.86334000,0.86490000,0.86315000,0.86475000,1307,0,16
2022.01.04 17:30:00,0.86475000,0.86508000,0.86374000,0.86399000,1257,0,15
2022.01.04 18:00:00,0.86399000,0.86502000,0.86393000,0.86435000,1301,0,14
2022.01.04 18:30:00,0.86432000,0.86466000,0.86403000,0.86430000,907,0,15
2022.01.04 19:00:00,0.86434000,0.86475000,0.86397000,0.86449000,599,0,15
2022.01.04 19:30:00,0.86449000,0.86457000,0.86410000,0.86441000,435,0,15
2022.01.04 20:00:00,0.86440000,0.86470000,0.86398000,0.86465000,425,0,16
2022.01.04 20:30:00,0.86465000,0.86481000,0.86438000,0.86477000,482,0,16
2022.01.04 21:00:00,0.86477000,0.86504000,0.86457000,0.86502000,508,0,15
2022.01.04 21:30:00,0.86502000,0.86526000,0.86451000,0.86513000,447,0,16
2022.01.04 22:00:00,0.86510000,0.86535000,0.86485000,0.86526000,404,0,15
2022.01.04 22:30:00,0.86516000,0.86560000,0.86516000,0.86540000,511,0,13
