time_epoch,time_server,open,high,low,close,tick_volume,spread
1768222800,2026.01.12 13:00,0.45907,0.45939,0.45900,0.45921,574,32
1768226400,2026.01.12 14:00,0.45917,0.45939,0.45873,0.45904,1430,32
1768230000,2026.01.12 15:00,0.45905,0.45937,0.45875,0.45910,1854,32
1768233600,2026.01.12 16:00,0.45909,0.45915,0.45865,0.45883,1455,0
1768237200,2026.01.12 17:00,0.45882,0.45935,0.45878,0.45925,1364,32
1768240800,2026.01.12 18:00,0.45923,0.45964,0.45916,0.45957,1189,32
1768244400,2026.01.12 19:00,0.45936,0.45977,0.45930,0.45935,876,0
1768248000,2026.01.12 20:00,0.45935,0.45969,0.45929,0.45940,660,0
1768251600,2026.01.12 21:00,0.45941,0.45981,0.45939,0.45976,633,0
1768255200,2026.01.12 22:00,0.45977,0.46047,0.45942,0.45944,592,0
1768258800,2026.01.12 23:00,0.45961,0.46020,0.45921,0.45972,322,30
1768262400,2026.01.13 00:00,0.45973,0.46049,0.45973,0.46013,651,0
1768266000,2026.01.13 01:00,0.46012,0.46054,0.46007,0.46046,777,0
1768269600,2026.01.13 02:00,0.46045,0.46091,0.46041,0.46070,1093,0
1768273200,2026.01.13 03:00,0.46069,0.46099,0.46051,0.46058,948,0
1768276800,2026.01.13 04:00,0.46059,0.46092,0.46052,0.46075,717,0
1768280400,2026.01.13 05:00,0.46074,0.46082,0.46038,0.46053,816,0
1768284000,2026.01.13 06:00,0.46053,0.46055,0.46024,0.46045,802,0
1768287600,2026.01.13 07:00,0.46045,0.46059,0.46029,0.46038,996,0
1768291200,2026.01.13 08:00,0.46038,0.46044,0.46005,0.46006,990,0
1768294800,2026.01.13 09:00,0.46004,0.46016,0.45959,0.46000,1281,32
1768298400,2026.01.13 10:00,0.46000,0.46029,0.45994,0.46015,990,0
1768302000,2026.01.13 11:00,0.46014,0.46020,0.45986,0.45991,964,0
1768305600,2026.01.13 12:00,0.45992,0.46015,0.45976,0.46002,753,0
1768309200,2026.01.13 13:00,0.46003,0.46017,0.45979,0.45989,888,0
1768312800,2026.01.13 14:00,0.45990,0.46107,0.45957,0.46010,2155,32
1768316400,2026.01.13 15:00,0.46010,0.46041,0.45965,0.45965,2251,32
1768320000,2026.01.13 16:00,0.45971,0.46003,0.45912,0.45972,2119,32
1768323600,2026.01.13 17:00,0.45970,0.45988,0.45950,0.45974,1749,32
1768327200,2026.01.13 18:00,0.45975,0.45987,0.45948,0.45956,1251,32
1768330800,2026.01.13 19:00,0.45935,0.45960,0.45918,0.45918,1165,32
1768334400,2026.01.13 20:00,0.45919,0.45941,0.45913,0.45935,1031,32
1768338000,2026.01.13 21:00,0.45934,0.45949,0.45923,0.45943,752,0
1768341600,2026.01.13 22:00,0.45944,0.45951,0.45870,0.45875,526,0
1768345200,2026.01.13 23:00,0.45913,0.45981,0.45878,0.45981,614,22
1768348800,2026.01.14 00:00,0.45968,0.45996,0.45909,0.45955,552,0
1768352400,2026.01.14 01:00,0.45951,0.45972,0.45946,0.45953,751,0
1768356000,2026.01.14 02:00,0.45953,0.45966,0.45924,0.45951,987,0
1768359600,2026.01.14 03:00,0.45950,0.46018,0.45947,0.46011,981,0
1768363200,2026.01.14 04:00,0.46010,0.46033,0.45985,0.46001,805,0
1768366800,2026.01.14 05:00,0.46002,0.46034,0.45994,0.46013,642,0
1768370400,2026.01.14 06:00,0.46013,0.46036,0.46000,0.46006,829,0
1768374000,2026.01.14 07:00,0.46005,0.46033,0.45991,0.46032,969,32
1768377600,2026.01.14 08:00,0.46033,0.46038,0.46011,0.46019,923,0
1768381200,2026.01.14 09:00,0.46019,0.46099,0.45990,0.46081,1470,32
1768384800,2026.01.14 10:00,0.46083,0.46119,0.46058,0.46080,1118,32
1768388400,2026.01.14 11:00,0.46080,0.46105,0.45959,0.45982,1207,32
1768392000,2026.01.14 12:00,0.45981,0.45982,0.45943,0.45969,1023,0
1768395600,2026.01.14 13:00,0.45970,0.45997,0.45947,0.45958,1315,0
1768399200,2026.01.14 14:00,0.45957,0.45993,0.45929,0.45989,1545,32
1768402800,2026.01.14 15:00,0.45990,0.46016,0.45926,0.45946,2111,32
1768406400,2026.01.14 16:00,0.45947,0.46011,0.45919,0.45941,2250,32
1768410000,2026.01.14 17:00,0.45941,0.45967,0.45886,0.45905,1607,32
1768413600,2026.01.14 18:00,0.45904,0.45927,0.45894,0.45895,1257,32
1768417200,2026.01.14 19:00,0.45871,0.45938,0.45871,0.45933,943,0
1768420800,2026.01.14 20:00,0.45937,0.45947,0.45918,0.45944,841,0
1768424400,2026.01.14 21:00,0.45941,0.45971,0.45931,0.45961,1207,0
1768428000,2026.01.14 22:00,0.45963,0.45992,0.45876,0.45886,708,0
1768431600,2026.01.14 23:00,0.45941,0.45993,0.45814,0.45924,702,53
1768435200,2026.01.15 00:00,0.45910,0.45972,0.45870,0.45915,659,0
1768438800,2026.01.15 01:00,0.45915,0.45928,0.45895,0.45920,903,0
1768442400,2026.01.15 02:00,0.45919,0.45919,0.45864,0.45887,1338,32
1768446000,2026.01.15 03:00,0.45888,0.45890,0.45865,0.45870,978,0
1768449600,2026.01.15 04:00,0.45869,0.45900,0.45849,0.45885,763,0
1768453200,2026.01.15 05:00,0.45885,0.45930,0.45875,0.45911,591,0
1768456800,2026.01.15 06:00,0.45911,0.45940,0.45902,0.45916,781,0
1768460400,2026.01.15 07:00,0.45915,0.45973,0.45910,0.45946,984,0
1768464000,2026.01.15 08:00,0.45946,0.45978,0.45936,0.45975,1136,32
1768467600,2026.01.15 09:00,0.45979,0.46027,0.45957,0.46027,1249,0
1768471200,2026.01.15 10:00,0.46027,0.46064,0.46003,0.46008,1061,0
1768474800,2026.01.15 11:00,0.46009,0.46039,0.45995,0.46011,921,0
1768478400,2026.01.15 12:00,0.46012,0.46038,0.46003,0.46014,1003,0
1768482000,2026.01.15 13:00,0.46016,0.46027,0.45995,0.45997,814,0
1768485600,2026.01.15 14:00,0.45979,0.46011,0.45949,0.45962,1346,0
1768489200,2026.01.15 15:00,0.45963,0.46070,0.45944,0.46068,1825,32
1768492800,2026.01.15 16:00,0.46110,0.46131,0.46053,0.46117,1770,32
1768496400,2026.01.15 17:00,0.46116,0.46133,0.46071,0.46103,1369,0
1768500000,2026.01.15 18:00,0.46103,0.46121,0.46072,0.46107,1095,0
1768503600,2026.01.15 19:00,0.46087,0.46134,0.46085,0.46103,887,0
1768507200,2026.01.15 20:00,0.46103,0.46111,0.46083,0.46103,906,32
1768510800,2026.01.15 21:00,0.46101,0.46110,0.46082,0.46088,884,0
1768514400,2026.01.15 22:00,0.46090,0.46140,0.46050,0.46056,532,0
1768518000,2026.01.15 23:00,0.46075,0.46120,0.45985,0.46091,295,69
1768521600,2026.01.16 00:00,0.46083,0.46150,0.46083,0.46127,465,0
1768525200,2026.01.16 01:00,0.46128,0.46189,0.46128,0.46154,696,0
1768528800,2026.01.16 02:00,0.46154,0.46201,0.46148,0.46152,911,0
1768532400,2026.01.16 03:00,0.46151,0.46160,0.46134,0.46148,972,32
1768536000,2026.01.16 04:00,0.46147,0.46220,0.46141,0.46183,852,0
1768539600,2026.01.16 05:00,0.46184,0.46197,0.46169,0.46183,467,0
1768543200,2026.01.16 06:00,0.46181,0.46205,0.46164,0.46172,695,0
1768546800,2026.01.16 07:00,0.46173,0.46194,0.46159,0.46172,630,0
1768550400,2026.01.16 08:00,0.46170,0.46206,0.46161,0.46188,987,0
1768554000,2026.01.16 09:00,0.46191,0.46233,0.46179,0.46198,982,0
1768557600,2026.01.16 10:00,0.46197,0.46217,0.46173,0.46190,904,0
1768561200,2026.01.16 11:00,0.46190,0.46191,0.46147,0.46171,729,32
1768564800,2026.01.16 12:00,0.46171,0.46230,0.46168,0.46169,819,0
