time_epoch,time_server,open,high,low,close,tick_volume,spread
1719792000,2024.07.01 00:00,0.54810,0.54830,0.54502,0.54630,67,60
1719792900,2024.07.01 00:15,0.54672,0.54750,0.54672,0.54744,56,76
1719793800,2024.07.01 00:30,0.54725,0.54773,0.54700,0.54713,163,76
1719794700,2024.07.01 00:45,0.54710,0.54740,0.54695,0.54706,201,76
1719795600,2024.07.01 01:00,0.54666,0.54803,0.54666,0.54796,228,13
1719796500,2024.07.01 01:15,0.54794,0.54867,0.54792,0.54865,202,16
1719797400,2024.07.01 01:30,0.54865,0.54865,0.54821,0.54836,307,9
1719798300,2024.07.01 01:45,0.54838,0.54884,0.54838,0.54879,233,14
1719799200,2024.07.01 02:00,0.54881,0.54907,0.54881,0.54905,239,13
1719800100,2024.07.01 02:15,0.54905,0.54919,0.54884,0.54918,149,13
1719801000,2024.07.01 02:30,0.54918,0.54933,0.54917,0.54922,160,13
1719801900,2024.07.01 02:45,0.54918,0.54930,0.54897,0.54904,302,13
1719802800,2024.07.01 03:00,0.54907,0.54911,0.54856,0.54887,456,13
1719803700,2024.07.01 03:15,0.54887,0.54892,0.54858,0.54861,465,13
1719804600,2024.07.01 03:30,0.54859,0.54892,0.54837,0.54885,313,13
1719805500,2024.07.01 03:45,0.54884,0.54886,0.54827,0.54852,386,13
1719806400,2024.07.01 04:00,0.54852,0.54855,0.54821,0.54835,413,13
1719807300,2024.07.01 04:15,0.54837,0.54857,0.54817,0.54843,344,13
1719808200,2024.07.01 04:30,0.54841,0.54871,0.54836,0.54836,415,12
1719809100,2024.07.01 04:45,0.54836,0.54854,0.54835,0.54852,288,13
1719810000,2024.07.01 05:00,0.54853,0.54856,0.54832,0.54846,258,13
1719810900,2024.07.01 05:15,0.54845,0.54848,0.54832,0.54840,250,13
1719811800,2024.07.01 05:30,0.54840,0.54854,0.54830,0.54833,246,13
1719812700,2024.07.01 05:45,0.54833,0.54854,0.54833,0.54847,207,13
1719813600,2024.07.01 06:00,0.54848,0.54870,0.54841,0.54870,192,2
1719814500,2024.07.01 06:15,0.54870,0.54877,0.54865,0.54875,157,13
1719815400,2024.07.01 06:30,0.54876,0.54886,0.54861,0.54861,235,2
1719816300,2024.07.01 06:45,0.54861,0.54875,0.54860,0.54872,243,13
1719817200,2024.07.01 07:00,0.54870,0.54870,0.54856,0.54863,256,13
1719818100,2024.07.01 07:15,0.54863,0.54870,0.54859,0.54859,167,13
1719819000,2024.07.01 07:30,0.54858,0.54864,0.54847,0.54852,183,12
1719819900,2024.07.01 07:45,0.54852,0.54855,0.54836,0.54849,257,13
1719820800,2024.07.01 08:00,0.54848,0.54867,0.54844,0.54852,292,12
1719821700,2024.07.01 08:15,0.54851,0.54855,0.54842,0.54853,270,13
1719822600,2024.07.01 08:30,0.54855,0.54868,0.54837,0.54840,354,13
1719823500,2024.07.01 08:45,0.54841,0.54857,0.54835,0.54845,311,12
1719824400,2024.07.01 09:00,0.54850,0.54852,0.54826,0.54848,449,13
1719825300,2024.07.01 09:15,0.54849,0.54871,0.54837,0.54862,445,12
1719826200,2024.07.01 09:30,0.54860,0.54867,0.54821,0.54832,467,11
1719827100,2024.07.01 09:45,0.54832,0.54843,0.54816,0.54833,417,12
1719828000,2024.07.01 10:00,0.54832,0.54869,0.54824,0.54863,592,13
1719828900,2024.07.01 10:15,0.54864,0.54879,0.54846,0.54865,475,13
1719829800,2024.07.01 10:30,0.54866,0.54882,0.54855,0.54881,425,12
1719830700,2024.07.01 10:45,0.54880,0.54911,0.54877,0.54905,461,12
1719831600,2024.07.01 11:00,0.54909,0.54941,0.54901,0.54930,482,12
1719832500,2024.07.01 11:15,0.54932,0.54982,0.54930,0.54932,485,11
1719833400,2024.07.01 11:30,0.54934,0.54945,0.54911,0.54933,487,12
1719834300,2024.07.01 11:45,0.54932,0.54955,0.54930,0.54950,367,12
1719835200,2024.07.01 12:00,0.54951,0.54952,0.54879,0.54891,486,11
1719836100,2024.07.01 12:15,0.54889,0.54906,0.54880,0.54899,363,13
