time,open,high,low,close,tick_volume,real_volume,spread
2022.01.03 00:00:00,1.26347000,1.26434000,1.26284000,1.26344000,826,0,41
2022.01.03 01:00:00,1.26360000,1.26597000,1.26280000,1.26592000,1071,0,7
2022.01.03 02:00:00,1.26592000,1.26592000,1.26480000,1.26537000,1159,0,2
2022.01.03 03:00:00,1.26537000,1.26646000,1.26446000,1.26620000,1140,0,0
2022.01.03 04:00:00,1.26620000,1.26742000,1.26613000,1.26733000,1507,0,0
2022.01.03 05:00:00,1.26733000,1.26856000,1.26709000,1.26784000,793,0,0
2022.01.03 06:00:00,1.26784000,1.26801000,1.26688000,1.26764000,753,0,1
2022.01.03 07:00:00,1.26762000,1.26823000,1.26759000,1.26798000,639,0,0
2022.01.03 08:00:00,1.26798000,1.26856000,1.26754000,1.26781000,796,0,0
2022.01.03 09:00:00,1.26781000,1.26860000,1.26748000,1.26754000,1193,0,1
2022.01.03 10:00:00,1.26754000,1.26781000,1.26665000,1.26716000,1980,0,0
2022.01.03 11:00:00,1.26719000,1.26838000,1.26704000,1.26801000,1818,0,0
2022.01.03 12:00:00,1.26802000,1.26813000,1.26743000,1.26807000,1356,0,0
2022.01.03 13:00:00,1.26807000,1.26847000,1.26786000,1.26827000,1621,0,1
2022.01.03 14:00:00,1.26827000,1.26858000,1.26799000,1.26816000,1241,0,1
2022.01.03 15:00:00,1.26815000,1.27193000,1.26815000,1.27159000,2371,0,1
2022.01.03 16:00:00,1.27157000,1.27485000,1.27145000,1.27392000,4035,0,0
2022.01.03 17:00:00,1.27390000,1.27788000,1.27339000,1.27726000,5082,0,0
2022.01.03 18:00:00,1.27723000,1.27732000,1.27520000,1.27563000,2989,0,0
2022.01.03 19:00:00,1.27563000,1.27594000,1.27500000,1.27551000,1896,0,0
2022.01.03 20:00:00,1.27550000,1.27557000,1.27436000,1.27438000,1068,0,0
2022.01.03 21:00:00,1.27438000,1.27543000,1.27438000,1.27468000,1701,0,0
2022.01.03 22:00:00,1.27469000,1.27580000,1.27435000,1.27520000,1882,0,0
2022.01.03 23:00:00,1.27520000,1.27543000,1.27435000,1.27438000,825,0,4
2022.01.04 00:00:00,1.27426000,1.27496000,1.27368000,1.27467000,2206,0,65
2022.01.04 01:00:00,1.27467000,1.27512000,1.27432000,1.27511000,855,0,10
2022.01.04 02:00:00,1.27510000,1.27550000,1.27432000,1.27459000,972,0,0
2022.01.04 03:00:00,1.27460000,1.27538000,1.27370000,1.27526000,946,0,1
