time_epoch,time_server,open,high,low,close,tick_volume,spread
1719792000,2024.07.01 00:00,1.36710,1.36720,1.36613,1.36650,84,30
1719792900,2024.07.01 00:15,1.36650,1.36692,1.36650,1.36657,49,47
1719793800,2024.07.01 00:30,1.36657,1.36749,1.36649,1.36712,170,22
1719794700,2024.07.01 00:45,1.36712,1.36714,1.36673,1.36688,75,22
1719795600,2024.07.01 01:00,1.36691,1.36718,1.36663,1.36717,137,9
1719796500,2024.07.01 01:15,1.36711,1.36740,1.36710,1.36728,118,5
1719797400,2024.07.01 01:30,1.36728,1.36747,1.36725,1.36744,125,5
1719798300,2024.07.01 01:45,1.36744,1.36745,1.36728,1.36735,103,3
1719799200,2024.07.01 02:00,1.36733,1.36736,1.36707,1.36709,122,6
1719800100,2024.07.01 02:15,1.36713,1.36728,1.36710,1.36717,134,5
1719801000,2024.07.01 02:30,1.36717,1.36717,1.36688,1.36705,102,5
1719801900,2024.07.01 02:45,1.36701,1.36746,1.36677,1.36742,171,5
1719802800,2024.07.01 03:00,1.36743,1.36770,1.36730,1.36764,269,5
1719803700,2024.07.01 03:15,1.36765,1.36772,1.36727,1.36759,297,5
1719804600,2024.07.01 03:30,1.36761,1.36763,1.36710,1.36718,246,4
1719805500,2024.07.01 03:45,1.36718,1.36769,1.36718,1.36741,258,4
1719806400,2024.07.01 04:00,1.36742,1.36782,1.36716,1.36718,330,4
1719807300,2024.07.01 04:15,1.36718,1.36733,1.36670,1.36682,265,4
1719808200,2024.07.01 04:30,1.36681,1.36711,1.36652,1.36709,245,4
1719809100,2024.07.01 04:45,1.36709,1.36737,1.36686,1.36720,171,5
1719810000,2024.07.01 05:00,1.36721,1.36738,1.36700,1.36707,229,5
1719810900,2024.07.01 05:15,1.36707,1.36733,1.36701,1.36715,198,5
1719811800,2024.07.01 05:30,1.36716,1.36747,1.36703,1.36743,156,5
1719812700,2024.07.01 05:45,1.36742,1.36747,1.36716,1.36722,141,5
1719813600,2024.07.01 06:00,1.36722,1.36744,1.36721,1.36728,96,5
1719814500,2024.07.01 06:15,1.36729,1.36745,1.36726,1.36739,132,5
1719815400,2024.07.01 06:30,1.36736,1.36767,1.36735,1.36764,133,4
1719816300,2024.07.01 06:45,1.36764,1.36768,1.36744,1.36748,96,6
1719817200,2024.07.01 07:00,1.36749,1.36752,1.36727,1.36727,99,5
1719818100,2024.07.01 07:15,1.36726,1.36739,1.36726,1.36737,115,2
1719819000,2024.07.01 07:30,1.36737,1.36738,1.36725,1.36726,91,6
1719819900,2024.07.01 07:45,1.36726,1.36738,1.36726,1.36727,84,4
1719820800,2024.07.01 08:00,1.36730,1.36735,1.36713,1.36735,133,2
1719821700,2024.07.01 08:15,1.36735,1.36755,1.36716,1.36717,144,4
1719822600,2024.07.01 08:30,1.36716,1.36724,1.36696,1.36698,166,5
1719823500,2024.07.01 08:45,1.36698,1.36722,1.36679,1.36716,213,4
1719824400,2024.07.01 09:00,1.36717,1.36718,1.36655,1.36661,380,4
1719825300,2024.07.01 09:15,1.36661,1.36684,1.36631,1.36632,285,4
1719826200,2024.07.01 09:30,1.36636,1.36712,1.36631,1.36701,358,5
1719827100,2024.07.01 09:45,1.36704,1.36726,1.36681,1.36684,241,4
1719828000,2024.07.01 10:00,1.36683,1.36734,1.36657,1.36696,510,2
1719828900,2024.07.01 10:15,1.36694,1.36743,1.36694,1.36733,452,3
1719829800,2024.07.01 10:30,1.36741,1.36794,1.36739,1.36779,393,4
