time,open,high,low,close,tick_volume,real_volume,spread
2022.01.03 00:00:00,1.26347000,1.26434000,1.26284000,1.26389000,468,0,41
2022.01.03 00:30:00,1.26383000,1.26396000,1.26337000,1.26344000,358,0,56
2022.01.03 01:00:00,1.26360000,1.26387000,1.26280000,1.26332000,446,0,15
2022.01.03 01:30:00,1.26332000,1.26597000,1.26329000,1.26592000,625,0,7
2022.01.03 02:00:00,1.26592000,1.26592000,1.26480000,1.26513000,691,0,2
2022.01.03 02:30:00,1.26515000,1.26541000,1.26505000,1.26537000,468,0,3
2022.01.03 03:00:00,1.26537000,1.26549000,1.26446000,1.26478000,593,0,0
2022.01.03 03:30:00,1.26477000,1.26646000,1.26463000,1.26620000,547,0,1
2022.01.03 04:00:00,1.26620000,1.26703000,1.26613000,1.26654000,753,0,0
2022.01.03 04:30:00,1.26654000,1.26742000,1.26650000,1.26733000,754,0,2
2022.01.03 05:00:00,1.26733000,1.26794000,1.26709000,1.26771000,355,0,0
2022.01.03 05:30:00,1.26772000,1.26856000,1.26764000,1.26784000,438,0,1
2022.01.03 06:00:00,1.26784000,1.26801000,1.26695000,1.26700000,403,0,1
2022.01.03 06:30:00,1.26700000,1.26801000,1.26688000,1.26764000,350,0,2
2022.01.03 07:00:00,1.26762000,1.26815000,1.26759000,1.26812000,309,0,0
2022.01.03 07:30:00,1.26813000,1.26823000,1.26775000,1.26798000,330,0,0
2022.01.03 08:00:00,1.26798000,1.26856000,1.26754000,1.26831000,252,0,0
2022.01.03 08:30:00,1.26830000,1.26852000,1.26771000,1.26781000,544,0,0
2022.01.03 09:00:00,1.26781000,1.26860000,1.26778000,1.26831000,633,0,1
2022.01.03 09:30:00,1.26831000,1.26848000,1.26748000,1.26754000,560,0,1
2022.01.03 10:00:00,1.26754000,1.26781000,1.26665000,1.26693000,1184,0,0
2022.01.03 10:30:00,1.26693000,1.26740000,1.26668000,1.26716000,796,0,0
2022.01.03 11:00:00,1.26719000,1.26764000,1.26704000,1.26756000,887,0,0
2022.01.03 11:30:00,1.26756000,1.26838000,1.26752000,1.26801000,931,0,1
2022.01.03 12:00:00,1.26802000,1.26806000,1.26743000,1.26761000,781,0,1
2022.01.03 12:30:00,1.26761000,1.26813000,1.26759000,1.26807000,575,0,0
2022.01.03 13:00:00,1.26807000,1.26847000,1.26786000,1.26813000,818,0,2
2022.01.03 13:30:00,1.26813000,1.26845000,1.26799000,1.26827000,803,0,1
2022.01.03 14:00:00,1.26827000,1.26858000,1.26809000,1.26812000,830,0,1
2022.01.03 14:30:00,1.26812000,1.26849000,1.26799000,1.26816000,411,0,1
2022.01.03 15:00:00,1.26815000,1.27090000,1.26815000,1.27035000,1117,0,1
2022.01.03 15:30:00,1.27029000,1.27193000,1.27029000,1.27159000,1254,0,1
2022.01.03 16:00:00,1.27157000,1.27400000,1.27145000,1.27386000,1206,0,0
2022.01.03 16:30:00,1.27386000,1.27485000,1.27311000,1.27392000,2829,0,0
2022.01.03 17:00:00,1.27390000,1.27591000,1.27339000,1.27579000,2701,0,0
2022.01.03 17:30:00,1.27578000,1.27788000,1.27574000,1.27726000,2381,0,0
2022.01.03 18:00:00,1.27723000,1.27732000,1.27556000,1.27577000,1566,0,0
2022.01.03 18:30:00,1.27575000,1.27630000,1.27520000,1.27563000,1423,0,1
2022.01.03 19:00:00,1.27563000,1.27594000,1.27500000,1.27557000,1315,0,0
2022.01.03 19:30:00,1.27557000,1.27571000,1.27507000,1.27551000,581,0,0
2022.01.03 20:00:00,1.27550000,1.27557000,1.27494000,1.27502000,575,0,1
2022.01.03 20:30:00,1.27502000,1.27513000,1.27436000,1.27438000,493,0,0
2022.01.03 21:00:00,1.27438000,1.27530000,1.27438000,1.27526000,975,0,2
2022.01.03 21:30:00,1.27526000,1.27543000,1.27456000,1.27468000,726,0,0
2022.01.03 22:00:00,1.27469000,1.27577000,1.27435000,1.27565000,935,0,4
2022.01.03 22:30:00,1.27563000,1.27580000,1.27488000,1.27520000,947,0,0
2022.01.03 23:00:00,1.27520000,1.27543000,1.27471000,1.27515000,480,0,4
2022.01.03 23:30:00,1.27519000,1.27519000,1.27435000,1.27438000,345,0,8
2022.01.04 00:00:00,1.27426000,1.27496000,1.27368000,1.27464000,502,0,65
2022.01.04 00:30:00,1.27459000,1.27490000,1.27443000,1.27467000,1704,0,76
2022.01.04 01:00:00,1.27467000,1.27500000,1.27432000,1.27461000,449,0,10
2022.01.04 01:30:00,1.27460000,1.27512000,1.27450000,1.27511000,406,0,10
2022.01.04 02:00:00,1.27510000,1.27528000,1.27432000,1.27493000,443,0,0
2022.01.04 02:30:00,1.27495000,1.27550000,1.27452000,1.27459000,529,0,2
2022.01.04 03:00:00,1.27460000,1.27461000,1.27370000,1.27404000,442,0,3
2022.01.04 03:30:00,1.27404000,1.27538000,1.27404000,1.27526000,504,0,1
2022.01.04 04:00:00,1.27525000,1.27537000,1.27424000,1.27427000,468,0,0
2022.01.04 04:30:00,1.27427000,1.27509000,1.27402000,1.27480000,530,0,1
2022.01.04 05:00:00,1.27481000,1.27522000,1.27454000,1.27458000,453,0,3
2022.01.04 05:30:00,1.27457000,1.27457000,1.27417000,1.27437000,398,0,2
2022.01.04 06:00:00,1.27439000,1.27451000,1.27355000,1.27357000,344,0,1
2022.01.04 06:30:00,1.27356000,1.27359000,1.27283000,1.27308000,383,0,1
2022.01.04 07:00:00,1.27310000,1.27333000,1.27265000,1.27286000,302,0,0
2022.01.04 07:30:00,1.27286000,1.27289000,1.27228000,1.27230000,437,0,0
2022.01.04 08:00:00,1.27230000,1.27337000,1.27230000,1.27322000,402,0,0
2022.01.04 08:30:00,1.27321000,1.27346000,1.27287000,1.27335000,732,0,0
2022.01.04 09:00:00,1.27334000,1.27375000,1.27297000,1.27345000,1223,0,0
2022.01.04 09:30:00,1.27346000,1.27353000,1.27249000,1.27289000,1144,0,0
2022.01.04 10:00:00,1.27290000,1.27422000,1.27290000,1.27415000,1274,0,0
2022.01.04 10:30:00,1.27415000,1.27482000,1.27410000,1.27457000,860,0,2
2022.01.04 11:00:00,1.27457000,1.27489000,1.27366000,1.27390000,834,0,0
2022.01.04 11:30:00,1.27391000,1.27458000,1.27379000,1.27456000,935,0,0
2022.01.04 12:00:00,1.27455000,1.27470000,1.27355000,1.27399000,960,0,2
