time_epoch,time_server,open,high,low,close,tick_volume,spread
1609718400,2021.01.04 00:00,103.121,103.256,103.073,103.199,308,6
1609722000,2021.01.04 01:00,103.201,103.316,103.199,103.246,2187,0
1609725600,2021.01.04 02:00,103.245,103.261,102.997,103.062,4251,0
1609729200,2021.01.04 03:00,103.062,103.123,103.045,103.056,2859,0
1609732800,2021.01.04 04:00,103.056,103.074,102.967,102.983,2463,0
1609736400,2021.01.04 05:00,102.983,103.006,102.934,102.947,1699,0
1609740000,2021.01.04 06:00,102.947,103.044,102.937,102.997,1385,0
1609743600,2021.01.04 07:00,102.997,103.064,102.984,103.005,1504,0
1609747200,2021.01.04 08:00,103.005,103.061,102.980,102.990,2177,0
1609750800,2021.01.04 09:00,102.990,103.012,102.852,102.912,3279,0
1609754400,2021.01.04 10:00,102.912,102.922,102.767,102.803,3714,0
1609758000,2021.01.04 11:00,102.803,102.811,102.712,102.745,3183,0
1609761600,2021.01.04 12:00,102.745,102.803,102.714,102.800,3075,0
1609765200,2021.01.04 13:00,102.800,102.875,102.788,102.857,3340,0
1609768800,2021.01.04 14:00,102.857,102.937,102.849,102.911,3598,0
1609772400,2021.01.04 15:00,102.910,103.055,102.898,103.025,4772,0
1609776000,2021.01.04 16:00,103.026,103.079,103.000,103.052,5350,0
1609779600,2021.01.04 17:00,103.052,103.252,103.032,103.127,5480,0
1609783200,2021.01.04 18:00,103.127,103.206,103.102,103.185,5123,0
1609786800,2021.01.04 19:00,103.189,103.199,103.126,103.176,3532,0
1609790400,2021.01.04 20:00,103.175,103.179,103.127,103.131,2538,0
1609794000,2021.01.04 21:00,103.132,103.189,103.110,103.111,2149,0
1609797600,2021.01.04 22:00,103.110,103.194,103.105,103.144,2394,0
1609801200,2021.01.04 23:00,103.145,103.174,103.126,103.126,1420,0
1609804800,2021.01.05 00:00,103.100,103.123,103.059,103.118,386,1
1609808400,2021.01.05 01:00,103.122,103.171,103.105,103.135,2180,0
1609812000,2021.01.05 02:00,103.135,103.191,103.078,103.122,3131,0
1609815600,2021.01.05 03:00,103.122,103.160,103.103,103.126,3014,0
1609819200,2021.01.05 04:00,103.126,103.151,103.106,103.112,2452,0
1609822800,2021.01.05 05:00,103.112,103.126,103.021,103.034,2351,0
1609826400,2021.01.05 06:00,103.032,103.047,102.988,102.995,2353,0
1609830000,2021.01.05 07:00,102.994,102.994,102.933,102.953,2634,0
1609833600,2021.01.05 08:00,102.953,102.971,102.888,102.920,1931,0
1609837200,2021.01.05 09:00,102.920,102.996,102.878,102.951,3361,0
1609840800,2021.01.05 10:00,102.951,102.961,102.881,102.909,3799,0
1609844400,2021.01.05 11:00,102.906,102.921,102.814,102.837,3010,0
1609848000,2021.01.05 12:00,102.837,102.883,102.797,102.873,2683,0
1609851600,2021.01.05 13:00,102.873,102.886,102.796,102.818,3564,0
1609855200,2021.01.05 14:00,102.819,102.941,102.796,102.892,3343,0
1609858800,2021.01.05 15:00,102.891,102.930,102.858,102.917,3635,0
