# ExportBarsG8 v2.00 | exportado_em_local=2026.07.15 23:43:31
# server_time=2026.07.16 06:43:31 | gmt_time=2026.07.16 03:43:31 | offset_server_gmt_h=3.0
# broker=MetaQuotes Ltd. | conta_servidor=MetaQuotes-Demo
symbol,tf,rows,first_bar,last_bar,status,file
AUDCAD,M5,96753,2025.03.12 15:15,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\AUDCAD_M5.csv
AUDCAD,M15,49540,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\AUDCAD_M15.csv
AUDCAD,M30,68288,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\AUDCAD_M30.csv
AUDCAD,H1,34151,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\AUDCAD_H1.csv
AUDCAD,H4,8550,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\AUDCAD_H4.csv
AUDCAD,D1,1427,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\AUDCAD_D1.csv
AUDCAD,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\AUDCAD_W1.csv
AUDCAD,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\AUDCAD_MN1.csv
AUDCHF,M5,96751,2025.03.12 14:15,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\AUDCHF_M5.csv
AUDCHF,M15,49540,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\AUDCHF_M15.csv
AUDCHF,M30,68289,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\AUDCHF_M30.csv
AUDCHF,H1,34152,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\AUDCHF_H1.csv
AUDCHF,H4,8551,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\AUDCHF_H4.csv
AUDCHF,D1,1428,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\AUDCHF_D1.csv
AUDCHF,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\AUDCHF_W1.csv
AUDCHF,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\AUDCHF_MN1.csv
AUDJPY,M5,98088,2025.03.06 00:00,2026.06.30 23:55,ok_parcial_desde_2025.03.06,IFM_export\AUDJPY_M5.csv
AUDJPY,M15,49539,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\AUDJPY_M15.csv
AUDJPY,M30,68289,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\AUDJPY_M30.csv
AUDJPY,H1,34152,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\AUDJPY_H1.csv
AUDJPY,H4,8550,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\AUDJPY_H4.csv
AUDJPY,D1,1427,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\AUDJPY_D1.csv
AUDJPY,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\AUDJPY_W1.csv
AUDJPY,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\AUDJPY_MN1.csv
AUDNZD,M5,96750,2025.03.12 16:05,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\AUDNZD_M5.csv
AUDNZD,M15,49539,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\AUDNZD_M15.csv
AUDNZD,M30,68297,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\AUDNZD_M30.csv
AUDNZD,H1,34156,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\AUDNZD_H1.csv
AUDNZD,H4,8552,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\AUDNZD_H4.csv
AUDNZD,D1,1427,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\AUDNZD_D1.csv
AUDNZD,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\AUDNZD_W1.csv
AUDNZD,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\AUDNZD_MN1.csv
AUDUSD,M5,98094,2025.03.06 00:00,2026.06.30 23:55,ok_parcial_desde_2025.03.06,IFM_export\AUDUSD_M5.csv
AUDUSD,M15,49541,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\AUDUSD_M15.csv
AUDUSD,M30,68294,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\AUDUSD_M30.csv
AUDUSD,H1,34155,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\AUDUSD_H1.csv
AUDUSD,H4,8552,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\AUDUSD_H4.csv
AUDUSD,D1,1429,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\AUDUSD_D1.csv
AUDUSD,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\AUDUSD_W1.csv
AUDUSD,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\AUDUSD_MN1.csv
CADCHF,M5,96749,2025.03.12 15:45,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\CADCHF_M5.csv
CADCHF,M15,49540,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\CADCHF_M15.csv
CADCHF,M30,68293,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\CADCHF_M30.csv
CADCHF,H1,34154,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\CADCHF_H1.csv
CADCHF,H4,8551,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\CADCHF_H4.csv
CADCHF,D1,1428,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\CADCHF_D1.csv
CADCHF,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\CADCHF_W1.csv
CADCHF,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\CADCHF_MN1.csv
CADJPY,M5,96748,2025.03.12 16:00,2026.06.30 23:55,ok_parcial_desde_2025.03.12,IFM_export\CADJPY_M5.csv
CADJPY,M15,49540,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\CADJPY_M15.csv
CADJPY,M30,68293,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\CADJPY_M30.csv
CADJPY,H1,34154,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\CADJPY_H1.csv
CADJPY,H4,8551,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\CADJPY_H4.csv
CADJPY,D1,1428,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\CADJPY_D1.csv
CADJPY,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\CADJPY_W1.csv
CADJPY,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\CADJPY_MN1.csv
CHFJPY,M5,96748,2025.03.11 10:05,2026.06.30 23:55,ok_parcial_desde_2025.03.11,IFM_export\CHFJPY_M5.csv
CHFJPY,M15,49474,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\CHFJPY_M15.csv
CHFJPY,M30,68274,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\CHFJPY_M30.csv
