sample_time,currency,S_M30,S_H1,S_H4,S_D1,zS_H1,mtf,veto,rank_h1,zmov,zhist,candidata_h1
2025.09.26 23:00,USD,29.9257333802,29.3353584449,50.5972333383,76.5697525237,-1.5218768014,2,0,8,2.2014338326,1.7726803333,0
2025.09.26 23:00,EUR,64.5682137511,67.3252514995,49.6845580400,54.2140221195,1.2759426901,3,1,1,-0.0576087387,-0.7345744297,0
2025.09.26 23:00,GBP,47.8743522425,59.5133626024,70.9619009795,35.4987405133,0.7006250657,2,0,2,-0.9680302367,-1.2329650120,0
2025.09.26 23:00,JPY,31.9979327139,33.0121523748,38.3457598032,35.3168928974,-1.2510941038,4,0,7,-0.2334638592,0.2514432366,0
2025.09.26 23:00,CHF,57.2901001159,58.3870455495,52.1439897091,64.0543198915,0.6176758508,4,0,4,-0.4510792657,-0.3298957434,0
2025.09.26 23:00,CAD,47.8900039034,36.8255072847,43.8591129108,56.5749030684,-0.9702541794,3,0,6,0.9015195202,1.0735663630,0
2025.09.26 23:00,AUD,65.6318679451,59.0434166853,57.4158202558,54.0444195861,0.6660152329,4,0,3,-0.4025603628,-0.9819971757,0
2025.09.26 23:00,NZD,54.8217959478,56.5579055590,36.9916249634,23.7269494001,0.4829662450,2,0,5,-0.9902108897,-0.7103572415,0
2025.09.25 23:00,USD,59.9317039956,57.0150094943,81.8438061611,69.6366378164,0.7438180000,4,0,2,1.8924623429,1.8970943166,0
2025.09.25 23:00,EUR,54.0955990878,55.0106187425,53.6714705963,55.9792688685,0.5312877217,4,0,3,-0.3798610730,-1.1464135749,0
2025.09.25 23:00,GBP,41.0269267873,40.8108509463,34.3869585895,44.0963841914,-0.9743471448,4,0,7,-0.0583653730,-0.3079347608,0
2025.09.25 23:00,JPY,54.5322734345,53.2538007472,37.3663706858,31.6372303276,0.3450081666,2,0,4,-1.3400465531,-1.4322020019,0
2025.09.25 23:00,CHF,57.6599898065,62.9551559117,52.4707455653,67.2834436718,1.3736657332,4,1,1,-0.2988700800,-0.2039600825,0
2025.09.25 23:00,CAD,48.5283644401,51.2054644096,68.7181686664,44.2879452649,0.1278182342,2,0,5,-0.0310671607,0.1979789817,0
2025.09.25 23:00,AUD,52.4443906798,49.0364171821,50.4270532895,63.4023758211,-0.1021709586,1,0,6,1.1945198186,1.1877155903,0
2025.09.25 23:00,NZD,31.7807517684,30.7126825663,21.1154264462,23.6767140383,-2.0450797524,4,0,8,-0.9787719217,-0.8159373233,0
2025.09.24 23:00,USD,48.1827267336,58.1304978658,79.2386288548,47.6580410134,0.9275919168,2,0,2,-0.0258057791,0.1206127023,0
2025.09.24 23:00,EUR,60.6581875546,53.9045815603,50.5782574584,71.0487669918,0.4454657456,4,0,4,1.5096193513,0.3217574501,0
2025.09.24 23:00,GBP,50.2478064735,48.3445618695,57.0083568929,49.8600007047,-0.1888655595,2,0,5,1.1821283476,0.3978203668,0
2025.09.24 23:00,JPY,33.5306780455,31.0701361401,40.7913819917,47.2590549182,-2.1596695544,4,0,8,-0.1294687994,0.4455613136,0
2025.09.24 23:00,CHF,52.6892246167,57.6351840384,67.7947067731,68.9726727787,0.8710825726,4,0,3,0.3510715364,0.3409925513,0
2025.09.24 23:00,CAD,46.1193115622,48.1195251277,39.1980433301,37.1405761009,-0.2145395424,4,0,6,-1.4545015985,-0.4022141975,0
2025.09.24 23:00,AUD,54.9142023494,58.6934591548,45.8246581418,51.1623964098,0.9918190219,3,1,1,0.0047833817,-0.4581861503,0
2025.09.24 23:00,NZD,53.6578626644,44.1020542435,19.5659665573,26.8984910825,-0.6728846007,3,0,7,-1.4378264399,-0.5298967387,0
2025.09.23 23:00,USD,36.3134216741,34.5066882463,52.1716014231,46.0555158234,-1.5324297845,3,0,8,-0.4724811416,-0.3809489076,0
2025.09.23 23:00,EUR,63.8328969854,62.3366115755,66.4833194251,73.4879561735,1.2202033573,4,0,2,1.6022162983,1.4780650943,0
2025.09.23 23:00,GBP,60.4243501108,62.5649102732,54.0635387581,42.7994456082,1.2427841799,3,0,1,0.8637712734,0.8097082581,0
2025.09.23 23:00,JPY,41.6297516537,42.9124048694,50.9575377974,46.5862615958,-0.7010277758,3,0,6,-0.3552141794,0.0477999288,0
2025.09.23 23:00,CHF,55.7048460632,55.0769070637,62.8556295090,66.0390257634,0.5021523946,4,0,4,0.5547598013,0.8804302369,0
2025.09.23 23:00,CAD,40.6614756666,38.5147870246,35.4012134408,37.5714298009,-1.1359922736,4,1,7,-1.9621630656,-1.7180331690,0
2025.09.23 23:00,AUD,49.3796937904,57.1113185136,48.0728438936,53.1298572658,0.7033742347,2,0,3,-0.3919308249,-1.0942809616,0
2025.09.23 23:00,NZD,52.0535640558,46.9763724338,29.9943157530,34.3305079689,-0.2990643326,3,0,5,0.1610418384,0.3044206743,0
2025.09.22 23:00,USD,38.2097591806,38.1605576058,55.6884662432,57.1922423373,-0.9292194822,2,0,7,0.9282101005,0.7586870836,0
2025.09.22 23:00,EUR,58.0021622685,65.6705169333,69.0509243599,59.0890026040,1.2299016411,4,0,2,-0.1034223916,-0.4727963975,0
2025.09.22 23:00,GBP,45.5679875039,45.7716622093,48.8432007304,31.9006719089,-0.3318613936,4,0,5,-1.5728720969,-1.9052112587,0
2025.09.22 23:00,JPY,48.7246629289,49.5552792489,58.5016033246,49.9038530573,-0.0349039399,3,0,4,1.0469180410,1.8914582784,0
