tf,anchor_shift,bar_time,currency,vel,acel,zvel,zS,cesta
M30,1,2025.09.30 23:30,USD,3.6539619248,-23.5475146671,0.0937261116,0.3876263874,0.5714285714
M30,1,2025.09.30 23:30,EUR,-17.9665422689,-24.3088685539,-0.8932649853,-1.6909088119,1.0000000000
M30,1,2025.09.30 23:30,GBP,-3.3797758363,21.6384569518,-0.1126500352,-0.8100200117,0.5714285714
M30,1,2025.09.30 23:30,JPY,6.8885008774,13.9446579700,0.2586851067,1.0467527424,0.7142857143
M30,1,2025.09.30 23:30,CHF,15.9396675381,27.3368341294,0.5773521223,1.4702714420,0.8571428571
M30,1,2025.09.30 23:30,CAD,4.5119598084,-26.2152812754,0.1543922212,0.6705855161,0.7142857143
M30,1,2025.09.30 23:30,AUD,-9.7442675652,-0.7192087657,-0.4385654760,-0.3785687123,0.5714285714
M30,1,2025.09.30 23:30,NZD,0.0964955217,11.8709242109,0.0039384116,-0.6957385521,0.7142857143
M30,2,2025.09.30 23:00,USD,37.1824773215,37.8524599859,0.9098136933,1.4521747476,1.0000000000
M30,2,2025.09.30 23:00,EUR,-15.3537318664,-32.1935935145,-0.7638458551,-0.8017982046,0.8571428571
M30,2,2025.09.30 23:00,GBP,-25.2120245947,-42.8463516881,-0.8449704749,-1.4524320046,0.8571428571
M30,2,2025.09.30 23:00,JPY,8.3258326720,5.4307368862,0.3127179746,1.2396504857,0.8571428571
M30,2,2025.09.30 23:00,CHF,-17.3162016877,-32.0999870438,-0.6315319283,0.8375112551,0.7142857143
M30,2,2025.09.30 23:00,CAD,14.8508489855,43.7853493255,0.5075514311,0.0177381612,0.5714285714
M30,2,2025.09.30 23:00,AUD,-8.4110292130,7.8700033456,-0.3130521479,-0.8260787931,0.7142857143
M30,2,2025.09.30 23:00,NZD,5.9338283827,12.2013827031,0.2394260507,-0.4667656473,0.7142857143
M30,3,2025.09.30 22:30,USD,15.1004973255,25.5562902731,0.3806167319,-1.3888629023,1.0000000000
M30,3,2025.09.30 22:30,EUR,-18.2076177582,-52.4393694276,-0.9087403788,-0.8534197688,0.7142857143
M30,3,2025.09.30 22:30,GBP,-3.3126615212,2.1663884354,-0.1115637346,-0.4065048503,0.5714285714
M30,3,2025.09.30 22:30,JPY,-14.3046923854,-17.6207951306,-0.5633642704,-0.5703585375,0.7142857143
M30,3,2025.09.30 22:30,CHF,-17.9188640925,-55.4918275965,-0.6520219525,1.7133637788,1.0000000000
M30,3,2025.09.30 22:30,CAD,32.8604241542,50.5882777278,1.1341889513,1.3502025651,0.8571428571
M30,3,2025.09.30 22:30,AUD,0.1716807821,20.8065684087,0.0064857348,0.2795503010,0.7142857143
M30,3,2025.09.30 22:30,NZD,5.6112334953,26.4344673098,0.2267149666,-0.1239705860,0.5714285714
M30,4,2025.09.30 22:00,USD,10.7716968848,39.5281352220,0.2726825693,0.2447464569,0.7142857143
M30,4,2025.09.30 22:00,EUR,-18.0373470496,-39.4081960289,-0.9030755690,-2.2372996123,1.0000000000
M30,4,2025.09.30 22:00,GBP,6.1888120757,-11.5771185990,0.2109468331,1.3524155689,0.8571428571
M30,4,2025.09.30 22:00,JPY,-7.1757658618,0.6415265104,-0.2689109997,0.6448352241,0.7142857143
M30,4,2025.09.30 22:00,CHF,-22.3858702723,-60.5674588074,-0.8266574502,-0.0103310939,0.8571428571
