tf,anchor_shift,bar_time,pair,ifm_light
M30,1,2025.09.26 23:00,AUDCAD,42.9972826010
M30,1,2025.09.26 23:00,AUDCHF,29.5033053754
M30,1,2025.09.26 23:00,AUDJPY,42.7660775469
M30,1,2025.09.26 23:00,AUDNZD,34.2957006565
M30,1,2025.09.26 23:00,AUDUSD,52.7907376642
M30,1,2025.09.26 23:00,CADCHF,20.2353044954
M30,1,2025.09.26 23:00,CADJPY,26.5176284941
M30,1,2025.09.26 23:00,CHFJPY,42.6761759417
M30,1,2025.09.26 23:00,EURAUD,29.1149245083
M30,1,2025.09.26 23:00,EURCAD,45.7591165479
M30,1,2025.09.26 23:00,EURCHF,39.9735060246
M30,1,2025.09.26 23:00,EURGBP,34.0535670697
M30,1,2025.09.26 23:00,EURJPY,57.7053429953
M30,1,2025.09.26 23:00,EURNZD,30.3274481839
M30,1,2025.09.26 23:00,EURUSD,55.0867509235
M30,1,2025.09.26 23:00,GBPAUD,34.8709597510
M30,1,2025.09.26 23:00,GBPCAD,42.5733258518
M30,1,2025.09.26 23:00,GBPCHF,33.6051096604
M30,1,2025.09.26 23:00,GBPJPY,41.4945513055
M30,1,2025.09.26 23:00,GBPNZD,35.0348141680
M30,1,2025.09.26 23:00,GBPUSD,51.2209367622
M30,1,2025.09.26 23:00,NZDCAD,56.5528286496
M30,1,2025.09.26 23:00,NZDCHF,58.4690054317
M30,1,2025.09.26 23:00,NZDJPY,73.2684648960
M30,1,2025.09.26 23:00,NZDUSD,69.4984093178
M30,1,2025.09.26 23:00,USDCAD,34.4115712821
M30,1,2025.09.26 23:00,USDCHF,44.6527634571
M30,1,2025.09.26 23:00,USDJPY,48.8737626833
M30,2,2025.09.26 22:30,AUDCAD,66.5452675081
M30,2,2025.09.26 22:30,AUDCHF,60.9160013940
M30,2,2025.09.26 22:30,AUDJPY,74.6807877802
M30,2,2025.09.26 22:30,AUDNZD,62.0999754787
M30,2,2025.09.26 22:30,AUDUSD,73.8498457928
M30,2,2025.09.26 22:30,CADCHF,43.4037540905
M30,2,2025.09.26 22:30,CADJPY,57.5135497935
M30,2,2025.09.26 22:30,CHFJPY,76.5447907080
M30,2,2025.09.26 22:30,EURAUD,40.9091275614
M30,2,2025.09.26 22:30,EURCAD,69.6347480859
M30,2,2025.09.26 22:30,EURCHF,61.6492693614
M30,2,2025.09.26 22:30,EURGBP,60.6260317356
M30,2,2025.09.26 22:30,EURJPY,81.0938439518
M30,2,2025.09.26 22:30,EURNZD,61.6594788270
M30,2,2025.09.26 22:30,EURUSD,76.4049967346
M30,2,2025.09.26 22:30,GBPAUD,37.7596747768
M30,2,2025.09.26 22:30,GBPCAD,45.0696469064
M30,2,2025.09.26 22:30,GBPCHF,40.8149764014
M30,2,2025.09.26 22:30,GBPJPY,65.7215582603
M30,2,2025.09.26 22:30,GBPNZD,40.8332633367
M30,2,2025.09.26 22:30,GBPUSD,65.5473777517
M30,2,2025.09.26 22:30,NZDCAD,56.6562309507
