tf,anchor_shift,bar_time,currency,S
M30,1,2025.09.26 23:00,USD,42.7630375364
M30,1,2025.09.26 23:00,EUR,41.7172366076
M30,1,2025.09.26 23:00,GBP,43.5351614899
M30,1,2025.09.26 23:00,JPY,52.3854280196
M30,1,2025.09.26 23:00,CHF,59.4624544996
M30,1,2025.09.26 23:00,CAD,46.3512582939
M30,1,2025.09.26 23:00,AUD,48.3381742264
M30,1,2025.09.26 23:00,NZD,65.4472493267
M30,2,2025.09.26 22:30,USD,29.9257333802
M30,2,2025.09.26 22:30,EUR,64.5682137511
M30,2,2025.09.26 22:30,GBP,47.8743522425
M30,2,2025.09.26 22:30,JPY,31.9979327139
M30,2,2025.09.26 22:30,CHF,57.2901001159
M30,2,2025.09.26 22:30,CAD,47.8900039034
M30,2,2025.09.26 22:30,AUD,65.6318679451
M30,2,2025.09.26 22:30,NZD,54.8217959478
M30,3,2025.09.26 22:00,USD,47.8610732905
M30,3,2025.09.26 22:00,EUR,59.1516353351
M30,3,2025.09.26 22:00,GBP,58.9214334438
M30,3,2025.09.26 22:00,JPY,35.9204834668
M30,3,2025.09.26 22:00,CHF,47.0700311832
M30,3,2025.09.26 22:00,CAD,36.5295666628
M30,3,2025.09.26 22:00,AUD,54.0516993112
M30,3,2025.09.26 22:00,NZD,60.4940773067
M30,4,2025.09.26 21:30,USD,24.5905384674
M30,4,2025.09.26 21:30,EUR,52.8324316790
M30,4,2025.09.26 21:30,GBP,61.4491601357
M30,4,2025.09.26 21:30,JPY,60.2439164395
M30,4,2025.09.26 21:30,CHF,62.6370588284
M30,4,2025.09.26 21:30,CAD,30.1205894186
M30,4,2025.09.26 21:30,AUD,54.1755306491
M30,4,2025.09.26 21:30,NZD,53.9507743824
M30,5,2025.09.26 21:00,USD,38.8643464679
M30,5,2025.09.26 21:00,EUR,59.5257964269
M30,5,2025.09.26 21:00,GBP,57.6088287577
M30,5,2025.09.26 21:00,JPY,35.3412231106
M30,5,2025.09.26 21:00,CHF,45.8859422434
M30,5,2025.09.26 21:00,CAD,48.1726096009
M30,5,2025.09.26 21:00,AUD,54.8148272939
M30,5,2025.09.26 21:00,NZD,59.7864260987
M30,6,2025.09.26 20:30,USD,31.1547409103
M30,6,2025.09.26 20:30,EUR,62.3004011568
M30,6,2025.09.26 20:30,GBP,61.8732105904
M30,6,2025.09.26 20:30,JPY,45.9221310550
M30,6,2025.09.26 20:30,CHF,58.1738015580
M30,6,2025.09.26 20:30,CAD,40.7616252658
M30,6,2025.09.26 20:30,AUD,52.2422715670
M30,6,2025.09.26 20:30,NZD,47.5718178965
M30,7,2025.09.26 20:00,USD,27.3369069181
M30,7,2025.09.26 20:00,EUR,54.9522740893
M30,7,2025.09.26 20:00,GBP,55.6445562412
M30,7,2025.09.26 20:00,JPY,43.1889068400
M30,7,2025.09.26 20:00,CHF,60.3701418473
M30,7,2025.09.26 20:00,CAD,36.0233227457
M30,7,2025.09.26 20:00,AUD,67.7838941899
M30,7,2025.09.26 20:00,NZD,54.6999971286
M30,8,2025.09.26 19:30,USD,34.6242309238
M30,8,2025.09.26 19:30,EUR,48.6153499447
M30,8,2025.09.26 19:30,GBP,48.8342723609
M30,8,2025.09.26 19:30,JPY,45.9489522638
M30,8,2025.09.26 19:30,CHF,39.1958206659
M30,8,2025.09.26 19:30,CAD,52.9159250808
M30,8,2025.09.26 19:30,AUD,72.6685577615
M30,8,2025.09.26 19:30,NZD,57.1968909985
M30,9,2025.09.26 19:00,USD,29.3870503316
M30,9,2025.09.26 19:00,EUR,44.2854911227
M30,9,2025.09.26 19:00,GBP,69.6949093854
M30,9,2025.09.26 19:00,JPY,39.8201525779
M30,9,2025.09.26 19:00,CHF,53.0781823949
M30,9,2025.09.26 19:00,CAD,30.5080685657
M30,9,2025.09.26 19:00,AUD,72.0283576208
M30,9,2025.09.26 19:00,NZD,61.1977880011
M30,10,2025.09.26 18:30,USD,42.7100104163
M30,10,2025.09.26 18:30,EUR,45.9878407018
M30,10,2025.09.26 18:30,GBP,64.9164883861
M30,10,2025.09.26 18:30,JPY,57.3555146017
M30,10,2025.09.26 18:30,CHF,50.9771870856
M30,10,2025.09.26 18:30,CAD,36.7203200424
M30,10,2025.09.26 18:30,AUD,66.2264362033
M30,10,2025.09.26 18:30,NZD,35.1062025628
M30,11,2025.09.26 18:00,USD,27.5720548543
M30,11,2025.09.26 18:00,EUR,49.7127476856
M30,11,2025.09.26 18:00,GBP,79.0588910945
M30,11,2025.09.26 18:00,JPY,61.3176208293
M30,11,2025.09.26 18:00,CHF,46.0097064505
M30,11,2025.09.26 18:00,CAD,19.9284130716
M30,11,2025.09.26 18:00,AUD,61.7000142132
M30,11,2025.09.26 18:00,NZD,54.7005518010
M30,12,2025.09.26 17:30,USD,28.8315013746
M30,12,2025.09.26 17:30,EUR,52.9262088255
M30,12,2025.09.26 17:30,GBP,76.2612376625
M30,12,2025.09.26 17:30,JPY,69.5160467460
M30,12,2025.09.26 17:30,CHF,39.3896061886
M30,12,2025.09.26 17:30,CAD,25.9657229059
M30,12,2025.09.26 17:30,AUD,61.1969732373
M30,12,2025.09.26 17:30,NZD,45.9127030596
M30,13,2025.09.26 17:00,USD,29.9187885247
M30,13,2025.09.26 17:00,EUR,60.9423320688
M30,13,2025.09.26 17:00,GBP,82.0421389611
M30,13,2025.09.26 17:00,JPY,55.5546508503
M30,13,2025.09.26 17:00,CHF,61.2685267372
M30,13,2025.09.26 17:00,CAD,26.2130905317
M30,13,2025.09.26 17:00,AUD,45.1876664920
M30,13,2025.09.26 17:00,NZD,38.8728058342
M30,14,2025.09.26 16:30,USD,39.3097010118
M30,14,2025.09.26 16:30,EUR,46.5079058433
M30,14,2025.09.26 16:30,GBP,71.2392366550
M30,14,2025.09.26 16:30,JPY,27.6494560202
M30,14,2025.09.26 16:30,CHF,72.9554640101
M30,14,2025.09.26 16:30,CAD,42.9693600919
M30,14,2025.09.26 16:30,AUD,66.0218846488
M30,14,2025.09.26 16:30,NZD,33.3469917190
M30,15,2025.09.26 16:00,USD,40.7069592367
M30,15,2025.09.26 16:00,EUR,54.7236044884
M30,15,2025.09.26 16:00,GBP,79.5661055705
M30,15,2025.09.26 16:00,JPY,47.5143357221
M30,15,2025.09.26 16:00,CHF,52.8161337728
M30,15,2025.09.26 16:00,CAD,41.7226265358
M30,15,2025.09.26 16:00,AUD,44.6001127095
M30,15,2025.09.26 16:00,NZD,38.3501219642
M30,16,2025.09.26 15:30,USD,29.4498856810
M30,16,2025.09.26 15:30,EUR,40.5007875222
M30,16,2025.09.26 15:30,GBP,70.1561665376
M30,16,2025.09.26 15:30,JPY,56.7879352418
M30,16,2025.09.26 15:30,CHF,46.3896549334
M30,16,2025.09.26 15:30,CAD,56.2978265498
M30,16,2025.09.26 15:30,AUD,59.0666112341
M30,16,2025.09.26 15:30,NZD,41.3511323003
M30,17,2025.09.26 15:00,USD,35.3255258604
M30,17,2025.09.26 15:00,EUR,51.2498194110
M30,17,2025.09.26 15:00,GBP,78.0957108939
M30,17,2025.09.26 15:00,JPY,56.3240444331
M30,17,2025.09.26 15:00,CHF,59.7003002612
M30,17,2025.09.26 15:00,CAD,34.6614837318
M30,17,2025.09.26 15:00,AUD,42.2132459245
M30,17,2025.09.26 15:00,NZD,42.4298694842
M30,18,2025.09.26 14:30,USD,48.5955509744
M30,18,2025.09.26 14:30,EUR,38.3114435561
M30,18,2025.09.26 14:30,GBP,50.6675313561
M30,18,2025.09.26 14:30,JPY,59.2326985547
M30,18,2025.09.26 14:30,CHF,60.8482670901
M30,18,2025.09.26 14:30,CAD,59.1197866699
M30,18,2025.09.26 14:30,AUD,43.7666120691
M30,18,2025.09.26 14:30,NZD,39.4581097297
M30,19,2025.09.26 14:00,USD,60.5461739171
M30,19,2025.09.26 14:00,EUR,32.3314954375
M30,19,2025.09.26 14:00,GBP,54.2193078806
M30,19,2025.09.26 14:00,JPY,68.2318641245
M30,19,2025.09.26 14:00,CHF,51.4190262209
M30,19,2025.09.26 14:00,CAD,44.5040043923
M30,19,2025.09.26 14:00,AUD,41.9474540116
M30,19,2025.09.26 14:00,NZD,46.8006740154
M30,20,2025.09.26 13:30,USD,76.5298004032
M30,20,2025.09.26 13:30,EUR,36.8502729138
M30,20,2025.09.26 13:30,GBP,63.3835296508
M30,20,2025.09.26 13:30,JPY,50.5911458407
M30,20,2025.09.26 13:30,CHF,40.6748131354
M30,20,2025.09.26 13:30,CAD,56.9481887526
M30,20,2025.09.26 13:30,AUD,30.8874774818
M30,20,2025.09.26 13:30,NZD,44.1347718217
M30,21,2025.09.26 13:00,USD,78.5666091085
M30,21,2025.09.26 13:00,EUR,58.9829903136
M30,21,2025.09.26 13:00,GBP,52.9976131136
M30,21,2025.09.26 13:00,JPY,44.6476269958
M30,21,2025.09.26 13:00,CHF,58.6855042507
M30,21,2025.09.26 13:00,CAD,45.2060549603
M30,21,2025.09.26 13:00,AUD,31.2920644249
M30,21,2025.09.26 13:00,NZD,29.6215368325
M30,22,2025.09.26 12:30,USD,66.7656060846
M30,22,2025.09.26 12:30,EUR,66.8237233460
M30,22,2025.09.26 12:30,GBP,54.6261090490
M30,22,2025.09.26 12:30,JPY,54.3513267695
M30,22,2025.09.26 12:30,CHF,53.8903939236
M30,22,2025.09.26 12:30,CAD,39.6701901963
M30,22,2025.09.26 12:30,AUD,25.3866414414
M30,22,2025.09.26 12:30,NZD,38.4860091897
M30,23,2025.09.26 12:00,USD,59.0448942613
M30,23,2025.09.26 12:00,EUR,74.7205996540
M30,23,2025.09.26 12:00,GBP,58.9184564146
M30,23,2025.09.26 12:00,JPY,51.7237553211
M30,23,2025.09.26 12:00,CHF,43.8317518238
M30,23,2025.09.26 12:00,CAD,47.7000315418
M30,23,2025.09.26 12:00,AUD,30.2238828489
M30,23,2025.09.26 12:00,NZD,33.8366281345
