tf,shift,bar_time,pair,ifm_light
M30,1,2026.07.10 23:00,AUDCAD,76.6666666667
M30,1,2026.07.10 23:00,AUDCHF,76.6666666667
M30,1,2026.07.10 23:00,AUDJPY,53.3333333333
M30,1,2026.07.10 23:00,AUDNZD,46.6666666667
M30,1,2026.07.10 23:00,AUDUSD,60.0000000000
M30,1,2026.07.10 23:00,CADCHF,53.3333333333
M30,1,2026.07.10 23:00,CADJPY,26.6666666667
M30,1,2026.07.10 23:00,CHFJPY,33.3333333333
M30,1,2026.07.10 23:00,EURAUD,33.3333333333
M30,1,2026.07.10 23:00,EURCAD,46.6666666667
M30,1,2026.07.10 23:00,EURCHF,76.6666666667
M30,1,2026.07.10 23:00,EURGBP,46.6666666667
M30,1,2026.07.10 23:00,EURJPY,26.6666666667
M30,1,2026.07.10 23:00,EURNZD,26.6666666667
M30,1,2026.07.10 23:00,EURUSD,33.3333333333
M30,1,2026.07.10 23:00,GBPAUD,46.6666666667
M30,1,2026.07.10 23:00,GBPCAD,46.6666666667
M30,1,2026.07.10 23:00,GBPCHF,66.6666666667
M30,1,2026.07.10 23:00,GBPJPY,33.3333333333
M30,1,2026.07.10 23:00,GBPNZD,26.6666666667
M30,1,2026.07.10 23:00,GBPUSD,40.0000000000
M30,1,2026.07.10 23:00,NZDCAD,53.3333333333
M30,1,2026.07.10 23:00,NZDCHF,83.3333333333
M30,1,2026.07.10 23:00,NZDJPY,46.6666666667
M30,1,2026.07.10 23:00,NZDUSD,46.6666666667
M30,1,2026.07.10 23:00,USDCAD,66.6666666667
M30,1,2026.07.10 23:00,USDCHF,76.6666666667
M30,1,2026.07.10 23:00,USDJPY,53.3333333333
M30,41,2026.07.10 03:00,AUDCAD,23.3333333333
M30,41,2026.07.10 03:00,AUDCHF,30.0000000000
M30,41,2026.07.10 03:00,AUDJPY,23.3333333333
M30,41,2026.07.10 03:00,AUDNZD,13.3333333333
M30,41,2026.07.10 03:00,AUDUSD,30.0000000000
M30,41,2026.07.10 03:00,CADCHF,23.3333333333
M30,41,2026.07.10 03:00,CADJPY,63.3333333333
M30,41,2026.07.10 03:00,CHFJPY,73.3333333333
M30,41,2026.07.10 03:00,EURAUD,70.0000000000
M30,41,2026.07.10 03:00,EURCAD,73.3333333333
M30,41,2026.07.10 03:00,EURCHF,73.3333333333
M30,41,2026.07.10 03:00,EURGBP,53.3333333333
M30,41,2026.07.10 03:00,EURJPY,70.0000000000
M30,41,2026.07.10 03:00,EURNZD,36.6666666667
M30,41,2026.07.10 03:00,EURUSD,23.3333333333
M30,41,2026.07.10 03:00,GBPAUD,80.0000000000
M30,41,2026.07.10 03:00,GBPCAD,63.3333333333
M30,41,2026.07.10 03:00,GBPCHF,46.6666666667
M30,41,2026.07.10 03:00,GBPJPY,63.3333333333
M30,41,2026.07.10 03:00,GBPNZD,33.3333333333
M30,41,2026.07.10 03:00,GBPUSD,43.3333333333
M30,41,2026.07.10 03:00,NZDCAD,73.3333333333
M30,41,2026.07.10 03:00,NZDCHF,60.0000000000
M30,41,2026.07.10 03:00,NZDJPY,73.3333333333
M30,41,2026.07.10 03:00,NZDUSD,50.0000000000
M30,41,2026.07.10 03:00,USDCAD,70.0000000000
M30,41,2026.07.10 03:00,USDCHF,70.0000000000
M30,41,2026.07.10 03:00,USDJPY,76.6666666667
M30,81,2026.07.09 07:00,AUDCAD,50.0000000000
M30,81,2026.07.09 07:00,AUDCHF,30.0000000000
M30,81,2026.07.09 07:00,AUDJPY,30.0000000000
M30,81,2026.07.09 07:00,AUDNZD,33.3333333333
M30,81,2026.07.09 07:00,AUDUSD,56.6666666667
M30,81,2026.07.09 07:00,CADCHF,23.3333333333
M30,81,2026.07.09 07:00,CADJPY,16.6666666667
M30,81,2026.07.09 07:00,CHFJPY,46.6666666667
M30,81,2026.07.09 07:00,EURAUD,70.0000000000
M30,81,2026.07.09 07:00,EURCAD,56.6666666667
M30,81,2026.07.09 07:00,EURCHF,26.6666666667
M30,81,2026.07.09 07:00,EURGBP,46.6666666667
M30,81,2026.07.09 07:00,EURJPY,16.6666666667
M30,81,2026.07.09 07:00,EURNZD,46.6666666667
M30,81,2026.07.09 07:00,EURUSD,53.3333333333
M30,81,2026.07.09 07:00,GBPAUD,73.3333333333
M30,81,2026.07.09 07:00,GBPCAD,66.6666666667
M30,81,2026.07.09 07:00,GBPCHF,43.3333333333
M30,81,2026.07.09 07:00,GBPJPY,23.3333333333
M30,81,2026.07.09 07:00,GBPNZD,53.3333333333
M30,81,2026.07.09 07:00,GBPUSD,53.3333333333
