tf,bar_time,currency,S,vel3,vel6,vel12,acel6,pers12,efic12
M30,2026.07.10 22:30,USD,63.8095238095,-2.8571428571,13.3333333333,-1.9047619048,28.5714285714,0.4166666667,0.0152671756
M30,2026.07.10 22:30,EUR,48.5714285714,5.7142857143,9.5238095238,9.0476190476,10.0000000000,0.6666666667,0.1775700935
M30,2026.07.10 22:30,GBP,50.0000000000,7.6190476190,16.6666666667,17.6190476190,15.7142857143,0.5833333333,0.1978609626
M30,2026.07.10 22:30,JPY,41.9047619048,-8.5714285714,-10.0000000000,-21.4285714286,1.4285714286,0.5833333333,0.1764705882
M30,2026.07.10 22:30,CHF,36.1904761905,14.2857142857,10.0000000000,4.2857142857,15.7142857143,0.5833333333,0.0573248408
M30,2026.07.10 22:30,CAD,41.9047619048,-16.1904761905,-39.5238095238,-10.9523809524,-68.0952380952,0.6666666667,0.1022222222
M30,2026.07.10 22:30,AUD,71.4285714286,0.0000000000,8.0952380952,3.3333333333,12.8571428571,0.4166666667,0.0322580645
M30,2026.07.10 22:30,NZD,46.1904761905,0.0000000000,-8.0952380952,0.0000000000,-16.1904761905,0.5000000000,0.0000000000
H1,2026.07.10 22:00,USD,66.6666666667,21.9047619048,3.3333333333,13.8095238095,-7.1428571429,0.5000000000,0.1046931408
H1,2026.07.10 22:00,EUR,49.5238095238,12.8571428571,7.1428571429,1.4285714286,12.8571428571,0.5000000000,0.0215827338
H1,2026.07.10 22:00,GBP,47.1428571429,18.0952380952,12.8571428571,-2.3809523810,28.0952380952,0.5000000000,0.0177935943
H1,2026.07.10 22:00,JPY,48.0952380952,-17.6190476190,-25.2380952381,-6.1904761905,-44.2857142857,0.5833333333,0.0410094637
H1,2026.07.10 22:00,CHF,29.5238095238,3.8095238095,8.5714285714,-22.8571428571,40.0000000000,0.5000000000,0.2474226804
H1,2026.07.10 22:00,CAD,44.2857142857,-32.8571428571,-8.0952380952,-0.9523809524,-15.2380952381,0.5000000000,0.0066225166
H1,2026.07.10 22:00,AUD,68.5714285714,0.4761904762,0.9523809524,27.6190476190,-25.7142857143,0.7500000000,0.3815789474
H1,2026.07.10 22:00,NZD,46.1904761905,-6.6666666667,0.4761904762,-10.4761904762,11.4285714286,0.5000000000,0.1047619048
H4,2026.07.10 16:00,USD,35.2380952381,14.7619047619,7.6190476190,-18.0952380952,33.3333333333,0.4166666667,0.1250000000
H4,2026.07.10 16:00,EUR,33.8095238095,0.4761904762,-15.2380952381,-18.0952380952,-12.3809523810,0.5833333333,0.3877551020
H4,2026.07.10 16:00,GBP,34.2857142857,-21.4285714286,-22.8571428571,-43.3333333333,-2.3809523810,0.6363636364,0.2668621701
H4,2026.07.10 16:00,JPY,71.4285714286,0.4761904762,37.6190476190,39.5238095238,35.7142857143,0.6666666667,0.3387755102
H4,2026.07.10 16:00,CHF,28.0952380952,-30.9523809524,-22.3809523810,4.2857142857,-49.0476190476,0.4166666667,0.0422535211
H4,2026.07.10 16:00,CAD,70.4761904762,32.3809523810,19.0476190476,-0.4761904762,38.5714285714,0.5000000000,0.0037174721
H4,2026.07.10 16:00,AUD,62.8571428571,13.8095238095,16.1904761905,21.9047619048,10.4761904762,0.6363636364,0.2804878049
H4,2026.07.10 16:00,NZD,63.8095238095,-9.5238095238,-20.0000000000,14.2857142857,-54.2857142857,0.5000000000,0.1456310680
D1,2026.07.09 00:00,USD,48.0952380952,-10.0000000000,-18.0952380952,-31.9047619048,-4.2857142857,0.5000000000,0.3175355450
D1,2026.07.09 00:00,EUR,47.1428571429,-8.0952380952,3.3333333333,0.9523809524,5.7142857143,0.3636363636,0.0158730159
D1,2026.07.09 00:00,GBP,70.9523809524,-7.1428571429,-5.7142857143,13.8095238095,-25.2380952381,0.5000000000,0.1387559809
D1,2026.07.09 00:00,JPY,30.0000000000,-0.9523809524,-14.2857142857,-43.8095238095,15.2380952381,0.5833333333,0.2754491018
D1,2026.07.09 00:00,CHF,44.2857142857,-1.4285714286,-0.9523809524,-3.3333333333,1.4285714286,0.5833333333,0.0374331551
D1,2026.07.09 00:00,CAD,47.6190476190,12.8571428571,0.4761904762,2.3809523810,-1.4285714286,0.6666666667,0.0220264317
D1,2026.07.09 00:00,AUD,40.0000000000,-19.5238095238,8.0952380952,10.4761904762,5.7142857143,0.5833333333,0.0791366906
D1,2026.07.09 00:00,NZD,71.9047619048,34.2857142857,27.1428571429,51.4285714286,2.8571428571,0.6666666667,0.4462809917
M30,2026.07.03 22:30,USD,74.2857142857,23.3333333333,14.2857142857,-0.4761904762,29.0476190476,0.5833333333,0.0035842294
M30,2026.07.03 22:30,EUR,45.7142857143,12.8571428571,9.0476190476,2.3809523810,15.7142857143,0.5000000000,0.0199203187
M30,2026.07.03 22:30,GBP,59.5238095238,-5.2380952381,-2.8571428571,15.2380952381,-20.9523809524,0.5000000000,0.2133333333
M30,2026.07.03 22:30,JPY,48.5714285714,20.9523809524,23.8095238095,7.1428571429,40.4761904762,0.5000000000,0.0622406639
M30,2026.07.03 22:30,CHF,29.5238095238,-16.1904761905,-9.0476190476,-11.9047619048,-6.1904761905,0.6666666667,0.1131221719
M30,2026.07.03 22:30,CAD,52.3809523810,-12.8571428571,5.2380952381,2.3809523810,8.0952380952,0.4166666667,0.0193050193
M30,2026.07.03 22:30,AUD,51.4285714286,-10.4761904762,-17.6190476190,-4.2857142857,-30.9523809524,0.4166666667,0.0471204188
M30,2026.07.03 22:30,NZD,38.5714285714,-12.3809523810,-22.8571428571,-10.4761904762,-35.2380952381,0.6666666667,0.0827067669
H1,2026.07.03 22:00,USD,71.9047619048,14.7619047619,13.3333333333,39.5238095238,-12.8571428571,0.5833333333,0.3971291866
H1,2026.07.03 22:00,EUR,45.7142857143,0.0000000000,-5.2380952381,-1.4285714286,-9.0476190476,0.5000000000,0.0127659574
H1,2026.07.03 22:00,GBP,57.6190476190,-0.9523809524,12.8571428571,9.0476190476,16.6666666667,0.4545454545,0.1292517007
H1,2026.07.03 22:00,JPY,40.9523809524,15.2380952381,6.6666666667,-26.1904761905,39.5238095238,0.3636363636,0.1957295374
H1,2026.07.03 22:00,CHF,32.8571428571,-4.7619047619,-6.6666666667,-11.9047619048,-1.4285714286,0.5833333333,0.1243781095
H1,2026.07.03 22:00,CAD,44.2857142857,8.0952380952,-1.4285714286,19.5238095238,-22.3809523810,0.4166666667,0.1659919028
H1,2026.07.03 22:00,AUD,63.3333333333,-10.4761904762,-0.4761904762,-2.8571428571,1.9047619048,0.5000000000,0.0576923077
