tf,tipo,par,inicio,fim,n_pares
M5,fechamento_global,*,2024-07-02 12:05:00,2024-07-03 00:00:00,28
M5,fechamento_global,*,2024-12-24 23:40:00,2024-12-26 00:10:00,28
M5,fechamento_global,*,2024-12-31 23:55:00,2025-01-02 00:00:00,28
M5,fechamento_global,*,2025-01-07 04:00:00,2025-01-07 07:00:00,28
M5,fechamento_global,*,2025-01-07 10:55:00,2025-01-07 11:55:00,28
M5,fechamento_global,*,2025-05-26 16:05:00,2025-05-26 17:40:00,28
M5,fechamento_global,*,2025-07-03 03:00:00,2025-07-03 12:10:00,28
M5,fechamento_global,*,2025-07-04 04:00:00,2025-07-04 10:25:00,28
M5,fechamento_global,*,2025-07-04 14:25:00,2025-07-04 14:50:00,28
M5,fechamento_global,*,2025-09-22 16:20:00,2025-09-22 16:55:00,28
M5,fechamento_global,*,2025-10-23 20:05:00,2025-10-23 22:05:00,28
M5,fechamento_global,*,2025-12-24 23:55:00,2025-12-26 00:00:00,28
M5,fechamento_global,*,2025-12-31 23:55:00,2026-01-02 00:00:00,28
M5,fechamento_global,*,2026-02-26 21:45:00,2026-02-27 03:15:00,28
M5,especifico_par,GBPNZD,2024-08-14 05:00:00,2024-08-14 23:40:00,1
M5,especifico_par,GBPNZD,2025-04-03 00:05:00,2025-04-03 19:05:00,1
M5,especifico_par,CHFJPY,2025-04-09 00:05:00,2025-04-09 00:30:00,1
M5,especifico_par,CHFJPY,2025-04-14 00:30:00,2025-04-14 00:55:00,1
M5,especifico_par,CHFJPY,2025-04-21 00:05:00,2025-04-21 01:00:00,1
M5,especifico_par,CHFJPY,2025-04-22 00:20:00,2025-04-22 00:45:00,1
M5,especifico_par,CHFJPY,2025-04-24 00:05:00,2025-04-24 00:40:00,1
M5,especifico_par,CHFJPY,2025-04-28 00:05:00,2025-04-28 01:00:00,1
M5,especifico_par,CHFJPY,2025-05-05 00:05:00,2025-05-05 01:00:00,1
M5,especifico_par,CHFJPY,2025-05-19 00:00:00,2025-05-19 01:00:00,1
M5,especifico_par,CHFJPY,2025-05-26 00:05:00,2025-05-26 01:00:00,1
M5,especifico_par,EURUSD,2025-05-27 10:05:00,2025-05-27 10:35:00,25
M5,especifico_par,EURGBP,2025-05-27 10:05:00,2025-05-27 10:35:00,25
M5,especifico_par,EURJPY,2025-05-27 10:05:00,2025-05-27 10:35:00,25
M5,especifico_par,EURCHF,2025-05-27 10:05:00,2025-05-27 10:35:00,25
M5,especifico_par,EURCAD,2025-05-27 10:05:00,2025-05-27 10:35:00,25
M5,especifico_par,EURAUD,2025-05-27 10:05:00,2025-05-27 10:35:00,25
M5,especifico_par,EURNZD,2025-05-27 10:05:00,2025-05-27 10:35:00,25
M5,especifico_par,GBPUSD,2025-05-27 10:05:00,2025-05-27 10:35:00,25
