tf,metrica,limiar,split,n_eventos,deteccao_pct,lat_mediana_min,lat_ic95,consumido_mediano_pct,captura_mediana_pct,precisao_pct,falsos_por_semana
M5,zvel,1.0,treino,41,90.2,90.0,"[42,140]",13.0,87.0,1.3,90.32
M5,zvel,1.0,validacao,39,92.3,95.0,"[30,210]",7.9,92.1,0.9,86.53
M5,zvel,1.5,treino,41,36.6,40.0,"[10,280]",9.9,90.1,1.9,10.72
M5,zvel,1.5,validacao,39,41.0,285.0,"[235,400]",15.0,85.0,1.0,10.04
M5,zvel,2.0,treino,41,4.9,668.0,—,8.0,92.0,1.5,0.62
M5,zvel,2.0,validacao,39,2.6,305.0,—,13.6,86.4,0.6,0.5
M5,zvel,2.5,treino,41,2.4,225.0,—,2.7,97.3,14.3,0.03
M5,zvel,2.5,validacao,39,0.0,,—,,,0.0,0.02
M5,zvel,3.0,treino,41,0.0,,—,,,0.0,0.0
M5,zvel,3.0,validacao,39,0.0,,—,,,0.0,0.0
M5,zs,1.0,treino,41,90.2,10.0,"[10,20]",6.2,93.8,1.9,248.42
M5,zs,1.0,validacao,39,94.9,20.0,"[10,30]",5.4,94.6,1.2,243.52
M5,zs,1.5,treino,41,90.2,25.0,"[20,30]",8.3,91.7,2.5,126.18
M5,zs,1.5,validacao,39,94.9,20.0,"[10,50]",6.1,93.9,1.6,123.17
M5,zs,2.0,treino,41,78.0,90.0,"[52,180]",14.3,85.7,2.8,25.54
M5,zs,2.0,validacao,39,74.4,85.0,"[50,120]",13.5,86.5,2.2,22.98
M5,zs,2.5,treino,41,2.4,105.0,—,25.5,74.5,3.3,0.27
M5,zs,2.5,validacao,39,0.0,,—,,,1.2,0.26
M5,zs,3.0,treino,41,0.0,,—,,,0.0,0.0
M5,zs,3.0,validacao,39,0.0,,—,,,0.0,0.0
M5,zmov,1.0,treino,41,22.0,60.0,"[60,360]",11.6,88.4,1.2,13.33
M5,zmov,1.0,validacao,39,30.8,60.0,"[0,210]",15.1,84.9,0.6,13.75
M5,zmov,1.5,treino,41,14.6,165.0,"[22,360]",18.8,81.2,0.8,7.18
M5,zmov,1.5,validacao,39,17.9,90.0,"[0,210]",9.7,90.3,1.2,7.44
M5,zmov,2.0,treino,41,9.8,165.0,—,35.0,65.0,1.2,2.66
M5,zmov,2.0,validacao,39,10.3,270.0,—,30.4,69.6,1.5,2.25
M5,zmov,2.5,treino,41,2.4,210.0,—,47.7,52.3,1.8,0.25
M5,zmov,2.5,validacao,39,5.1,165.0,—,39.7,60.3,7.8,0.15
M5,zmov,3.0,treino,41,0.0,,—,,,0.0,0.0
M5,zmov,3.0,validacao,39,0.0,,—,,,0.0,0.0
M5,zhist,1.0,treino,41,24.4,150.0,"[30,360]",16.7,83.3,1.3,12.04
M5,zhist,1.0,validacao,39,35.9,210.0,"[90,450]",22.8,77.2,0.6,12.05
M5,zhist,1.5,treino,41,22.0,90.0,"[30,510]",32.0,68.0,1.4,6.69
M5,zhist,1.5,validacao,39,23.1,240.0,"[30,660]",33.0,67.0,0.9,7.01
M5,zhist,2.0,treino,41,12.2,210.0,"[60,600]",28.1,71.9,1.2,3.88
M5,zhist,2.0,validacao,39,10.3,150.0,—,26.4,73.6,0.9,4.0
M5,zhist,2.5,treino,41,4.9,300.0,—,17.5,82.5,1.1,2.18
M5,zhist,2.5,validacao,39,7.7,270.0,—,33.2,66.8,0.4,2.25
M5,zhist,3.0,treino,41,4.9,360.0,—,14.4,85.6,1.0,1.36
M5,zhist,3.0,validacao,39,2.6,0.0,—,3.5,96.5,0.5,1.27
M5,vel,18.13,treino,41,90.2,35.0,"[20,55]",6.7,93.3,1.4,216.24
M5,vel,18.13,validacao,39,92.3,38.0,"[25,75]",6.1,93.9,0.9,211.73
M5,vel,26.09,treino,41,87.8,52.0,"[20,102]",11.2,88.8,1.5,101.05
M5,vel,26.09,validacao,39,92.3,105.0,"[48,170]",8.2,91.8,1.0,97.44
M5,vel,31.01,treino,41,75.6,90.0,"[35,160]",13.0,87.0,1.7,53.87
M5,vel,31.01,validacao,39,82.1,130.0,"[28,235]",6.9,93.1,1.2,52.6
M5,acel,30.03,treino,41,92.7,40.0,"[35,58]",9.6,90.4,1.5,224.08
M5,acel,30.03,validacao,39,92.3,58.0,"[32,104]",7.2,92.8,0.9,220.64
M5,acel,43.01,treino,41,87.8,48.0,"[35,92]",12.6,87.4,1.7,103.13
M5,acel,43.01,validacao,39,87.2,100.0,"[51,185]",8.7,91.3,1.1,99.38
M5,acel,51.26,treino,41,80.5,125.0,"[80,190]",16.3,83.7,1.8,55.05
M5,acel,51.26,validacao,39,79.5,155.0,"[80,235]",11.6,88.4,1.2,52.28
M5,cesta,5.0,treino,41,87.8,10.0,"[5,25]",4.7,95.3,1.3,375.15
M5,cesta,5.0,validacao,39,92.3,30.0,"[15,42]",5.4,94.6,0.8,364.48
M5,cesta,6.0,treino,41,87.8,18.0,"[10,25]",5.2,94.8,1.6,300.25
M5,cesta,6.0,validacao,39,92.3,20.0,"[12,30]",5.4,94.6,1.0,292.46
M5,cesta,7.0,treino,41,87.8,25.0,"[11,31]",5.4,94.6,2.3,176.54
M5,cesta,7.0,validacao,39,92.3,30.0,"[10,48]",6.2,93.8,1.5,173.12
M15,zvel,1.0,treino,41,75.6,45.0,"[15,60]",10.8,89.2,1.8,28.43
M15,zvel,1.0,validacao,39,69.2,45.0,"[30,180]",12.6,87.4,0.9,28.88
M15,zvel,1.5,treino,41,17.1,45.0,"[15,195]",11.6,88.4,2.1,3.43
M15,zvel,1.5,validacao,39,25.6,45.0,"[30,135]",13.1,86.9,1.2,3.58
M15,zvel,2.0,treino,41,0.0,,—,,,0.0,0.16
M15,zvel,2.0,validacao,39,0.0,,—,,,1.5,0.21
M15,zvel,2.5,treino,41,0.0,,—,,,0.0,0.0
M15,zvel,2.5,validacao,39,0.0,,—,,,0.0,0.0
M15,zvel,3.0,treino,41,0.0,,—,,,0.0,0.0
M15,zvel,3.0,validacao,39,0.0,,—,,,0.0,0.0
M15,zs,1.0,treino,41,85.4,45.0,"[30,60]",7.5,92.5,2.2,82.85
M15,zs,1.0,validacao,39,76.9,30.0,"[15,105]",7.2,92.8,1.3,82.39
M15,zs,1.5,treino,41,92.7,45.0,"[30,90]",11.8,88.2,3.5,41.26
M15,zs,1.5,validacao,39,74.4,45.0,"[15,105]",8.2,91.8,2.2,41.18
M15,zs,2.0,treino,41,41.5,195.0,"[75,450]",22.0,78.0,3.5,8.32
M15,zs,2.0,validacao,39,48.7,105.0,"[30,270]",19.6,80.4,3.0,7.74
M15,zs,2.5,treino,41,0.0,,—,,,4.2,0.11
M15,zs,2.5,validacao,39,0.0,,—,,,7.4,0.08
M15,zs,3.0,treino,41,0.0,,—,,,0.0,0.0
M15,zs,3.0,validacao,39,0.0,,—,,,0.0,0.0
