tf,metrica,limiar,split,n_eventos,deteccao_pct,lat_mediana_min,lat_ic95,consumido_mediano_pct,captura_mediana_pct,precisao_pct,falsos_por_semana
M30,zvel,0.5,treino,284,90.1,30.0,"[30,30]",9.6,90.4,1.2,52.61
M30,zvel,0.5,validacao,39,74.4,60.0,"[30,90]",9.4,90.6,0.9,48.95
M30,zvel,0.75,treino,284,88.0,60.0,"[30,60]",13.2,86.8,1.4,31.15
M30,zvel,0.75,validacao,39,76.9,60.0,"[30,90]",12.3,87.7,1.2,29.45
M30,zvel,1.0,treino,284,65.5,60.0,"[60,90]",18.3,81.7,1.7,15.14
M30,zvel,1.0,validacao,39,59.0,90.0,"[90,120]",20.0,80.0,1.1,14.09
M30,zvel,1.25,treino,284,36.6,90.0,"[60,105]",23.3,76.7,2.1,6.01
M30,zvel,1.25,validacao,39,30.8,120.0,"[90,210]",22.0,78.0,1.3,5.33
M30,zvel,1.5,treino,284,15.1,90.0,"[60,120]",26.1,73.9,2.4,1.96
M30,zvel,1.5,validacao,39,7.7,90.0,—,24.1,75.9,1.3,1.65
M30,zvel,1.75,treino,284,6.0,90.0,"[44,120]",29.2,70.8,3.0,0.52
M30,zvel,1.75,validacao,39,5.1,135.0,—,29.7,70.3,1.6,0.4
M30,zvel,2.0,treino,284,1.1,30.0,—,32.6,67.4,3.6,0.11
M30,zvel,2.0,validacao,39,2.6,120.0,—,35.3,64.7,3.6,0.08
M30,zvel,2.25,treino,284,0.4,30.0,—,42.0,58.0,9.7,0.02
M30,zvel,2.25,validacao,39,2.6,120.0,—,35.3,64.7,50.0,0.0
M30,zvel,2.5,treino,284,0.4,30.0,—,42.0,58.0,20.0,0.0
M30,zvel,2.5,validacao,39,0.0,,—,,,0.0,0.0
M30,zvel,2.75,treino,284,0.0,,—,,,0.0,0.0
M30,zvel,2.75,validacao,39,0.0,,—,,,0.0,0.0
M30,zvel,3.0,treino,284,0.0,,—,,,0.0,0.0
M30,zvel,3.0,validacao,39,0.0,,—,,,0.0,0.0
M30,zvel,3.25,treino,284,0.0,,—,,,0.0,0.0
M30,zvel,3.25,validacao,39,0.0,,—,,,0.0,0.0
M30,zs,0.5,treino,284,87.3,0.0,"[0,30]",8.8,91.2,1.0,59.98
M30,zs,0.5,validacao,39,79.5,0.0,"[0,0]",6.3,93.7,0.8,56.72
M30,zs,0.75,treino,284,89.4,30.0,"[0,30]",9.4,90.6,1.4,52.82
M30,zs,0.75,validacao,39,79.5,0.0,"[0,0]",5.7,94.3,1.0,49.78
M30,zs,1.0,treino,284,91.2,30.0,"[30,30]",10.8,89.2,2.0,43.5
M30,zs,1.0,validacao,39,82.1,15.0,"[0,30]",8.2,91.8,1.5,41.26
M30,zs,1.25,treino,284,91.2,30.0,"[30,60]",13.3,86.7,2.7,32.71
M30,zs,1.25,validacao,39,82.1,30.0,"[0,60]",11.5,88.5,1.9,31.18
M30,zs,1.5,treino,284,83.8,90.0,"[60,90]",16.5,83.5,3.7,21.57
M30,zs,1.5,validacao,39,71.8,30.0,"[0,75]",14.2,85.8,2.7,20.71
M30,zs,1.75,treino,284,59.5,120.0,"[90,150]",21.8,78.2,4.3,11.32
M30,zs,1.75,validacao,39,61.5,75.0,"[30,150]",21.4,78.6,3.8,10.8
M30,zs,2.0,treino,284,27.8,150.0,"[90,210]",21.6,78.4,4.9,4.14
M30,zs,2.0,validacao,39,41.0,90.0,"[30,270]",27.3,72.7,4.6,3.84
M30,zs,2.25,treino,284,8.5,150.0,"[60,225]",20.6,79.4,5.7,0.87
M30,zs,2.25,validacao,39,15.4,180.0,"[15,615]",39.4,60.6,5.7,0.82
M30,zs,2.5,treino,284,0.0,,—,,,2.8,0.04
M30,zs,2.5,validacao,39,2.6,60.0,—,42.4,57.6,4.8,0.06
